Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,443.65,445.65,433.40,435.95,37900,435.95
2014-12-22,440.45,445.40,436.20,442.60,51000,442.60
2014-12-19,452.00,460.90,433.85,436.05,70600,436.05
2014-12-18,435.00,450.60,435.00,446.25,67500,446.25
2014-12-17,437.95,441.10,422.25,428.65,58200,428.65
2014-12-16,465.00,467.00,431.00,436.60,75600,436.60
2014-12-15,481.70,481.70,466.00,468.45,58300,468.45
2014-12-12,498.00,503.00,479.50,481.95,53100,481.95
2014-12-11,510.00,510.00,493.25,495.35,58700,495.35
2014-12-10,504.95,514.90,504.25,508.55,51300,508.55
2014-12-09,521.00,531.65,503.20,505.40,99400,505.40
2014-12-08,511.70,531.25,510.60,520.00,172700,520.00
2014-12-05,516.70,522.40,507.00,508.40,73300,508.40
2014-12-04,520.70,522.80,512.95,514.65,71200,514.65
2014-12-03,513.90,528.00,512.95,517.90,88600,517.90
2014-12-02,510.70,517.00,505.25,510.65,67300,510.65
2014-12-01,517.30,531.40,508.55,510.55,42000,510.55
2014-11-28,522.20,539.00,520.00,522.55,132000,522.55
2014-11-27,519.00,525.50,511.50,518.50,55300,518.50
2014-11-26,509.90,520.00,506.65,515.80,65300,515.80
2014-11-25,528.90,529.75,505.00,510.75,78500,510.75
2014-11-24,534.95,537.55,525.15,529.75,100600,529.75
2014-11-21,527.00,542.00,525.00,530.10,90600,530.10
2014-11-20,527.00,529.00,518.70,525.30,67200,525.30
2014-11-19,546.95,548.90,522.10,526.70,87700,526.70
2014-11-18,523.70,562.25,523.70,543.15,261200,543.15
2014-11-17,520.50,534.00,519.20,529.00,68900,529.00
2014-11-14,525.70,528.65,516.15,520.50,49900,520.50
2014-11-13,536.70,537.00,518.30,523.25,73200,523.25
2014-11-12,537.70,544.00,532.55,533.90,70400,533.90
2014-11-11,535.00,543.00,531.75,535.10,74500,535.10
2014-11-10,535.05,544.25,531.70,534.10,72200,534.10
2014-11-07,546.60,546.60,531.60,533.55,63200,533.55
2014-11-06,542.10,542.10,542.10,542.10,000,542.10
2014-11-05,552.40,559.75,538.55,542.10,106200,542.10
2014-11-04,548.10,548.10,548.10,548.10,000,548.10
2014-11-03,541.00,558.05,541.00,548.10,142400,548.10
2014-10-31,533.05,553.40,533.05,537.85,186900,537.85
2014-10-30,529.60,534.50,525.40,530.00,79600,530.00
2014-10-29,534.55,541.50,526.00,528.50,92700,528.50
2014-10-28,526.80,534.00,522.95,529.60,126500,529.60
2014-10-27,528.90,536.45,513.10,522.95,234600,522.95
2014-10-24,533.70,533.70,533.70,533.70,000,533.70
2014-10-23,533.70,533.70,533.70,533.70,000,533.70
2014-10-22,500.00,546.80,499.00,533.70,498800,533.70
2014-10-21,492.00,500.40,490.45,493.80,71100,493.80
2014-10-20,489.70,499.05,488.00,489.70,47000,489.70
2014-10-17,486.95,490.80,480.00,482.15,47800,482.15
2014-10-16,493.75,506.40,481.40,483.60,96800,483.60
2014-10-15,497.45,497.45,497.45,497.45,000,497.45
2014-10-14,497.55,511.90,491.55,497.45,106900,497.45
2014-10-13,488.00,496.40,485.50,493.10,55800,493.10
2014-10-10,503.10,505.00,486.00,490.60,75300,490.60
2014-10-09,495.00,510.90,495.00,506.35,110800,506.35
2014-10-08,479.90,501.45,477.80,492.50,98700,492.50
2014-10-07,492.40,495.70,479.10,481.40,42800,481.40
2014-10-06,491.40,491.40,491.40,491.40,000,491.40
2014-10-03,491.40,491.40,491.40,491.40,000,491.40
2014-10-02,491.40,491.40,491.40,491.40,000,491.40
2014-10-01,502.00,503.00,491.40,493.40,47400,493.40
2014-09-30,501.00,508.50,491.00,498.35,84600,498.35
2014-09-29,502.00,512.35,498.80,501.10,71600,501.10
2014-09-26,504.00,506.95,487.65,502.60,77500,502.60
2014-09-25,527.00,528.40,496.10,500.55,65800,500.55
2014-09-24,535.10,539.00,516.10,524.50,59300,524.50
2014-09-23,553.00,559.00,531.10,532.60,87100,532.60
2014-09-22,550.00,563.50,545.00,554.80,70900,554.80
