Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,16.50,16.50,13.66,14.79,4500,14.79
2014-12-22,14.87,14.87,13.75,13.75,100,13.75
2014-12-19,15.20,15.90,13.85,14.06,6200,14.06
2014-12-18,13.41,14.80,13.41,14.80,000,14.80
2014-12-17,13.50,14.00,12.75,13.02,5000,13.02
2014-12-16,14.45,14.45,13.45,13.53,1800,13.53
2014-12-15,14.55,14.55,14.55,14.55,600,14.55
2014-12-12,14.55,14.55,14.55,14.55,100,14.55
2014-12-11,14.33,15.00,14.30,14.99,900,14.99
2014-12-10,15.99,15.99,14.30,14.45,500,14.45
2014-12-09,16.00,16.00,14.64,15.33,4300,15.33
2014-12-08,14.52,16.29,14.52,16.00,2100,16.00
2014-12-05,15.00,16.69,15.00,15.75,2800,15.75
2014-12-04,14.00,16.50,14.00,15.84,14900,15.84
2014-12-03,13.27,15.92,13.27,14.90,28300,14.90
2014-12-02,13.00,13.27,13.00,13.27,000,13.27
2014-12-01,14.03,14.03,14.00,14.00,200,14.00
2014-11-28,14.50,14.70,13.55,14.70,6600,14.70
2014-11-27,14.00,14.96,14.00,14.95,1200,14.95
2014-11-26,13.50,14.10,13.50,14.00,2600,14.00
2014-11-25,14.50,14.50,13.95,13.95,1100,13.95
2014-11-24,14.00,14.99,13.75,14.90,12800,14.90
2014-11-21,14.11,14.15,13.50,13.80,5800,13.80
2014-11-20,13.85,14.11,13.85,14.11,400,14.11
2014-11-19,14.32,14.55,14.30,14.49,4700,14.49
2014-11-18,14.30,15.00,14.30,14.32,4600,14.32
2014-11-17,14.25,14.90,14.00,14.28,7400,14.28
2014-11-14,14.00,15.00,13.90,14.20,9500,14.20
2014-11-13,15.75,15.75,14.41,14.41,700,14.41
2014-11-12,15.70,16.89,14.75,15.75,18200,15.75
2014-11-11,14.15,15.50,14.15,15.12,5200,15.12
2014-11-10,14.60,14.70,13.63,14.00,1900,14.00
2014-11-07,14.40,14.40,12.50,13.50,18100,13.50
2014-11-06,13.69,13.69,13.69,13.69,000,13.69
2014-11-05,14.45,14.45,13.50,13.69,14200,13.69
2014-11-04,13.54,13.54,13.54,13.54,000,13.54
2014-11-03,13.56,14.20,13.00,13.54,15100,13.54
2014-10-31,13.50,14.90,13.50,14.57,2300,14.57
2014-10-30,13.53,14.00,13.33,13.40,2300,13.40
2014-10-29,14.12,14.12,14.07,14.07,100,14.07
2014-10-28,14.50,14.70,14.40,14.70,2500,14.70
2014-10-27,13.30,15.75,13.30,15.75,400,15.75
2014-10-24,14.80,14.80,14.80,14.80,000,14.80
2014-10-23,14.80,14.80,14.80,14.80,000,14.80
2014-10-22,13.06,14.80,13.06,14.80,500,14.80
2014-10-21,12.35,13.85,12.20,13.45,3300,13.45
2014-10-20,14.35,14.35,14.35,14.35,000,14.35
2014-10-17,13.05,14.35,13.00,14.35,3900,14.35
2014-10-16,13.55,13.55,13.50,13.54,2200,13.54
2014-10-15,13.54,13.54,13.54,13.54,000,13.54
2014-10-14,13.18,14.00,13.18,13.54,2300,13.54
2014-10-13,13.10,13.75,13.10,13.63,14200,13.63
2014-10-10,14.69,14.69,14.00,14.00,2500,14.00
2014-10-09,13.55,15.70,13.55,14.45,9800,14.45
2014-10-08,14.96,14.96,14.96,14.96,200,14.96
2014-10-07,14.98,15.00,14.53,14.99,1700,14.99
2014-10-06,14.16,14.16,14.16,14.16,000,14.16
2014-10-03,14.16,14.16,14.16,14.16,000,14.16
2014-10-02,14.16,14.16,14.16,14.16,000,14.16
2014-10-01,14.30,14.83,14.05,14.16,4600,14.16
2014-09-30,14.35,15.70,14.35,14.50,700,14.50
2014-09-29,13.75,15.70,13.75,14.35,900,14.35
2014-09-26,15.00,15.00,14.15,14.15,4600,14.15
2014-09-25,14.10,15.25,14.05,14.75,1900,14.75
2014-09-24,14.75,14.75,14.55,14.55,1300,14.55
2014-09-23,15.25,15.25,14.75,14.90,12600,14.90
2014-09-22,15.50,15.50,15.00,15.35,8200,15.35
2014-09-19,15.00,15.90,15.00,15.40,8000,15.40
2014-09-18,15.10,15.55,15.10,15.25,1700,15.25
2014-09-17,14.85,15.75,14.85,15.55,7400,15.55
2014-09-16,15.00,15.85,14.80,15.15,4200,15.15
2014-09-15,14.45,16.00,14.45,15.20,9200,15.20
2014-09-12,16.00,16.00,15.65,15.70,3200,15.70
2014-09-11,15.40,16.10,15.10,16.00,4700,16.00
2014-09-10,15.35,15.35,14.80,15.30,11200,15.30
2014-09-09,14.65,16.00,14.65,15.50,1900,15.50
2014-09-08,16.00,16.20,15.50,15.60,10600,15.60
2014-09-05,16.00,16.60,15.15,15.95,12500,15.95
2014-09-04,15.05,15.70,15.05,15.10,4900,15.10
2014-09-03,15.95,15.95,15.00,15.95,4900,15.95
2014-09-02,14.50,15.90,14.50,15.05,3100,15.05
2014-09-01,15.00,15.50,15.00,15.00,8400,15.00
2014-08-29,15.20,15.20,15.20,15.20,000,15.20
2014-08-28,15.25,15.45,14.05,15.20,8700,15.20
2014-08-27,15.80,16.00,15.10,15.30,11600,15.30
2014-08-26,15.50,15.50,15.00,15.50,3800,15.50
2014-08-25,15.30,15.85,15.10,15.80,2900,15.80
2014-08-22,15.90,16.10,14.65,15.65,19700,15.65
2014-08-21,13.60,17.00,13.60,15.80,10300,15.80
