Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,10.40,12.99,10.00,10.01,9100,10.01
2014-12-22,12.23,14.90,11.61,12.21,13500,12.21
2014-12-19,14.38,14.39,14.38,14.39,000,14.39
2014-12-18,13.79,13.79,11.50,12.86,1300,12.86
2014-12-17,12.10,13.90,12.10,12.99,400,12.99
2014-12-16,11.50,13.65,10.57,13.05,11600,13.05
2014-12-15,11.58,14.10,11.57,12.51,2400,12.51
2014-12-12,14.10,14.10,11.15,13.50,100,13.50
2014-12-11,14.48,14.48,12.31,12.31,000,12.31
2014-12-10,14.50,14.50,12.12,13.00,1300,13.00
2014-12-09,14.85,14.85,12.00,13.27,5200,13.27
2014-12-08,16.00,16.00,12.61,13.11,700,13.11
2014-12-05,16.00,16.00,12.65,14.80,200,14.80
2014-12-04,16.00,16.00,12.72,14.84,800,14.84
2014-12-03,14.90,15.45,12.21,14.56,1700,14.56
2014-12-02,15.70,15.80,12.65,13.59,9600,13.59
2014-12-01,16.00,16.00,13.20,15.75,000,15.75
2014-11-28,14.50,15.50,12.00,14.40,4100,14.40
2014-11-27,14.80,15.00,14.05,14.20,100,14.20
2014-11-26,16.90,16.90,13.00,13.50,500,13.50
2014-11-25,16.10,16.10,11.50,14.30,300,14.30
2014-11-24,14.00,14.00,14.00,14.00,000,14.00
2014-11-21,15.80,15.80,13.30,14.80,900,14.80
2014-11-20,15.80,15.80,12.70,14.15,6600,14.15
2014-11-19,13.50,13.70,12.30,13.70,1600,13.70
2014-11-18,13.00,14.00,12.25,13.45,2000,13.45
2014-11-17,14.00,14.00,12.10,13.90,1100,13.90
2014-11-14,13.25,13.70,12.65,13.65,900,13.65
2014-11-13,13.95,13.95,12.65,12.70,1900,12.70
2014-11-12,13.95,13.95,12.50,13.75,200,13.75
2014-11-11,14.00,14.00,12.55,12.55,1000,12.55
2014-11-10,13.50,14.95,13.50,14.60,900,14.60
2014-11-07,15.50,15.50,15.20,15.20,000,15.20
2014-11-06,15.05,15.05,15.05,15.05,000,15.05
2014-11-05,13.45,15.80,13.45,15.05,900,15.05
2014-11-04,13.40,13.40,13.40,13.40,000,13.40
2014-11-03,16.50,16.50,13.40,13.40,800,13.40
2014-10-31,13.50,16.00,13.45,15.00,3100,15.00
2014-10-30,13.95,14.90,13.00,14.70,6100,14.70
2014-10-29,14.60,14.60,12.00,13.35,2700,13.35
2014-10-28,11.15,14.70,11.15,13.90,300,13.90
2014-10-27,14.25,14.25,12.05,12.65,2800,12.65
2014-10-24,13.50,13.50,13.50,13.50,000,13.50
2014-10-23,13.50,13.50,13.50,13.50,000,13.50
2014-10-22,12.00,13.90,12.00,13.50,15000,13.50
2014-10-21,14.00,14.00,11.70,11.70,800,11.70
2014-10-20,14.00,14.00,11.20,13.70,3600,13.70
2014-10-17,14.50,14.50,11.60,12.50,700,12.50
2014-10-16,14.60,14.60,11.70,13.95,1600,13.95
2014-10-15,13.30,13.30,13.30,13.30,000,13.30
2014-10-14,13.05,15.35,12.15,13.30,7100,13.30
2014-10-13,12.55,15.15,12.20,15.15,200,15.15
2014-10-10,12.05,15.40,12.05,13.10,3600,13.10
2014-10-09,15.90,15.90,12.50,14.45,2000,14.45
2014-10-08,15.00,15.00,13.70,13.70,500,13.70
2014-10-07,15.90,15.90,15.00,15.00,900,15.00
2014-10-06,15.50,15.50,15.50,15.50,000,15.50
2014-10-03,15.50,15.50,15.50,15.50,000,15.50
2014-10-02,15.50,15.50,15.50,15.50,000,15.50
2014-10-01,16.65,16.65,14.40,15.50,1400,15.50
2014-09-30,15.11,17.85,15.11,15.60,3500,15.60
2014-09-29,15.95,16.69,15.55,16.62,5700,16.62
