Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,27.25,29.80,27.25,28.85,3100,28.85
2014-12-22,24.95,28.25,24.95,28.25,600,28.25
2014-12-19,26.00,27.60,26.00,27.45,1700,27.45
2014-12-18,29.00,29.00,26.30,26.50,1400,26.50
2014-12-17,27.00,29.50,27.00,29.25,1400,29.25
2014-12-16,27.50,27.90,27.50,27.80,000,27.80
2014-12-15,26.70,29.00,26.70,27.85,3000,27.85
2014-12-12,34.50,34.50,26.00,26.10,1300,26.10
2014-12-11,28.80,28.80,28.50,28.75,400,28.75
2014-12-10,24.65,28.85,24.60,28.85,3000,28.85
2014-12-09,30.90,30.90,26.00,27.60,200,27.60
2014-12-08,28.25,28.25,25.25,27.00,400,27.00
2014-12-05,27.90,27.90,25.65,27.85,800,27.85
2014-12-04,28.20,28.20,25.55,26.05,300,26.05
2014-12-03,30.00,30.00,24.35,26.55,2100,26.55
2014-12-02,25.85,27.95,25.85,27.95,100,27.95
2014-12-01,27.75,27.75,25.90,26.00,100,26.00
2014-11-28,24.55,28.80,24.55,27.15,3900,27.15
2014-11-27,27.70,27.70,23.25,24.20,500,24.20
2014-11-26,24.20,24.20,24.20,24.20,000,24.20
2014-11-25,28.00,28.00,23.50,26.25,300,26.25
2014-11-24,28.50,28.50,25.50,25.65,1600,25.65
2014-11-21,30.85,30.85,25.25,25.70,700,25.70
2014-11-20,28.45,28.45,25.50,27.00,100,27.00
2014-11-19,33.35,33.35,25.05,26.65,2300,26.65
2014-11-18,25.05,29.80,25.05,27.80,1100,27.80
2014-11-17,24.00,28.25,23.70,27.60,1300,27.60
2014-11-14,26.50,26.50,24.10,26.50,1000,26.50
2014-11-13,23.90,26.45,23.20,26.45,2600,26.45
2014-11-12,26.45,26.45,26.45,26.45,000,26.45
2014-11-11,26.50,26.50,25.00,26.45,700,26.45
2014-11-10,25.80,25.80,22.20,25.55,400,25.55
2014-11-07,22.55,25.60,22.55,24.00,3500,24.00
2014-11-06,23.40,23.40,23.40,23.40,000,23.40
2014-11-05,26.40,26.40,23.00,23.40,1200,23.40
2014-11-04,24.10,24.10,24.10,24.10,000,24.10
2014-11-03,24.40,26.00,24.10,24.10,3100,24.10
2014-10-31,22.65,26.80,22.65,26.75,5100,26.75
2014-10-30,23.40,24.95,23.25,24.55,200,24.55
2014-10-29,25.80,25.80,25.80,25.80,000,25.80
2014-10-28,27.00,27.00,26.00,26.00,000,26.00
2014-10-27,25.00,25.00,22.15,24.70,3400,24.70
2014-10-24,26.00,26.00,26.00,26.00,000,26.00
2014-10-23,26.00,26.00,26.00,26.00,000,26.00
2014-10-22,23.30,26.00,23.30,26.00,100,26.00
2014-10-21,24.05,25.00,24.05,25.00,8600,25.00
2014-10-20,29.90,29.90,26.25,26.25,100,26.25
2014-10-17,28.50,28.50,23.85,27.25,1600,27.25
2014-10-16,30.80,30.80,25.20,26.50,5200,26.50
2014-10-15,28.00,28.00,28.00,28.00,000,28.00
2014-10-14,28.50,28.50,24.15,28.00,000,28.00
2014-10-13,26.80,26.80,26.80,26.80,000,26.80
2014-10-10,29.50,29.50,25.85,27.70,3600,27.70
2014-10-09,26.00,28.70,26.00,28.70,000,28.70
2014-10-08,26.15,26.15,26.15,26.15,000,26.15
2014-10-07,28.65,28.65,28.65,28.65,000,28.65
2014-10-06,28.10,28.10,28.10,28.10,000,28.10
2014-10-03,28.10,28.10,28.10,28.10,000,28.10
2014-10-02,28.10,28.10,28.10,28.10,000,28.10
2014-10-01,29.00,29.00,26.30,28.10,1600,28.10
2014-09-30,28.00,28.00,26.00,27.65,4400,27.65
2014-09-29,26.85,26.85,24.95,26.80,000,26.80
2014-09-26,23.60,25.60,23.50,25.60,1500,25.60
2014-09-25,23.30,25.70,23.30,24.40,1200,24.40
2014-09-24,24.50,24.50,24.50,24.50,200,24.50
2014-09-23,25.75,26.25,25.75,25.75,700,25.75
2014-09-22,29.10,29.10,26.80,26.80,1200,26.80
2014-09-19,27.30,27.80,25.45,27.80,1200,27.80
2014-09-18,26.75,27.65,26.50,26.50,1300,26.50
2014-09-17,28.00,28.00,25.65,27.85,3800,27.85
2014-09-16,27.80,27.95,26.10,26.90,3000,26.90
2014-09-15,26.55,28.50,26.55,27.45,1000,27.45
2014-09-12,27.00,27.65,26.20,27.20,2300,27.20
2014-09-11,24.00,26.45,24.00,26.45,900,26.45
2014-09-10,26.70,26.70,25.10,25.20,2300,25.20
2014-09-09,26.45,26.45,25.15,26.40,100,26.40
2014-09-08,27.05,27.05,24.65,26.45,700,26.45
2014-09-05,25.95,25.95,24.40,25.90,4300,25.90
2014-09-04,26.20,26.20,24.50,25.50,000,25.50
2014-09-03,25.15,25.15,22.85,25.00,600,25.00
2014-09-02,24.00,24.90,23.75,24.00,3000,24.00
2014-09-01,24.10,25.40,23.00,23.75,500,23.75
2014-08-29,24.20,24.20,24.20,24.20,000,24.20
2014-08-28,23.00,24.40,22.85,24.20,1000,24.20
2014-08-27,22.50,24.80,22.50,23.25,4100,23.25
2014-08-26,23.65,23.75,23.65,23.65,200,23.65
2014-08-25,26.10,26.15,24.85,24.85,3000,24.85
2014-08-22,26.15,26.15,26.15,26.15,300,26.15
2014-08-21,27.00,27.50,26.00,27.50,600,27.50
2014-08-20,27.05,29.40,27.05,27.35,1600,27.35
2014-08-19,26.45,29.15,26.45,28.45,2700,28.45
2014-08-18,27.80,30.70,27.80,27.80,6600,27.80
2014-08-15,29.25,29.25,29.25,29.25,000,29.25
2014-08-14,30.00,30.00,29.05,29.25,2200,29.25
2014-08-13,31.60,31.60,29.35,29.60,1000,29.60
2014-08-12,30.50,32.75,29.80,30.15,2200,30.15
2014-08-11,31.75,31.75,28.75,31.35,1200,31.35
2014-08-08,33.25,33.25,30.15,30.25,7300,30.25
2014-08-07,34.80,34.80,31.50,31.70,6000,31.70
