Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,13.00,13.50,10.66,11.02,66700,11.02
2014-12-22,15.24,15.99,13.00,13.22,50800,13.22
2014-12-19,17.95,18.00,14.70,15.24,151400,15.24
2014-12-18,18.00,19.20,17.40,17.95,318800,17.95
2014-12-17,18.60,20.25,15.10,17.20,469800,17.20
2014-12-16,15.00,17.60,15.00,17.44,163800,17.44
2014-12-15,14.00,16.00,14.00,14.67,26000,14.67
2014-12-12,15.49,15.49,13.95,14.01,3600,14.01
2014-12-11,15.40,15.40,14.00,14.02,10500,14.02
2014-12-10,14.45,16.39,13.50,14.09,246000,14.09
2014-12-09,14.00,14.89,12.05,14.44,251200,14.44
2014-12-08,13.00,14.90,12.40,13.74,3700,13.74
2014-12-05,13.50,14.15,13.00,13.41,17900,13.41
2014-12-04,13.00,13.00,12.00,12.07,1000,12.07
2014-12-03,12.50,13.31,11.49,12.60,12800,12.60
2014-12-02,12.10,12.10,12.10,12.10,000,12.10
2014-12-01,13.80,13.80,11.60,12.10,4800,12.10
2014-11-28,13.89,13.89,11.75,12.86,3500,12.86
2014-11-27,13.00,13.00,12.25,12.94,2000,12.94
2014-11-26,14.14,14.14,11.85,12.36,700,12.36
2014-11-25,12.81,13.50,12.80,12.95,1200,12.95
2014-11-24,16.25,16.25,13.72,13.78,34500,13.78
2014-11-21,13.95,15.29,13.41,15.24,84400,15.24
2014-11-20,12.00,14.07,11.00,13.90,63300,13.90
2014-11-19,12.75,13.00,10.60,11.73,4300,11.73
2014-11-18,13.00,13.00,11.00,11.39,11000,11.39
2014-11-17,10.81,12.70,10.81,11.73,46600,11.73
2014-11-14,9.80,11.88,8.80,11.50,51900,11.50
2014-11-13,11.90,11.90,9.62,10.00,11200,10.00
2014-11-12,8.20,11.34,8.20,11.04,51300,11.04
2014-11-11,9.45,9.45,9.45,9.45,1000,9.45
2014-11-10,9.74,9.75,9.74,9.75,000,9.75
2014-11-07,8.75,9.20,8.50,9.19,800,9.19
2014-11-06,8.71,8.71,8.71,8.71,000,8.71
2014-11-05,8.10,9.25,8.10,8.60,700,8.60
2014-11-04,8.45,8.45,8.45,8.45,000,8.45
2014-11-03,8.47,9.90,8.32,8.45,2400,8.45
2014-10-31,8.50,8.79,8.16,8.49,1800,8.49
2014-10-30,8.74,8.74,8.07,8.29,700,8.29
2014-10-29,8.00,8.81,8.00,8.26,3400,8.26
2014-10-28,8.07,8.95,8.06,8.08,2200,8.08
2014-10-27,8.96,8.96,8.96,8.96,000,8.96
2014-10-24,8.96,8.96,8.96,8.96,000,8.96
2014-10-23,8.96,8.96,8.96,8.96,000,8.96
2014-10-22,8.96,8.96,8.96,8.96,000,8.96
2014-10-21,8.82,8.97,8.16,8.96,500,8.96
2014-10-20,8.50,8.60,8.01,8.08,900,8.08
2014-10-17,8.95,8.95,8.95,8.95,200,8.95
2014-10-16,7.72,10.00,7.72,8.55,400,8.55
2014-10-15,9.26,9.26,9.26,9.26,000,9.26
2014-10-14,9.00,9.30,8.30,9.26,1100,9.26
2014-10-13,9.00,9.80,8.50,8.54,2900,8.54
2014-10-10,11.00,11.00,8.75,9.75,100,9.75
2014-10-09,9.40,9.58,9.34,9.44,000,9.44
2014-10-08,8.41,8.41,8.41,8.41,000,8.41
2014-10-07,8.36,9.39,8.27,8.41,3000,8.41
2014-10-06,8.90,8.90,8.90,8.90,000,8.90
2014-10-03,8.90,8.90,8.90,8.90,000,8.90
2014-10-02,8.90,8.90,8.90,8.90,000,8.90
2014-10-01,9.25,9.25,8.20,8.90,5200,8.90
2014-09-30,9.00,9.00,8.33,8.42,3000,8.42
2014-09-29,9.00,9.25,8.31,9.19,900,9.19
2014-09-26,9.49,9.49,8.36,8.67,14500,8.67
2014-09-25,8.11,9.25,8.11,8.67,2000,8.67
2014-09-24,8.40,9.25,8.25,8.65,1200,8.65
2014-09-23,8.20,9.53,8.20,8.72,7100,8.72
2014-09-22,8.55,8.90,8.40,8.67,6800,8.67
2014-09-19,8.49,8.73,8.32,8.33,1900,8.33
2014-09-18,8.07,8.59,8.00,8.59,2100,8.59
2014-09-17,9.04,9.04,7.95,8.21,900,8.21
2014-09-16,9.45,9.45,8.25,8.25,400,8.25
2014-09-15,9.20,9.20,8.41,8.68,14900,8.68
2014-09-12,8.90,9.47,8.30,9.34,7600,9.34
2014-09-11,8.16,8.74,8.16,8.74,600,8.74
2014-09-10,8.80,8.86,8.27,8.35,3900,8.35
2014-09-09,8.50,8.79,8.20,8.52,4600,8.52
2014-09-08,8.20,8.50,8.00,8.17,2100,8.17
2014-09-05,9.00,9.00,7.80,8.79,500,8.79
2014-09-04,8.68,9.00,7.76,8.48,2800,8.48
2014-09-03,9.00,9.00,8.40,8.67,100,8.67
2014-09-02,8.05,8.39,7.50,8.00,5200,8.00
2014-09-01,7.50,8.39,7.20,8.39,4000,8.39
2014-08-29,7.51,7.51,7.51,7.51,000,7.51
2014-08-28,7.51,7.51,7.51,7.51,400,7.51
2014-08-27,7.56,8.00,7.56,7.95,2200,7.95
2014-08-26,8.06,8.06,7.21,7.85,3900,7.85
