Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,92.90,92.90,78.50,83.50,000,83.50
2014-12-22,93.80,93.80,85.95,85.95,000,85.95
2014-12-19,93.50,93.50,79.80,88.70,000,88.70
2014-12-18,79.20,92.90,79.20,86.95,2000,86.95
2014-12-17,87.90,87.90,87.90,87.90,000,87.90
2014-12-16,97.00,97.00,82.55,87.90,700,87.90
2014-12-15,92.00,92.00,84.80,89.50,000,89.50
2014-12-12,88.20,88.20,74.00,84.80,3200,84.80
2014-12-11,96.00,96.00,80.35,80.70,7600,80.70
2014-12-10,86.25,90.00,86.25,89.25,000,89.25
2014-12-09,94.00,94.00,94.00,94.00,000,94.00
2014-12-08,94.00,94.00,94.00,94.00,000,94.00
2014-12-05,94.00,94.00,94.00,94.00,000,94.00
2014-12-04,86.45,97.35,86.45,94.05,2700,94.05
2014-12-03,102.00,102.00,85.10,94.90,100,94.90
2014-12-02,83.10,94.60,83.00,94.00,700,94.00
2014-12-01,95.00,97.90,81.50,92.00,000,92.00
2014-11-28,85.50,92.50,85.50,89.40,1700,89.40
2014-11-27,86.10,94.95,85.50,94.95,500,94.95
2014-11-26,104.30,104.30,94.00,95.00,300,95.00
2014-11-25,104.30,104.30,85.60,95.00,000,95.00
2014-11-24,102.00,102.00,85.65,95.00,000,95.00
2014-11-21,94.95,94.95,94.95,94.95,000,94.95
2014-11-20,101.00,101.00,101.00,101.00,000,101.00
2014-11-19,95.00,95.00,92.55,94.90,800,94.90
2014-11-18,102.80,102.80,102.80,102.80,000,102.80
2014-11-17,102.80,102.80,102.80,102.80,000,102.80
2014-11-14,102.80,102.80,102.80,102.80,000,102.80
2014-11-13,103.00,103.00,102.80,102.80,000,102.80
2014-11-12,107.25,107.25,91.45,102.90,100,102.90
2014-11-11,102.00,118.50,101.25,101.25,600,101.25
2014-11-10,112.50,112.50,112.50,112.50,000,112.50
2014-11-07,94.85,94.85,94.85,94.85,000,94.85
2014-11-06,94.85,94.85,94.85,94.85,000,94.85
2014-11-05,94.85,94.85,94.85,94.85,000,94.85
2014-11-04,94.85,94.85,94.85,94.85,000,94.85
2014-11-03,94.85,94.85,94.85,94.85,000,94.85
2014-10-31,94.90,94.90,94.90,94.90,000,94.90
2014-10-30,94.70,94.90,82.35,94.90,600,94.90
2014-10-29,94.90,94.90,94.90,94.90,000,94.90
2014-10-28,94.90,94.90,94.90,94.90,000,94.90
2014-10-27,81.70,94.90,81.70,94.90,000,94.90
2014-10-24,95.00,95.00,95.00,95.00,000,95.00
2014-10-23,95.00,95.00,95.00,95.00,000,95.00
2014-10-22,95.00,95.00,95.00,95.00,000,95.00
2014-10-21,95.00,95.00,95.00,95.00,000,95.00
2014-10-20,95.00,95.00,95.00,95.00,000,95.00
2014-10-17,95.00,95.00,95.00,95.00,000,95.00
2014-10-16,100.00,100.00,78.55,92.00,700,92.00
2014-10-15,94.80,94.80,94.80,94.80,000,94.80
2014-10-14,94.80,94.80,94.80,94.80,000,94.80
2014-10-13,94.90,94.90,77.20,94.80,000,94.80
2014-10-10,94.00,94.60,83.00,91.85,200,91.85
2014-10-09,94.90,94.90,94.80,94.80,000,94.80
2014-10-08,81.15,94.95,81.10,90.90,400,90.90
2014-10-07,103.45,103.45,87.10,94.95,000,94.95
2014-10-06,94.95,94.95,94.95,94.95,000,94.95
2014-10-03,94.95,94.95,94.95,94.95,000,94.95
2014-10-02,94.95,94.95,94.95,94.95,000,94.95
2014-10-01,103.00,103.00,94.95,94.95,000,94.95
2014-09-30,94.95,94.95,94.95,94.95,000,94.95
2014-09-29,103.50,103.50,86.05,94.95,100,94.95
2014-09-26,99.95,99.95,89.00,94.95,000,94.95
2014-09-25,93.00,93.00,93.00,93.00,000,93.00
2014-09-24,92.00,95.00,92.00,94.45,600,94.45
2014-09-23,92.95,92.95,92.95,92.95,000,92.95
2014-09-22,92.95,92.95,92.95,92.95,300,92.95
2014-09-19,86.15,93.95,86.15,93.95,000,93.95
2014-09-18,94.90,94.90,94.90,94.90,000,94.90
2014-09-17,94.90,94.90,94.90,94.90,000,94.90
2014-09-16,94.90,94.90,94.90,94.90,000,94.90
2014-09-15,94.80,94.90,85.05,94.90,100,94.90
2014-09-12,94.20,94.20,90.05,91.20,200,91.20
2014-09-11,90.50,94.50,90.00,93.45,200,93.45
2014-09-10,103.90,103.90,90.10,94.95,300,94.95
2014-09-09,96.00,97.00,94.00,94.50,100,94.50
2014-09-08,100.90,100.90,100.90,100.90,000,100.90
2014-09-05,95.05,101.00,94.35,100.90,600,100.90
2014-09-04,104.80,104.80,104.80,104.80,100,104.80
2014-09-03,100.85,100.85,100.85,100.85,000,100.85
2014-09-02,100.85,100.85,100.85,100.85,000,100.85
2014-09-01,100.85,100.85,100.85,100.85,000,100.85
2014-08-29,100.85,100.85,100.85,100.85,000,100.85
2014-08-28,100.85,100.85,100.85,100.85,000,100.85
2014-08-27,101.85,101.85,98.95,99.00,7700,99.00
2014-08-26,97.00,101.45,97.00,101.45,000,101.45
2014-08-25,105.30,105.30,96.05,101.95,000,101.95
2014-08-22,99.00,101.95,95.15,100.70,10200,100.70
2014-08-21,100.00,101.95,99.20,100.00,10000,100.00
2014-08-20,101.95,101.95,101.95,101.95,000,101.95
2014-08-19,99.65,104.95,99.65,104.95,300,104.95
2014-08-18,104.85,104.85,100.05,104.85,100,104.85
2014-08-15,104.90,104.90,104.90,104.90,000,104.90
2014-08-14,100.05,105.00,99.75,104.90,100,104.90
2014-08-13,105.00,105.00,105.00,105.00,000,105.00
2014-08-12,105.00,105.00,105.00,105.00,000,105.00
2014-08-11,110.00,110.00,110.00,110.00,000,110.00
2014-08-08,109.50,110.00,109.50,110.00,200,110.00
2014-08-07,100.15,104.95,100.10,104.95,100,104.95
2014-08-06,105.00,105.00,105.00,105.00,000,105.00
2014-08-05,101.90,105.00,101.90,105.00,000,105.00
2014-08-04,112.80,113.10,107.20,107.20,000,107.20
2014-08-01,112.80,112.80,112.80,112.80,000,112.80
2014-07-31,112.80,112.80,112.80,112.80,000,112.80
2014-07-30,107.50,107.50,107.50,107.50,000,107.50
2014-07-29,107.50,107.50,107.50,107.50,000,107.50
2014-07-28,107.50,107.50,107.50,107.50,000,107.50
2014-07-25,108.90,108.90,107.50,107.50,000,107.50
2014-07-24,109.50,109.50,109.50,109.50,000,109.50
2014-07-23,99.75,109.50,99.75,109.50,000,109.50
2014-07-22,103.55,108.45,103.55,105.00,100,105.00
