Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,140.00,143.00,130.20,139.00,300,139.00
2014-12-22,129.00,145.00,123.95,140.20,2100,140.20
2014-12-19,122.55,122.55,122.55,122.55,200,122.55
2014-12-18,122.55,122.55,122.55,122.55,300,122.55
2014-12-17,120.00,122.80,115.50,121.00,900,121.00
2014-12-16,121.00,134.80,115.70,117.05,4000,117.05
2014-12-15,140.00,140.00,123.10,125.25,3800,125.25
2014-12-12,131.00,139.30,130.00,139.00,1800,139.00
2014-12-11,130.40,130.40,130.05,130.05,100,130.05
2014-12-10,143.50,143.50,132.00,137.00,800,137.00
2014-12-09,135.00,137.95,133.90,137.00,100,137.00
2014-12-08,147.95,147.95,147.95,147.95,000,147.95
2014-12-05,142.35,143.50,137.00,143.45,700,143.45
2014-12-04,141.10,146.50,141.00,144.50,400,144.50
2014-12-03,144.00,147.95,141.20,141.20,400,141.20
2014-12-02,144.00,150.00,144.00,147.50,200,147.50
2014-12-01,146.00,148.85,146.00,147.00,1500,147.00
2014-11-28,135.50,140.85,135.50,140.00,3000,140.00
2014-11-27,135.00,135.00,134.00,134.00,800,134.00
2014-11-26,130.10,134.95,130.10,130.55,400,130.55
2014-11-25,142.50,142.50,130.00,131.95,9200,131.95
2014-11-24,131.10,145.00,130.15,131.85,3300,131.85
2014-11-21,141.00,141.00,133.50,133.50,1000,133.50
2014-11-20,135.10,140.90,133.05,135.15,700,135.15
2014-11-19,137.05,138.00,135.00,136.55,1900,136.55
2014-11-18,139.50,140.00,130.25,139.60,1600,139.60
2014-11-17,136.05,136.05,133.05,134.20,2400,134.20
2014-11-14,150.50,150.50,137.15,142.00,4600,142.00
2014-11-13,148.00,148.00,140.25,142.15,700,142.15
2014-11-12,135.05,146.00,135.05,142.85,3500,142.85
2014-11-11,142.20,148.50,140.00,142.20,1600,142.20
2014-11-10,152.20,152.20,148.50,148.80,3500,148.80
2014-11-07,158.35,163.00,156.30,156.30,6800,156.30
2014-11-06,164.50,164.50,164.50,164.50,000,164.50
2014-11-05,164.00,168.70,161.50,164.50,5200,164.50
2014-11-04,170.00,170.00,170.00,170.00,000,170.00
2014-11-03,167.95,170.00,167.95,170.00,500,170.00
2014-10-31,173.00,173.00,170.00,170.05,800,170.05
2014-10-30,172.90,176.60,166.10,173.00,1800,173.00
2014-10-29,168.50,168.50,168.50,168.50,100,168.50
2014-10-28,165.80,173.85,165.80,171.15,1200,171.15
2014-10-27,177.90,177.90,168.20,171.20,400,171.20
2014-10-24,169.60,169.60,169.60,169.60,000,169.60
2014-10-23,169.60,169.60,169.60,169.60,000,169.60
2014-10-22,164.00,173.35,162.10,169.60,2300,169.60
2014-10-21,162.10,172.50,161.00,165.00,2100,165.00
2014-10-20,170.00,170.00,163.00,168.70,600,168.70
2014-10-17,161.60,176.95,161.60,170.00,3400,170.00
2014-10-16,170.05,176.85,169.85,169.85,1700,169.85
2014-10-15,178.75,178.75,178.75,178.75,000,178.75
2014-10-14,187.00,191.30,178.75,178.75,900,178.75
2014-10-13,188.00,197.00,181.00,188.15,8200,188.15
2014-10-10,180.00,193.00,175.00,188.65,22700,188.65
2014-10-09,160.00,175.60,160.00,175.60,23100,175.60
2014-10-08,145.95,161.15,145.00,159.65,7200,159.65
2014-10-07,146.00,146.60,141.05,146.50,1900,146.50
2014-10-06,139.65,139.65,139.65,139.65,000,139.65
2014-10-03,139.65,139.65,139.65,139.65,000,139.65
2014-10-02,139.65,139.65,139.65,139.65,000,139.65
2014-10-01,135.00,139.65,135.00,139.65,2800,139.65
2014-09-30,143.40,143.40,133.00,133.00,1300,133.00
2014-09-29,140.00,140.00,140.00,140.00,100,140.00
2014-09-26,131.30,139.95,131.20,139.95,300,139.95
2014-09-25,149.95,149.95,137.25,137.25,500,137.25
2014-09-24,142.25,145.00,138.10,143.00,1500,143.00
2014-09-23,148.90,152.85,145.00,145.35,2100,145.35
2014-09-22,140.45,147.00,140.40,146.85,4500,146.85
2014-09-19,145.95,147.95,137.20,140.00,1200,140.00
2014-09-18,140.00,145.00,138.50,142.30,2200,142.30
2014-09-17,138.80,145.50,138.80,143.90,5000,141.40
2014-09-16,126.00,138.00,126.00,135.75,6100,133.39
2014-09-15,115.00,129.50,115.00,127.00,1400,124.79
2014-09-12,128.95,128.95,116.65,120.90,2000,118.80
2014-09-11,127.90,129.95,124.15,129.05,1900,126.81
2014-09-10,119.95,126.40,119.95,123.90,10300,121.75
2014-09-09,118.00,118.80,116.85,118.80,1400,116.74
2014-09-08,106.00,114.95,106.00,114.95,1600,112.95
2014-09-05,108.95,109.00,104.50,104.50,1000,102.68
2014-09-04,102.00,104.45,102.00,104.45,000,102.64
2014-09-03,101.00,104.95,100.00,102.15,600,100.38
2014-09-02,101.75,102.00,101.75,102.00,400,100.23
2014-09-01,100.35,101.85,97.00,100.35,200,98.61
2014-08-29,100.00,100.00,100.00,100.00,000,98.26
