Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,224.55,224.55,224.55,224.55,12400,224.55
2014-12-22,270.05,270.05,249.45,249.45,65700,249.45
2014-12-19,256.45,280.20,255.00,277.15,523500,277.15
2014-12-18,246.40,258.90,236.20,254.75,300500,254.75
2014-12-17,225.10,248.00,218.00,236.85,392100,236.85
2014-12-16,215.40,215.40,201.60,214.60,676700,214.60
2014-12-15,154.80,185.80,152.20,179.50,302000,179.50
2014-12-12,172.00,178.00,149.95,154.85,47700,154.85
2014-12-11,174.00,175.05,168.10,172.65,9100,172.65
2014-12-10,171.55,178.95,167.10,174.50,3300,174.50
2014-12-09,180.00,180.00,171.50,172.30,5200,172.30
2014-12-08,181.00,181.00,173.50,174.10,7400,174.10
2014-12-05,184.70,184.70,180.10,182.00,3100,182.00
2014-12-04,181.60,191.25,181.60,184.65,20900,184.65
2014-12-03,180.00,187.00,176.10,183.45,23900,183.45
2014-12-02,174.00,181.90,170.70,179.70,9500,179.70
2014-12-01,179.95,193.90,168.20,172.85,12000,172.85
2014-11-28,179.75,182.00,174.10,175.85,15600,175.85
2014-11-27,179.50,185.00,174.00,176.10,28100,176.10
2014-11-26,182.55,187.95,173.95,175.70,29000,175.70
2014-11-25,190.00,191.45,166.25,181.50,92200,181.50
2014-11-24,198.35,198.35,178.25,187.75,158900,187.75
2014-11-21,187.90,187.90,163.10,165.30,15900,165.30
2014-11-20,175.00,176.00,162.10,164.50,22900,164.50
2014-11-19,189.00,201.95,169.05,174.75,22600,174.75
2014-11-18,189.90,191.00,185.30,189.50,37100,189.50
2014-11-17,184.90,188.00,182.00,184.20,33500,184.20
2014-11-14,169.80,185.50,165.60,180.80,72700,180.80
2014-11-13,171.00,172.00,162.00,168.75,32500,168.75
2014-11-12,162.00,171.25,153.00,169.65,33000,169.65
2014-11-11,140.00,165.50,140.00,160.35,74000,160.35
2014-11-10,149.60,150.00,137.05,139.55,14000,139.55
2014-11-07,154.75,155.50,147.10,148.80,13800,148.80
2014-11-06,154.70,154.70,154.70,154.70,000,154.70
2014-11-05,158.90,158.90,151.70,154.70,10100,154.70
2014-11-04,151.25,151.25,151.25,151.25,000,151.25
2014-11-03,145.00,159.00,145.00,151.25,11700,151.25
2014-10-31,151.30,155.20,151.30,154.40,12400,154.40
2014-10-30,153.10,156.90,151.00,154.05,11700,154.05
2014-10-29,150.10,156.50,150.10,155.00,10800,155.00
2014-10-28,132.00,160.00,132.00,152.15,12400,152.15
2014-10-27,155.10,162.00,153.00,156.45,11600,156.45
2014-10-24,158.40,158.40,158.40,158.40,000,158.40
2014-10-23,158.40,158.40,158.40,158.40,000,158.40
2014-10-22,162.00,162.00,156.05,158.40,6600,158.40
2014-10-21,158.30,158.30,155.10,156.60,3300,156.60
2014-10-20,157.00,164.90,156.00,158.05,11000,158.05
2014-10-17,155.50,158.95,152.00,153.50,6400,153.50
2014-10-16,171.50,171.50,153.05,155.25,12800,155.25
2014-10-15,167.50,167.50,167.50,167.50,000,167.50
2014-10-14,172.00,172.00,167.00,167.50,4000,167.50
2014-10-13,167.00,172.90,167.00,170.05,6600,170.05
2014-10-10,165.60,174.80,162.00,166.90,12600,166.90
2014-10-09,173.50,178.70,168.60,170.45,12000,170.45
2014-10-08,171.10,173.80,170.00,171.80,12000,171.80
2014-10-07,170.00,177.00,170.00,172.00,10000,172.00
2014-10-06,170.75,170.75,170.75,170.75,000,170.75
2014-10-03,170.75,170.75,170.75,170.75,000,170.75
2014-10-02,170.75,170.75,170.75,170.75,000,170.75
2014-10-01,180.00,180.00,170.00,170.75,8900,170.75
2014-09-30,177.00,187.50,175.60,179.15,37900,179.15
2014-09-29,161.00,177.00,161.00,173.95,13200,173.95
2014-09-26,160.55,168.00,160.05,162.70,4900,162.70
2014-09-25,172.00,176.90,152.25,163.85,21400,163.85
2014-09-24,183.00,184.90,171.50,174.10,13000,174.10
2014-09-23,193.95,196.00,178.00,180.55,35600,180.55
2014-09-22,189.60,193.90,178.10,189.80,72400,189.80
2014-09-19,170.00,181.00,162.40,178.95,97300,178.95
2014-09-18,154.70,178.40,154.70,169.30,103700,169.30
2014-09-17,160.95,160.95,147.50,152.05,22900,152.05
2014-09-16,155.20,172.00,149.00,151.00,77400,151.00
2014-09-15,155.50,164.85,151.20,161.50,47700,161.50
2014-09-12,154.00,157.80,154.00,155.85,21400,155.85
2014-09-11,148.65,153.95,148.30,151.65,26900,151.65
2014-09-10,156.00,159.00,146.95,149.65,17800,149.65
2014-09-09,157.00,160.00,154.00,155.55,51500,155.55
2014-09-08,147.80,160.00,147.00,153.55,53800,153.55
2014-09-05,142.00,148.95,142.00,144.00,15500,144.00
2014-09-04,150.70,154.40,142.00,143.15,25800,143.15
2014-09-03,150.05,154.30,150.00,150.80,47700,150.80
2014-09-02,140.00,148.00,140.00,146.40,80600,146.40
2014-09-01,133.95,137.20,131.20,135.75,24300,135.75
2014-08-29,130.65,130.65,130.65,130.65,000,130.65
2014-08-28,134.50,134.50,128.00,130.65,13700,130.65
2014-08-27,124.45,136.00,122.00,128.85,119900,128.85
2014-08-26,132.40,132.40,118.80,122.20,37200,122.20
2014-08-25,116.40,133.85,115.00,130.65,233000,130.65
2014-08-22,114.00,114.00,110.30,111.55,11000,111.55
2014-08-21,111.90,112.00,109.35,109.85,10500,109.85
2014-08-20,110.25,111.85,108.75,110.25,10300,110.25
2014-08-19,108.95,111.00,108.00,108.60,11700,108.60
2014-08-18,111.00,111.85,106.65,108.10,10300,108.10
2014-08-15,108.75,108.75,108.75,108.75,000,108.75
2014-08-14,113.45,113.45,106.55,108.75,10800,108.75
2014-08-13,111.00,112.50,106.20,106.45,10200,106.45
2014-08-12,110.00,113.25,109.60,112.90,11500,112.90
2014-08-11,114.00,117.00,110.30,111.00,22700,111.00
2014-08-08,110.00,110.50,107.10,108.50,15400,108.50
2014-08-07,106.00,112.00,106.00,110.55,12300,110.55
2014-08-06,109.90,109.90,107.00,107.80,10200,107.80
2014-08-05,102.55,110.90,102.55,110.05,14500,110.05
2014-08-04,104.30,108.45,102.10,103.00,13300,103.00
2014-08-01,108.50,108.50,105.20,106.25,10700,106.25
2014-07-31,108.90,109.25,108.35,109.10,12000,109.10
2014-07-30,110.80,113.75,107.05,108.00,10100,108.00
2014-07-29,110.65,110.65,110.65,110.65,000,109.15
2014-07-28,111.55,119.00,109.00,110.65,30000,109.15
2014-07-25,120.00,120.00,107.15,112.00,25500,110.48
2014-07-24,111.15,114.75,110.00,112.05,18200,110.53
2014-07-23,115.00,115.00,111.50,113.50,63200,111.96
2014-07-22,111.00,112.90,106.05,111.85,38700,110.33
2014-07-21,114.55,114.55,104.50,110.55,76700,109.05
2014-07-18,100.25,104.00,99.60,102.80,24000,101.41
2014-07-17,112.50,112.50,97.45,100.15,8300,98.79
2014-07-16,95.05,95.05,94.00,94.00,1900,92.73
2014-07-15,95.00,97.70,93.40,93.45,1200,92.18
2014-07-14,96.10,96.10,92.10,93.25,2100,91.99
2014-07-11,99.00,99.45,93.00,93.70,2000,92.43
2014-07-10,96.95,100.00,96.35,98.85,4400,97.51
2014-07-09,100.00,100.00,95.05,96.20,5900,94.90
2014-07-08,106.90,106.90,96.30,99.80,8800,98.45
2014-07-07,100.70,111.50,100.70,104.90,53200,103.48
2014-07-04,99.50,100.80,98.00,99.65,7000,98.30
2014-07-03,95.05,102.00,95.05,99.75,5300,98.40
2014-07-02,100.20,101.00,99.45,100.15,6400,98.79
2014-07-01,102.40,103.00,98.20,99.30,12800,97.95
2014-06-30,100.55,103.10,100.55,101.55,8300,100.17
2014-06-27,101.20,102.00,100.05,100.80,5600,99.43
2014-06-26,100.10,101.25,100.10,100.80,1100,99.43
2014-06-25,98.25,103.00,98.25,101.60,1600,100.22
2014-06-24,100.05,102.15,98.50,102.15,8700,100.77
2014-06-23,98.10,102.75,98.10,101.95,1800,100.57
2014-06-20,102.00,102.75,98.15,99.30,6800,97.95
2014-06-19,98.05,102.50,98.05,100.45,4200,99.09
2014-06-18,104.00,105.00,99.00,100.20,3300,98.84
2014-06-17,100.00,103.00,99.15,102.00,2200,100.62
2014-06-16,99.55,99.75,96.00,99.30,3500,97.95
2014-06-13,106.80,110.00,98.10,99.55,28300,98.20
2014-06-12,102.20,110.00,102.20,107.10,33900,105.65
2014-06-11,104.75,109.50,104.75,107.80,34500,106.34
2014-06-10,98.95,106.00,98.95,102.70,40200,101.31
2014-06-09,89.65,96.10,87.00,95.90,24700,94.60
2014-06-06,82.25,89.50,81.05,86.50,10100,85.33
2014-06-05,91.90,91.90,80.55,83.45,6800,82.32
2014-06-04,81.85,84.90,81.05,81.50,7100,80.40
2014-06-03,82.90,82.90,77.10,81.05,42700,79.95
2014-06-02,82.25,82.25,74.55,79.65,8600,78.57
2014-05-30,75.00,77.85,74.10,75.60,4600,74.58
2014-05-29,78.95,78.95,73.15,74.90,4800,73.88
2014-05-28,80.00,80.00,76.35,78.65,600,77.58
2014-05-27,71.50,80.95,71.50,78.60,8800,77.53
2014-05-26,81.85,85.00,75.00,78.90,14600,77.83
2014-05-23,77.80,81.70,77.00,80.40,23100,79.31
2014-05-22,71.50,80.00,71.50,77.45,5200,76.40
2014-05-21,74.00,79.75,73.50,74.50,8100,73.49
2014-05-20,70.00,75.00,70.00,72.55,3200,71.57
2014-05-19,70.70,71.50,66.60,69.35,6600,68.41
2014-05-16,68.20,70.85,66.30,66.40,5900,65.50
2014-05-15,69.00,69.75,67.10,67.30,1300,66.39
2014-05-14,70.10,72.00,69.10,69.20,3500,68.26
2014-05-13,71.75,73.00,70.00,70.90,3400,69.94
2014-05-12,73.00,75.10,72.25,73.00,4900,72.01
2014-05-09,79.90,79.90,75.10,76.30,1400,75.27
2014-05-08,77.00,77.95,75.30,75.90,2300,74.87
2014-05-07,70.20,79.90,70.20,77.90,30300,76.84
2014-05-06,71.15,73.75,70.00,70.10,1300,69.15
2014-05-05,69.95,74.95,65.30,71.05,17000,70.09
2014-05-02,57.00,67.90,57.00,66.05,1400,65.15
2014-05-01,65.35,65.35,65.35,65.35,000,64.46
2014-04-30,68.80,68.80,61.00,65.35,6400,64.46
2014-04-29,68.55,70.05,68.55,68.75,3100,67.82
2014-04-28,68.00,69.90,68.00,68.50,1700,67.57
2014-04-25,65.15,70.00,65.15,68.60,6100,67.67
2014-04-24,67.05,67.05,67.05,67.05,000,66.14
2014-04-23,66.00,69.00,66.00,67.05,2700,66.14
2014-04-22,69.00,69.00,67.45,67.95,2200,67.03
2014-04-21,70.45,72.80,68.00,69.20,4700,68.26
2014-04-18,68.30,68.30,68.30,68.30,000,67.37
2014-04-17,70.10,73.00,67.20,68.30,3200,67.37
2014-04-16,68.00,72.65,67.80,70.25,37700,69.30
2014-04-15,63.05,66.95,63.05,66.95,17500,66.04
2014-04-14,65.05,65.05,65.05,65.05,000,64.17
2014-04-11,62.00,67.90,60.80,65.05,6500,64.17
2014-04-10,62.05,62.50,62.05,62.45,600,61.60
2014-04-09,52.40,64.00,52.40,63.75,5200,62.89
2014-04-08,61.50,61.50,61.50,61.50,000,60.67
2014-04-07,63.50,63.50,60.70,61.50,800,60.67
2014-04-04,60.55,60.90,60.50,60.70,800,59.88
2014-04-03,58.00,62.05,58.00,60.75,1600,59.93
2014-04-02,61.25,62.85,61.00,61.20,4600,60.37
2014-04-01,61.50,63.00,61.00,61.35,5300,60.52
2014-03-31,61.15,62.00,61.15,61.95,1200,61.11
2014-03-28,63.50,64.00,61.15,61.70,5100,60.86
2014-03-27,60.10,62.50,60.10,60.60,15200,59.78
2014-03-26,62.00,63.75,60.25,63.00,42500,62.15
2014-03-25,61.50,64.75,60.70,61.45,10800,60.62
2014-03-24,59.50,61.35,59.50,61.10,6100,60.27
2014-03-21,62.00,63.00,59.25,62.00,1500,61.16
2014-03-20,67.00,67.30,59.40,59.55,3900,58.74
2014-03-19,59.25,69.80,58.95,63.80,39300,62.94
2014-03-18,56.65,61.25,54.60,58.75,33400,57.95
2014-03-17,58.70,58.70,58.70,58.70,000,57.90
2014-03-14,61.00,61.00,56.50,58.70,2300,57.90
2014-03-13,59.00,59.00,55.95,57.10,27500,56.33
2014-03-12,56.30,58.40,56.30,58.10,3700,57.31
2014-03-11,57.15,57.90,55.10,57.05,5900,56.28
2014-03-10,56.20,57.80,56.20,57.80,300,57.02
2014-03-07,63.80,63.80,58.15,59.05,2100,58.25
2014-03-06,57.30,58.95,57.30,58.95,100,58.15
2014-03-05,59.85,59.85,59.85,59.85,000,59.04
2014-03-04,57.50,60.45,57.00,59.85,300,59.04
2014-03-03,58.00,59.50,56.25,59.45,200,58.64
2014-02-28,54.65,60.00,54.65,58.85,1100,58.05
2014-02-27,57.85,57.85,57.85,57.85,000,57.07
2014-02-26,58.75,58.95,57.00,57.85,200,57.07
2014-02-25,56.20,59.85,56.20,56.55,500,55.78
2014-02-24,56.50,58.00,55.00,58.00,100,57.21
2014-02-21,55.70,58.50,55.70,56.50,200,55.73
2014-02-20,57.05,60.00,57.00,57.00,4400,56.23
2014-02-19,60.75,60.75,60.75,60.75,000,59.93
2014-02-18,59.00,61.00,57.90,58.25,4400,57.46
2014-02-17,59.20,59.40,56.00,59.00,100,58.20
2014-02-14,57.50,57.55,56.00,56.60,1300,55.83
2014-02-13,62.50,62.50,56.60,59.00,1700,58.20
2014-02-12,63.00,64.70,58.75,58.75,1300,57.95
2014-02-11,58.50,59.00,55.00,58.85,4700,58.05
2014-02-10,59.70,59.70,58.50,58.50,700,57.71
