Date,Open,High,Low,Close,Volume,Adj Close
2014-10-06,41.60,41.60,41.60,41.60,000,41.60
2014-10-03,41.60,41.60,41.60,41.60,000,41.60
2014-10-02,41.60,41.60,41.60,41.60,000,41.60
2014-10-01,41.60,41.60,41.60,41.60,000,41.60
2014-09-30,41.60,41.65,41.60,41.60,100,41.60
2014-09-29,42.00,43.75,40.85,43.75,200,43.75
2014-09-26,43.00,43.00,43.00,43.00,000,43.00
2014-09-25,41.60,41.60,41.60,41.60,600,41.60
2014-09-24,39.65,39.65,39.65,39.65,100,39.65
2014-09-23,39.90,39.90,37.80,37.80,200,37.80
2014-09-22,36.25,38.00,36.25,38.00,100,38.00
2014-09-19,36.10,36.25,36.10,36.25,200,36.25
2014-09-18,38.50,38.50,37.05,38.00,400,38.00
2014-09-17,39.00,39.00,39.00,39.00,000,39.00
2014-09-16,39.00,39.00,39.00,39.00,400,39.00
2014-09-15,39.90,39.90,39.90,39.90,200,39.90
2014-09-12,40.90,42.00,40.90,42.00,100,42.00
2014-09-11,41.50,41.50,41.50,41.50,000,41.50
2014-09-10,41.70,41.70,41.50,41.50,200,41.50
2014-09-09,39.75,39.75,39.75,39.75,000,39.75
2014-09-08,41.70,41.80,39.75,39.75,100,39.75
2014-09-05,37.95,41.80,37.95,41.80,000,41.80
2014-09-04,39.90,39.90,39.90,39.90,000,39.90
2014-09-03,39.90,39.90,39.90,39.90,000,39.90
2014-09-02,39.90,39.90,39.90,39.90,000,39.90
2014-09-01,38.00,39.90,38.00,39.90,100,39.90
2014-08-29,39.85,39.85,39.85,39.85,000,39.85
2014-08-28,39.85,39.85,39.85,39.85,000,39.85
2014-08-27,38.00,39.90,38.00,39.90,000,39.90
2014-08-26,38.00,38.00,38.00,38.00,000,38.00
2014-08-25,39.00,39.00,38.00,38.00,900,38.00
2014-08-22,40.00,40.00,40.00,40.00,200,40.00
2014-08-21,40.50,40.50,40.50,40.50,200,40.50
2014-08-20,40.50,40.50,40.50,40.50,000,40.50
2014-08-19,40.50,40.50,40.50,40.50,000,40.50
2014-08-18,40.50,40.50,40.50,40.50,000,40.50
2014-08-15,40.50,40.50,40.50,40.50,000,40.50
2014-08-14,40.50,40.50,40.50,40.50,000,40.50
2014-08-13,40.50,40.50,40.50,40.50,000,40.50
2014-08-12,40.50,40.50,40.50,40.50,000,40.50
2014-08-11,40.50,40.50,40.50,40.50,000,40.50
2014-08-08,40.50,40.50,40.50,40.50,000,40.50
2014-08-07,39.90,40.50,39.90,40.50,200,40.50
2014-08-06,38.80,39.50,38.80,39.50,1500,39.50
2014-08-05,41.15,41.15,37.50,37.50,100,37.50
2014-08-04,39.90,39.90,37.50,39.20,1400,39.20
2014-08-01,38.00,38.00,38.00,38.00,100,38.00
2014-07-31,37.50,37.50,37.50,37.50,000,37.50
2014-07-30,38.30,38.30,37.50,37.50,100,37.50
2014-07-29,39.30,39.30,39.30,39.30,000,39.30
2014-07-28,39.30,39.30,39.30,39.30,000,39.30
2014-07-25,39.00,39.95,39.00,39.95,100,39.95
2014-07-24,39.75,39.75,39.75,39.75,100,39.75
2014-07-23,39.75,39.75,39.75,39.75,100,39.75
2014-07-22,38.00,38.00,38.00,38.00,000,38.00
2014-07-21,40.80,41.75,37.85,40.00,600,40.00
2014-07-18,39.80,39.80,39.80,39.80,000,39.80
2014-07-17,39.80,39.80,39.80,39.80,000,39.80
2014-07-16,39.80,39.80,39.80,39.80,000,39.80
2014-07-15,39.80,39.80,39.80,39.80,000,39.80
2014-07-14,39.80,39.80,39.80,39.80,000,39.80
2014-07-11,41.85,41.85,41.85,41.85,000,41.85
2014-07-10,40.00,40.00,40.00,40.00,000,40.00
2014-07-09,40.00,40.00,40.00,40.00,000,40.00
2014-07-08,40.00,40.00,40.00,40.00,000,40.00
2014-07-07,40.00,40.00,40.00,40.00,000,40.00
2014-07-04,40.00,40.00,40.00,40.00,000,40.00
2014-07-03,40.00,40.00,40.00,40.00,000,40.00
2014-07-02,40.00,40.00,40.00,40.00,000,40.00
2014-07-01,40.00,40.00,40.00,40.00,000,40.00
2014-06-30,40.00,40.00,40.00,40.00,000,40.00
2014-06-27,38.85,38.85,38.85,38.85,000,38.85
2014-06-26,38.85,38.85,38.85,38.85,000,38.85
2014-06-25,38.85,38.85,38.85,38.85,000,38.85
2014-06-24,36.00,37.55,34.25,37.55,200,37.55
2014-06-23,35.75,35.80,35.75,35.80,200,35.80
2014-06-20,34.10,34.10,34.10,34.10,200,34.10
2014-06-19,35.85,35.85,35.85,35.85,1500,35.85
2014-06-18,36.90,36.90,36.90,36.90,000,36.90
2014-06-17,36.80,36.90,36.80,36.90,600,36.90
2014-06-16,35.35,35.35,35.35,35.35,000,35.35
2014-06-13,35.35,35.35,35.35,35.35,000,35.35
2014-06-12,32.05,35.35,32.05,35.35,200,35.35
2014-06-11,33.70,33.70,33.70,33.70,000,33.70
2014-06-10,33.60,33.60,33.60,33.60,300,33.60
2014-06-09,37.00,37.00,35.35,35.35,300,35.35
2014-06-06,35.60,37.35,35.55,37.20,1500,37.20
2014-06-05,37.00,37.00,35.20,35.60,200,35.60
2014-06-04,33.00,35.25,33.00,35.25,100,35.25
2014-06-03,33.60,33.60,33.60,33.60,000,33.60
2014-06-02,31.00,32.00,31.00,32.00,5100,32.00
2014-05-30,30.50,30.50,30.50,30.50,000,30.50
2014-05-29,33.35,33.35,30.25,30.50,000,30.50
2014-05-28,31.80,31.80,31.80,31.80,000,31.80
2014-05-27,30.30,30.30,30.30,30.30,000,30.30
2014-05-26,29.50,30.30,29.50,30.30,900,30.30
2014-05-23,27.75,28.90,27.25,28.90,1900,28.90
2014-05-22,27.55,27.55,27.55,27.55,000,27.55
2014-05-21,27.45,27.55,26.00,27.55,300,27.55
2014-05-20,26.50,27.30,26.25,26.25,800,26.25
2014-05-19,25.70,26.00,25.70,26.00,300,26.00
2014-05-16,27.00,27.00,27.00,27.00,000,27.00
2014-05-15,26.00,27.00,25.30,27.00,200,27.00
2014-05-14,27.75,27.75,26.60,26.60,200,26.60
2014-05-13,28.00,28.00,28.00,28.00,000,28.00
2014-05-12,28.00,28.00,28.00,28.00,600,28.00
2014-05-09,30.00,30.00,29.00,29.10,200,29.10
2014-05-08,30.20,32.00,30.20,30.20,1500,30.20
2014-05-07,31.75,31.75,31.75,31.75,000,31.75
2014-05-06,31.75,31.75,31.75,31.75,000,31.75
2014-05-05,31.75,31.75,31.75,31.75,000,31.75
2014-05-02,31.75,31.75,31.75,31.75,000,31.75
2014-05-01,31.80,31.80,31.80,31.80,000,31.80
2014-04-30,30.50,31.80,29.95,31.80,100,31.80
2014-04-29,32.00,32.00,30.90,31.50,000,31.50
2014-04-28,33.50,33.50,32.30,32.50,000,32.50
2014-04-25,33.00,34.00,31.35,34.00,100,34.00
2014-04-24,33.00,33.00,33.00,33.00,000,33.00
2014-04-23,34.40,34.40,31.20,33.00,100,33.00
2014-04-22,32.80,32.80,32.80,32.80,000,32.80
2014-04-21,32.00,33.60,32.00,32.75,000,32.75
2014-04-18,32.00,32.00,32.00,32.00,000,32.00
2014-04-17,32.00,32.00,32.00,32.00,000,32.00
2014-04-16,32.00,32.00,32.00,32.00,000,32.00
2014-04-15,32.00,32.00,32.00,32.00,000,32.00
2014-04-14,32.00,32.00,32.00,32.00,000,32.00
2014-04-11,31.00,32.45,30.95,32.00,2800,32.00
2014-04-10,30.95,30.95,30.95,30.95,000,30.95
2014-04-09,30.90,30.95,29.25,30.95,500,30.95
2014-04-08,29.50,29.50,29.50,29.50,000,29.50
2014-04-07,29.50,29.50,29.50,29.50,000,29.50
2014-04-04,31.25,31.25,29.50,29.50,000,29.50
2014-04-03,31.00,31.00,31.00,31.00,100,31.00
2014-04-02,30.00,30.00,30.00,30.00,1200,30.00
2014-04-01,28.60,28.60,28.60,28.60,000,28.60
2014-03-31,27.25,27.25,27.25,27.25,000,27.25
2014-03-28,28.05,28.05,27.00,27.00,100,27.00
2014-03-27,28.50,28.50,28.00,28.00,000,28.00
2014-03-26,28.80,28.80,28.50,28.60,500,28.60
2014-03-25,30.00,30.00,29.00,29.00,000,29.00
2014-03-24,30.00,30.00,30.00,30.00,000,30.00
2014-03-21,29.50,30.00,29.50,30.00,000,30.00
2014-03-20,28.85,28.85,28.85,28.85,000,28.85
2014-03-19,28.50,28.85,28.50,28.85,300,28.85
2014-03-18,28.00,28.00,27.20,27.50,300,27.50
2014-03-17,28.60,28.60,28.60,28.60,000,28.60
2014-03-14,28.00,28.60,28.00,28.60,100,28.60
2014-03-13,28.50,28.50,27.25,27.25,000,27.25
2014-03-12,28.30,28.30,28.30,28.30,000,28.30
2014-03-11,29.00,29.00,28.00,28.30,000,28.30
2014-03-10,29.50,29.50,28.90,28.90,400,28.90
2014-03-07,27.75,29.65,27.75,29.65,400,29.65
2014-03-06,28.25,28.25,28.25,28.25,100,28.25
2014-03-05,26.95,26.95,26.95,26.95,000,26.95
2014-03-04,25.70,25.70,25.70,25.70,000,25.70
2014-03-03,25.70,25.70,25.70,25.70,000,25.70
2014-02-28,25.70,25.70,25.70,25.70,000,25.70
2014-02-27,25.70,25.70,25.70,25.70,000,25.70
2014-02-26,26.50,26.50,25.70,25.70,000,25.70
2014-02-25,27.35,27.35,25.05,27.05,200,27.05
2014-02-24,26.05,28.75,26.05,26.05,000,26.05
2014-02-21,27.30,27.40,27.30,27.40,100,27.40
2014-02-20,28.55,31.50,28.55,28.65,700,28.65
2014-02-19,30.00,31.50,30.00,30.00,400,30.00
2014-02-18,31.55,31.55,31.55,31.55,000,31.55
2014-02-17,33.20,33.20,33.20,33.20,000,33.20
2014-02-14,34.90,34.90,34.90,34.90,000,34.90
2014-02-13,34.90,34.90,34.90,34.90,000,34.90
2014-02-12,34.90,34.90,34.90,34.90,000,34.90
2014-02-11,34.90,34.90,34.90,34.90,000,34.90
