Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,36.00,39.35,33.05,33.70,834300,33.70
2014-12-22,40.55,40.80,35.65,36.05,306100,36.05
2014-12-19,43.55,43.90,39.15,39.45,299100,39.45
2014-12-18,41.80,43.40,41.25,42.95,373000,42.95
2014-12-17,43.00,44.30,38.75,39.85,402100,39.85
2014-12-16,37.75,45.45,35.00,42.05,832500,42.05
2014-12-15,48.70,49.55,39.35,39.40,538700,39.40
2014-12-12,50.35,50.70,48.80,49.15,103700,49.15
2014-12-11,51.05,51.40,49.75,50.00,225500,50.00
2014-12-10,51.80,52.00,50.75,51.00,226400,50.64
2014-12-09,52.40,54.60,51.00,51.40,438700,51.04
2014-12-08,52.10,52.50,50.25,50.60,255400,50.24
2014-12-05,52.10,53.20,51.80,52.35,81700,51.98
2014-12-04,53.00,53.15,52.05,52.10,146500,51.73
2014-12-03,52.45,59.95,52.05,52.20,310200,51.83
2014-12-02,55.40,55.40,51.25,51.70,200500,51.34
2014-12-01,57.50,57.50,54.00,54.65,1024100,54.26
2014-11-28,57.20,58.20,56.30,56.55,72600,56.15
2014-11-27,57.15,58.50,56.50,57.05,50100,56.65
2014-11-26,56.80,58.15,56.50,56.95,72100,56.55
2014-11-25,60.15,60.30,56.80,57.25,114500,56.85
2014-11-24,56.65,60.80,56.60,59.70,217700,59.28
2014-11-21,57.00,59.20,55.70,56.50,156400,56.10
2014-11-20,59.85,59.85,55.10,56.50,161400,56.10
2014-11-19,61.15,61.30,58.75,59.10,65900,58.68
2014-11-18,63.15,64.25,59.15,60.00,172600,59.58
2014-11-17,64.50,65.60,62.00,62.40,89100,61.96
2014-11-14,64.00,65.05,61.40,63.50,199500,63.05
2014-11-13,66.75,72.00,64.40,65.05,204900,64.59
2014-11-12,64.70,66.85,64.00,66.05,351000,65.58
2014-11-11,64.50,65.00,63.80,64.30,65800,63.85
2014-11-10,63.30,66.00,63.30,64.10,171500,63.65
2014-11-07,67.00,68.80,62.60,65.35,524800,64.89
2014-11-06,66.85,66.85,66.85,66.85,000,66.38
2014-11-05,63.00,67.50,61.50,66.85,261800,66.38
2014-11-04,62.40,62.40,62.40,62.40,000,61.96
2014-11-03,63.50,64.70,62.05,62.40,217200,61.96
2014-10-31,62.60,65.95,62.10,63.90,498600,63.45
2014-10-30,62.85,63.35,61.55,61.90,59200,61.46
2014-10-29,63.55,63.55,61.50,62.20,66200,61.76
2014-10-28,63.95,64.00,62.45,63.00,34800,62.56
2014-10-27,64.95,66.00,63.25,63.60,54900,63.15
2014-10-24,63.00,63.00,63.00,63.00,000,62.56
2014-10-23,63.00,63.00,63.00,63.00,000,62.56
2014-10-22,62.80,73.90,62.10,63.00,150700,62.56
2014-10-21,65.70,67.00,62.80,63.55,128800,63.10
2014-10-20,66.70,69.50,64.25,65.65,265100,65.19
2014-10-17,66.80,66.80,64.80,65.15,49100,64.69
