Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,177.25,189.80,177.25,178.40,000,178.40
2014-12-22,178.00,191.50,178.00,191.50,100,191.50
2014-12-19,172.10,186.90,172.10,186.90,000,186.90
2014-12-18,173.15,184.80,173.15,179.65,100,179.65
2014-12-17,191.95,191.95,171.30,185.00,300,185.00
2014-12-16,194.00,194.00,172.55,181.00,100,181.00
2014-12-15,195.00,195.00,187.45,187.45,000,187.45
2014-12-12,204.00,204.00,184.30,184.55,300,184.55
2014-12-11,213.90,213.90,188.00,191.50,3300,191.50
2014-12-10,196.00,201.95,196.00,198.00,400,198.00
2014-12-09,196.90,217.00,195.00,206.00,700,206.00
2014-12-08,202.95,202.95,184.25,198.00,000,198.00
2014-12-05,200.00,200.00,190.00,199.50,100,199.50
2014-12-04,203.50,203.50,186.25,197.00,500,197.00
2014-12-03,206.30,206.30,191.35,194.05,100,194.05
2014-12-02,193.70,204.70,191.70,199.30,600,199.30
2014-12-01,191.00,197.00,191.00,197.00,000,197.00
2014-11-28,206.00,206.70,192.00,193.80,500,193.80
2014-11-27,190.50,203.00,190.50,202.00,100,202.00
2014-11-26,203.90,204.60,198.15,198.55,3000,198.55
2014-11-25,193.00,194.90,192.00,194.90,3000,194.90
2014-11-24,185.65,185.65,185.65,185.65,200,185.65
2014-11-21,170.00,176.85,169.90,176.85,1300,176.85
2014-11-20,169.10,172.00,166.00,168.45,2900,168.45
2014-11-19,173.50,180.80,173.50,174.10,3700,174.10
2014-11-18,182.15,218.00,180.10,180.90,23900,180.90
2014-11-17,225.00,225.00,200.10,200.10,1600,200.10
2014-11-14,264.00,271.70,222.30,222.30,20700,222.30
2014-11-13,225.00,247.00,207.00,247.00,3800,247.00
2014-11-12,187.90,205.85,185.80,205.85,2900,205.85
2014-11-11,164.80,179.00,160.00,171.55,1400,171.55
2014-11-10,153.85,153.85,150.00,153.85,3300,153.85
2014-11-07,138.00,139.90,127.00,139.90,900,139.90
2014-11-06,134.00,134.00,134.00,134.00,000,134.00
2014-11-05,143.00,143.00,125.00,134.00,1100,134.00
2014-11-04,135.90,135.90,135.90,135.90,000,135.90
2014-11-03,122.10,135.90,122.00,135.90,500,135.90
2014-10-31,132.00,138.45,127.95,131.00,900,131.00
2014-10-30,143.10,143.10,137.55,139.50,200,139.50
2014-10-29,131.00,131.00,130.00,130.10,000,130.10
2014-10-28,130.00,130.00,130.00,130.00,000,130.00
2014-10-27,130.00,130.00,130.00,130.00,000,130.00
2014-10-24,130.00,130.00,130.00,130.00,000,130.00
2014-10-23,130.00,130.00,130.00,130.00,000,130.00
2014-10-22,130.00,130.00,130.00,130.00,000,130.00
2014-10-21,125.00,130.00,124.00,130.00,1100,130.00
2014-10-20,125.10,125.10,125.10,125.10,000,125.10
2014-10-17,128.50,130.00,125.10,125.10,1400,125.10
2014-10-16,128.00,137.90,126.00,127.00,400,127.00
