Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,18.05,19.95,15.30,16.70,3000,16.70
2014-12-22,20.00,21.00,17.55,17.85,1000,17.85
2014-12-19,20.50,20.50,19.25,19.45,000,19.45
2014-12-18,18.60,19.65,18.55,18.55,800,18.55
2014-12-17,17.90,21.00,17.85,19.80,4800,19.80
2014-12-16,20.80,20.95,18.10,18.85,7700,18.85
2014-12-15,19.25,19.25,19.25,19.25,000,19.25
2014-12-12,21.80,21.80,21.00,21.75,000,21.75
2014-12-11,21.00,21.00,21.00,21.00,500,21.00
2014-12-10,18.75,21.00,18.75,20.90,600,20.90
2014-12-09,19.20,23.40,19.20,21.00,1200,21.00
2014-12-08,19.45,22.30,19.45,21.45,3600,21.45
2014-12-05,19.50,20.45,18.90,19.50,9600,19.50
2014-12-04,21.00,22.70,19.25,19.50,10500,19.50
2014-12-03,21.00,23.45,19.25,19.60,5100,19.60
2014-12-02,18.60,22.40,18.60,20.50,13000,20.50
2014-12-01,22.50,22.50,21.00,21.00,2100,21.00
2014-11-28,20.20,21.35,20.20,20.75,200,20.75
2014-11-27,20.60,22.95,20.50,20.75,7600,20.75
2014-11-26,21.45,23.20,21.40,21.45,4100,21.45
2014-11-25,22.30,22.30,22.30,22.30,000,22.30
2014-11-24,22.05,22.95,21.20,22.30,4900,22.30
2014-11-21,23.00,23.00,21.60,22.55,4300,22.55
2014-11-20,21.15,22.30,21.15,22.30,100,22.30
2014-11-19,21.65,22.60,21.25,21.50,500,21.50
2014-11-18,21.65,23.40,21.05,21.95,3500,21.95
2014-11-17,21.20,25.00,21.20,22.80,3400,22.80
2014-11-14,25.00,25.00,23.40,23.50,3900,23.50
2014-11-13,22.40,24.40,22.40,23.20,2600,23.20
2014-11-12,23.40,24.30,23.15,23.90,1000,23.90
2014-11-11,25.00,25.00,23.40,24.20,1600,24.20
2014-11-10,25.00,25.00,23.40,24.15,1300,24.15
2014-11-07,26.00,26.00,23.05,24.15,2600,24.15
2014-11-06,23.60,23.60,23.60,23.60,000,23.60
2014-11-05,23.40,25.85,23.35,23.60,200,23.60
2014-11-04,23.75,23.75,23.75,23.75,000,23.75
2014-11-03,25.50,25.50,23.55,23.75,400,23.75
2014-10-31,23.50,25.40,23.05,23.80,700,23.80
2014-10-30,24.35,25.25,23.65,25.25,1000,25.25
2014-10-29,26.45,26.45,24.60,24.60,4300,24.60
2014-10-28,28.00,28.50,24.80,25.90,4800,25.90
2014-10-27,26.50,26.55,26.50,26.55,100,26.55
2014-10-24,27.15,27.15,27.15,27.15,000,27.15
2014-10-23,27.15,27.15,27.15,27.15,000,27.15
2014-10-22,25.65,28.50,25.00,27.15,2300,27.15
2014-10-21,25.10,26.00,25.10,26.00,400,26.00
2014-10-20,25.70,26.50,25.55,25.65,11200,25.65
2014-10-17,26.00,26.50,25.40,25.40,1800,25.40
2014-10-16,26.60,26.70,26.30,26.30,2500,26.30
2014-10-15,26.50,26.50,26.50,26.50,000,26.50
2014-10-14,26.05,26.50,26.05,26.50,400,26.50
2014-10-13,24.15,28.90,24.15,26.65,1500,26.65
2014-10-10,23.30,28.80,23.30,26.85,7500,26.85
