Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,11.90,11.90,11.90,11.90,1000,11.90
2014-12-22,11.55,13.40,11.55,12.66,5500,12.66
2014-12-19,12.00,12.50,11.50,12.45,7700,12.45
2014-12-18,12.36,12.36,12.36,12.36,000,12.36
2014-12-17,11.31,12.58,11.31,12.36,3900,12.36
2014-12-16,12.08,12.49,11.25,12.17,3900,12.17
2014-12-15,11.40,12.90,11.40,12.90,2000,12.90
2014-12-12,11.55,12.50,11.55,12.50,10700,12.50
2014-12-11,14.50,14.50,12.85,12.85,5000,12.85
2014-12-10,12.35,12.80,12.30,12.80,1300,12.80
2014-12-09,14.30,14.30,12.00,12.88,8800,12.88
2014-12-08,12.90,12.90,11.56,12.46,26100,12.46
2014-12-05,11.55,13.00,11.50,12.90,62200,12.90
2014-12-04,13.10,13.10,13.10,13.10,000,13.10
2014-12-03,11.60,14.20,11.60,13.10,10900,13.10
2014-12-02,11.30,13.10,11.30,12.84,1400,12.84
2014-12-01,12.25,15.45,12.05,13.21,66600,13.21
2014-11-28,12.50,13.90,12.45,12.90,1500,12.90
2014-11-27,12.50,13.50,12.50,13.50,5500,13.50
2014-11-26,12.35,14.15,12.35,13.80,13300,13.80
2014-11-25,12.75,14.75,12.70,14.20,1000,14.20
2014-11-24,12.70,14.20,12.70,14.20,13600,14.20
2014-11-21,12.80,14.85,12.80,13.60,33000,13.60
2014-11-20,13.80,13.80,13.80,13.80,1200,13.80
2014-11-19,13.00,14.50,13.00,13.70,3500,13.70
2014-11-18,12.75,14.45,12.75,13.05,3500,13.05
2014-11-17,13.35,13.85,13.00,13.75,5100,13.75
2014-11-14,13.55,13.55,13.00,13.10,6000,13.10
2014-11-13,12.15,16.00,12.00,13.75,3000,13.75
2014-11-12,14.10,14.10,14.00,14.00,800,14.00
2014-11-11,12.60,15.45,12.60,14.40,6700,14.40
2014-11-10,13.25,15.80,13.25,13.90,18700,13.90
2014-11-07,15.35,15.35,15.35,15.35,300,15.35
2014-11-06,14.40,14.40,14.40,14.40,000,14.40
2014-11-05,14.30,15.50,13.50,14.40,1800,14.40
2014-11-04,15.50,15.50,15.50,15.50,000,15.50
2014-11-03,12.65,16.00,12.65,15.50,6800,15.50
2014-10-31,15.50,15.50,15.50,15.50,000,15.50
2014-10-30,15.50,15.85,14.05,15.50,11000,15.50
2014-10-29,14.40,15.00,14.40,15.00,2000,15.00
2014-10-28,15.60,15.60,15.60,15.60,000,15.60
2014-10-27,15.60,15.60,15.60,15.60,000,15.60
2014-10-24,15.60,15.60,15.60,15.60,000,15.60
2014-10-23,15.60,15.60,15.60,15.60,000,15.60
2014-10-22,14.20,18.85,14.20,15.60,14600,15.60
2014-10-21,14.55,16.45,14.55,16.45,1300,16.45
2014-10-20,16.35,16.35,16.35,16.35,000,16.35
2014-10-17,13.50,16.70,13.50,16.35,3900,16.35
2014-10-16,14.45,16.90,14.00,15.50,10900,15.50
2014-10-15,16.70,16.70,16.70,16.70,000,16.70
2014-10-14,16.00,17.30,14.00,16.70,17400,16.70
2014-10-13,11.30,15.00,11.30,14.85,17400,14.85
2014-10-10,13.00,14.75,12.75,14.05,1200,14.05
2014-10-09,12.40,14.90,12.40,14.85,2200,14.85
2014-10-08,14.10,14.20,14.10,14.20,600,14.20
2014-10-07,13.35,13.35,13.35,13.35,000,13.35
2014-10-06,13.35,13.35,13.35,13.35,000,13.35
2014-10-03,13.35,13.35,13.35,13.35,000,13.35
2014-10-02,13.35,13.35,13.35,13.35,000,13.35
2014-10-01,12.50,14.70,12.50,13.35,9000,13.35
2014-09-30,15.05,16.40,15.05,15.05,8700,15.05
2014-09-29,14.90,15.10,14.90,15.00,2400,15.00
2014-09-26,13.60,15.09,13.60,13.60,1000,13.60
2014-09-25,13.85,14.90,13.00,14.90,700,14.90
2014-09-24,15.99,15.99,13.60,14.50,12300,14.50
2014-09-23,16.19,16.19,16.19,16.19,000,16.19
2014-09-22,16.19,16.19,16.19,16.19,500,16.19
2014-09-19,16.37,16.37,13.00,15.16,19700,15.16
2014-09-18,14.00,15.00,13.50,14.13,46900,14.13
2014-09-17,16.25,17.00,14.20,15.68,20900,15.68
2014-09-16,16.99,16.99,14.10,15.45,2400,15.45
2014-09-15,14.70,16.49,14.70,16.46,1700,16.46
