Date,Open,High,Low,Close,Volume,Adj Close
2014-07-09,55.90,55.90,55.90,55.90,000,55.90
2014-07-08,55.90,55.90,55.90,55.90,000,55.90
2014-07-07,55.90,55.90,55.90,55.90,000,55.90
2014-07-04,55.90,55.90,55.90,55.90,000,55.90
2014-07-03,55.90,55.90,55.90,55.90,000,55.90
2014-07-02,55.90,55.90,55.90,55.90,000,55.90
2014-07-01,55.90,55.90,55.90,55.90,000,55.90
2014-06-30,55.90,55.90,55.90,55.90,000,55.90
2014-06-27,55.90,55.90,55.90,55.90,000,55.90
2014-06-26,55.90,55.90,55.90,55.90,000,55.90
2014-06-25,53.25,53.25,53.25,53.25,000,53.25
2014-06-24,50.75,50.75,50.75,50.75,000,50.75
2014-06-23,50.75,50.75,50.75,50.75,000,50.75
2014-06-20,50.75,50.75,50.75,50.75,000,50.75
2014-06-19,50.75,50.75,50.75,50.75,000,50.75
2014-06-18,50.75,50.75,50.75,50.75,000,50.75
2014-06-17,50.75,50.75,50.75,50.75,000,50.75
2014-06-16,50.75,50.75,50.75,50.75,000,50.75
2014-06-13,50.75,50.75,50.75,50.75,000,50.75
2014-06-12,50.75,50.75,50.75,50.75,000,50.75
2014-06-11,50.75,50.75,50.75,50.75,000,50.75
2014-06-10,50.75,50.75,50.75,50.75,000,50.75
2014-06-09,50.75,50.75,50.75,50.75,000,50.75
2014-06-06,50.75,50.75,50.75,50.75,000,50.75
2014-06-05,50.75,50.75,50.75,50.75,000,50.75
2014-06-04,50.75,50.75,50.75,50.75,000,50.75
2014-06-03,50.75,50.75,50.75,50.75,000,50.75
2014-06-02,50.75,50.75,50.75,50.75,000,50.75
2014-05-30,50.75,50.75,50.75,50.75,000,50.75
2014-05-29,50.75,50.75,50.75,50.75,000,50.75
2014-05-28,50.75,50.75,50.75,50.75,000,50.75
2014-05-27,50.75,50.75,50.75,50.75,000,50.75
2014-05-26,50.75,50.75,50.75,50.75,000,50.75
2014-05-23,50.75,50.75,50.75,50.75,000,50.75
2014-05-22,50.75,50.75,50.75,50.75,000,50.75
2014-05-21,50.75,50.75,50.75,50.75,000,50.75
2014-05-20,50.75,50.75,50.75,50.75,000,50.75
2014-05-19,48.35,48.35,48.35,48.35,000,48.35
2014-05-16,48.35,48.35,48.35,48.35,000,48.35
2014-05-15,48.35,48.35,48.35,48.35,000,48.35
2014-05-14,48.35,48.35,48.35,48.35,000,48.35
2014-05-13,48.35,48.35,48.35,48.35,000,48.35
2014-05-12,48.35,48.35,48.35,48.35,000,48.35
2014-05-09,48.35,48.35,48.35,48.35,000,48.35
2014-05-08,48.35,48.35,48.35,48.35,000,48.35
2014-05-07,46.05,46.05,46.05,46.05,000,46.05
2014-05-06,46.05,46.05,46.05,46.05,000,46.05
2014-05-05,46.05,46.05,46.05,46.05,000,46.05
2014-05-02,46.05,46.05,46.05,46.05,000,46.05
2014-05-01,46.05,46.05,46.05,46.05,000,46.05
2014-04-30,46.05,46.05,46.05,46.05,000,46.05
2014-04-29,46.05,46.05,46.05,46.05,000,46.05
2014-04-28,43.90,43.90,43.90,43.90,000,43.90
2014-04-25,43.90,43.90,43.90,43.90,000,43.90
2014-04-24,43.90,43.90,43.90,43.90,000,43.90
2014-04-23,43.90,43.90,43.90,43.90,000,43.90
2014-04-22,43.90,43.90,43.90,43.90,000,43.90
2014-04-21,43.90,43.90,43.90,43.90,000,43.90
2014-04-18,43.90,43.90,43.90,43.90,000,43.90
2014-04-17,43.90,43.90,43.90,43.90,000,43.90
2014-04-16,43.90,43.90,43.90,43.90,000,43.90
2014-04-15,43.90,43.90,43.90,43.90,000,43.90
2014-04-14,43.90,43.90,43.90,43.90,000,43.90
2014-04-11,43.90,43.90,43.90,43.90,000,43.90
2014-04-10,43.90,43.90,43.90,43.90,000,43.90
2014-04-09,39.90,39.90,39.90,39.90,000,39.90
2014-04-08,39.90,39.90,39.90,39.90,000,39.90
2014-04-07,39.90,39.90,39.90,39.90,000,39.90
2014-04-04,39.90,39.90,39.90,39.90,000,39.90
2014-04-03,39.90,39.90,39.90,39.90,000,39.90
2014-04-02,39.90,39.90,39.90,39.90,000,39.90
2014-04-01,39.90,39.90,39.90,39.90,000,39.90
2014-03-31,39.90,39.90,39.90,39.90,000,39.90
2014-03-28,39.90,39.90,39.90,39.90,000,39.90
2014-03-27,39.90,39.90,39.90,39.90,000,39.90
2014-03-26,39.90,39.90,39.90,39.90,000,39.90
2014-03-25,39.90,39.90,39.90,39.90,000,39.90
2014-03-24,39.90,39.90,39.90,39.90,000,39.90
2014-03-21,39.90,39.90,39.90,39.90,000,39.90
2014-03-20,39.90,39.90,39.90,39.90,000,39.90
2014-03-19,39.90,39.90,39.90,39.90,000,39.90
2014-03-18,39.90,39.90,39.90,39.90,000,39.90
2014-03-17,39.90,39.90,39.90,39.90,000,39.90
2014-03-14,39.90,39.90,39.90,39.90,000,39.90
2014-03-13,39.90,39.90,39.90,39.90,000,39.90
2014-03-12,39.90,39.90,39.90,39.90,000,39.90
2014-03-11,39.90,39.90,39.90,39.90,000,39.90
2014-03-10,39.90,39.90,39.90,39.90,000,39.90
2014-03-07,39.90,39.90,39.90,39.90,000,39.90
2014-03-06,39.90,39.90,39.90,39.90,000,39.90
2014-03-05,39.90,39.90,39.90,39.90,000,39.90
2014-03-04,39.90,39.90,39.90,39.90,000,39.90
2014-03-03,39.90,39.90,39.90,39.90,000,39.90
2014-02-28,39.90,39.90,39.90,39.90,000,39.90
2014-02-27,39.90,39.90,39.90,39.90,000,39.90
2014-02-26,39.90,39.90,39.90,39.90,000,39.90
2014-02-25,39.90,39.90,39.90,39.90,000,39.90
2014-02-24,39.90,39.90,39.90,39.90,000,39.90
2014-02-21,38.00,38.00,38.00,38.00,000,38.00
2014-02-20,38.00,38.00,38.00,38.00,000,38.00
2014-02-19,38.00,38.00,38.00,38.00,000,38.00
2014-02-18,38.00,38.00,38.00,38.00,000,38.00
2014-02-17,38.00,38.00,38.00,38.00,000,38.00
2014-02-14,38.00,38.00,38.00,38.00,000,38.00
2014-02-13,38.00,38.00,38.00,38.00,000,38.00
2014-02-12,38.00,38.00,38.00,38.00,000,38.00
2014-02-11,38.00,38.00,38.00,38.00,000,38.00
2014-02-10,38.00,38.00,38.00,38.00,000,38.00
2014-02-07,38.00,38.00,38.00,38.00,000,38.00
2014-02-06,38.00,38.00,38.00,38.00,000,38.00
2014-02-05,38.00,38.00,38.00,38.00,000,38.00
2014-02-04,38.00,38.00,38.00,38.00,000,38.00
2014-02-03,38.00,38.00,38.00,38.00,000,38.00
2014-01-31,38.00,38.00,38.00,38.00,000,38.00
2014-01-30,38.00,38.00,38.00,38.00,000,38.00
2014-01-29,38.00,38.00,38.00,38.00,000,38.00
2014-01-28,38.00,38.00,38.00,38.00,000,38.00
2014-01-27,38.00,38.00,38.00,38.00,000,38.00
2014-01-24,38.00,38.00,38.00,38.00,000,38.00
2014-01-23,38.00,38.00,38.00,38.00,000,38.00
2014-01-22,38.00,38.00,38.00,38.00,000,38.00
2014-01-21,38.00,38.00,38.00,38.00,000,38.00
2014-01-20,38.00,38.00,38.00,38.00,000,38.00
2014-01-17,38.00,38.00,38.00,38.00,000,38.00
2014-01-16,38.00,38.00,38.00,38.00,000,38.00
2014-01-15,38.00,38.00,38.00,38.00,100,38.00
2014-01-14,36.35,36.35,36.35,36.35,000,36.35
2014-01-13,36.35,36.35,36.35,36.35,000,36.35
2014-01-10,36.35,36.35,36.35,36.35,000,36.35
2014-01-09,36.35,36.35,36.35,36.35,000,36.35
2014-01-08,36.35,36.35,36.35,36.35,000,36.35
2014-01-07,36.35,36.35,36.35,36.35,000,36.35
2014-01-06,36.35,36.35,36.35,36.35,000,36.35
2014-01-03,36.35,36.35,36.35,36.35,000,36.35
2014-01-02,36.35,36.35,36.35,36.35,000,36.35
2014-01-01,36.35,36.35,36.35,36.35,000,36.35
2013-12-31,36.35,36.35,36.35,36.35,000,36.35
2013-12-30,36.35,36.35,36.35,36.35,000,36.35
2013-12-27,36.35,36.35,36.35,36.35,000,36.35
2013-12-26,36.35,36.35,36.35,36.35,000,36.35
2013-12-25,36.35,36.35,36.35,36.35,000,36.35
2013-12-24,36.35,36.35,36.35,36.35,000,36.35
2013-12-23,36.35,36.35,36.35,36.35,000,36.35
2013-12-20,36.35,36.35,36.35,36.35,000,36.35
2013-12-19,36.35,36.35,36.35,36.35,000,36.35
2013-12-18,36.35,36.35,36.35,36.35,000,36.35
2013-12-17,36.35,36.35,36.35,36.35,000,36.35
2013-12-16,36.35,36.35,36.35,36.35,000,36.35
2013-12-13,36.35,36.35,36.35,36.35,000,36.35
2013-12-12,36.35,36.35,36.35,36.35,000,36.35
2013-12-11,36.35,36.35,36.35,36.35,000,36.35
2013-12-10,36.35,36.35,36.35,36.35,000,36.35
2013-12-09,36.35,36.35,36.35,36.35,000,36.35
2013-12-06,36.35,36.35,36.35,36.35,000,36.35
2013-12-05,36.35,36.35,36.35,36.35,000,36.35
2013-12-04,36.35,36.35,36.35,36.35,000,36.35
2013-12-03,36.35,36.35,36.35,36.35,000,36.35
2013-12-02,36.35,36.35,36.35,36.35,000,36.35
2013-11-29,36.35,36.35,36.35,36.35,000,36.35
2013-11-28,36.35,36.35,36.35,36.35,000,36.35
2013-11-27,36.35,36.35,36.35,36.35,000,36.35
2013-11-26,36.35,36.35,36.35,36.35,000,36.35
2013-11-25,36.35,36.35,36.35,36.35,000,36.35
2013-11-22,36.35,36.35,36.35,36.35,000,36.35
2013-11-21,36.35,36.35,36.35,36.35,000,36.35
2013-11-20,36.35,36.35,36.35,36.35,000,36.35
2013-11-19,36.35,36.35,36.35,36.35,000,36.35
2013-11-18,36.35,36.35,36.35,36.35,000,36.35
2013-11-15,36.35,36.35,36.35,36.35,000,36.35
2013-11-14,36.35,36.35,36.35,36.35,000,36.35
2013-11-13,36.35,36.35,36.35,36.35,000,36.35
2013-11-12,36.35,36.35,36.35,36.35,000,36.35
2013-11-11,36.35,36.35,36.35,36.35,000,36.35
2013-11-08,36.35,36.35,36.35,36.35,000,36.35
2013-11-07,36.35,36.35,36.35,36.35,000,36.35
2013-11-06,36.35,36.35,36.35,36.35,000,36.35
2013-11-05,36.35,36.35,36.35,36.35,000,36.35
2013-11-04,36.35,36.35,36.35,36.35,000,36.35
2013-11-01,36.35,36.35,36.35,36.35,000,36.35
2013-10-31,36.35,36.35,36.35,36.35,000,36.35
2013-10-30,36.35,36.35,36.35,36.35,000,36.35
2013-10-29,36.35,36.35,36.35,36.35,000,36.35
2013-10-28,36.35,36.35,36.35,36.35,000,36.35
2013-10-25,36.35,36.35,36.35,36.35,000,36.35
2013-10-24,36.35,36.35,36.35,36.35,000,36.35
2013-10-23,36.35,36.35,36.35,36.35,000,36.35
2013-10-22,36.35,36.35,36.35,36.35,000,36.35
2013-10-21,36.35,36.35,36.35,36.35,000,36.35
2013-10-18,36.35,36.35,36.35,36.35,000,36.35
2013-10-17,36.35,36.35,36.35,36.35,000,36.35
2013-10-16,36.35,36.35,36.35,36.35,000,36.35
2013-10-15,36.35,36.35,36.35,36.35,000,36.35
2013-10-14,34.65,34.65,34.65,34.65,000,34.65
2013-10-11,34.65,34.65,34.65,34.65,000,34.65
2013-10-10,34.65,34.65,34.65,34.65,000,34.65
2013-10-09,34.65,34.65,34.65,34.65,000,34.65
2013-10-08,34.65,34.65,34.65,34.65,000,34.65
2013-10-07,34.65,34.65,34.65,34.65,000,34.65
2013-10-04,34.65,34.65,34.65,34.65,000,34.65
2013-10-03,34.65,34.65,34.65,34.65,200,34.65
2013-10-02,34.00,34.00,34.00,34.00,000,34.00
2013-10-01,34.00,34.00,34.00,34.00,000,34.00
2013-09-30,34.00,34.00,34.00,34.00,000,34.00
2013-09-27,34.00,34.00,34.00,34.00,000,34.00
2013-09-26,34.00,34.00,34.00,34.00,000,34.00
2013-09-25,34.00,34.00,34.00,34.00,000,34.00
2013-09-24,34.00,34.00,34.00,34.00,000,34.00
2013-09-23,34.00,34.00,34.00,34.00,000,34.00
2013-09-20,34.00,34.00,34.00,34.00,000,34.00
2013-09-19,34.00,34.00,34.00,34.00,000,34.00
2013-09-18,34.00,34.00,34.00,34.00,000,33.00
