Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,37.15,39.25,37.15,39.25,500,39.25
2014-12-22,42.20,42.20,38.20,40.30,800,40.30
2014-12-19,37.65,41.50,37.65,39.55,200,39.55
2014-12-18,38.20,38.55,38.10,38.10,000,38.10
2014-12-17,38.15,39.80,38.15,38.85,2600,38.85
2014-12-16,43.65,43.65,40.70,41.70,1700,41.70
2014-12-15,45.15,45.15,45.15,45.15,000,45.15
2014-12-12,46.50,46.50,45.15,45.15,000,45.15
2014-12-11,44.05,48.85,44.05,45.00,2500,45.00
2014-12-10,46.90,46.90,45.75,46.05,600,46.05
2014-12-09,45.80,49.90,44.55,45.35,3000,45.35
2014-12-08,46.25,50.60,46.20,47.35,300,47.35
2014-12-05,46.15,49.90,46.15,46.75,200,46.75
2014-12-04,48.60,49.10,48.60,48.70,200,48.70
2014-12-03,50.90,50.90,50.90,50.90,000,50.90
2014-12-02,50.90,50.90,50.90,50.90,000,50.90
2014-12-01,48.00,50.90,48.00,50.90,1000,50.90
2014-11-28,46.70,49.75,46.70,49.70,1200,49.70
2014-11-27,47.80,48.00,47.05,48.00,100,48.00
2014-11-26,48.85,48.85,48.85,48.85,000,48.85
2014-11-25,49.05,51.20,47.75,48.85,2900,48.85
2014-11-24,49.40,49.55,49.00,49.55,4000,49.55
2014-11-21,48.00,49.75,45.50,47.20,2000,47.20
2014-11-20,49.00,51.00,47.70,47.70,1200,47.70
2014-11-19,50.05,51.60,50.05,50.20,900,50.20
2014-11-18,52.00,54.50,51.60,52.20,2500,52.20
2014-11-17,52.80,56.50,52.80,54.30,1000,54.30
2014-11-14,53.95,55.70,53.05,55.55,2500,55.55
2014-11-13,54.05,54.10,53.00,53.05,2000,53.05
2014-11-12,55.00,55.00,54.60,55.00,1600,55.00
2014-11-11,54.55,56.50,54.55,56.50,000,56.50
2014-11-10,57.50,57.50,55.35,55.45,400,55.45
2014-11-07,58.65,58.65,55.35,57.90,1300,57.90
2014-11-06,55.90,55.90,55.90,55.90,000,55.90
2014-11-05,54.00,55.90,54.00,55.90,600,55.90
2014-11-04,53.25,53.25,53.25,53.25,000,53.25
2014-11-03,52.65,53.25,49.20,53.25,900,53.25
2014-10-31,48.50,51.80,47.05,50.75,3300,50.75
2014-10-30,48.10,49.50,47.10,49.45,100,49.45
2014-10-29,45.50,48.80,45.50,48.80,300,48.80
2014-10-28,48.25,48.25,47.00,47.00,100,47.00
2014-10-27,46.55,47.10,45.80,47.00,1300,47.00
2014-10-24,48.20,48.20,48.20,48.20,000,48.20
2014-10-23,48.20,48.20,48.20,48.20,000,48.20
2014-10-22,48.20,48.20,48.20,48.20,000,48.20
2014-10-21,48.20,48.20,48.20,48.20,000,48.20
2014-10-20,48.00,48.20,48.00,48.20,400,48.20
2014-10-17,51.20,51.20,46.50,46.65,100,46.65
2014-10-16,46.00,48.85,46.00,48.85,400,48.85
2014-10-15,47.10,47.10,47.10,47.10,000,47.10
2014-10-14,47.10,47.10,47.10,47.10,200,47.10
2014-10-13,47.00,48.85,47.00,47.10,700,47.10
2014-10-10,45.20,48.70,45.20,46.55,3200,46.55
2014-10-09,46.05,49.40,46.05,47.05,800,47.05
2014-10-08,47.60,48.40,47.00,47.25,800,47.25
2014-10-07,49.00,49.00,49.00,49.00,000,49.00
2014-10-06,49.00,49.00,49.00,49.00,000,49.00
2014-10-03,49.00,49.00,49.00,49.00,000,49.00
2014-10-02,49.00,49.00,49.00,49.00,000,49.00
2014-10-01,48.10,51.40,48.00,49.00,5000,49.00
2014-09-30,48.25,50.40,48.25,50.40,300,50.40
2014-09-29,49.70,49.80,48.05,48.05,200,48.05
2014-09-26,49.95,49.95,48.00,49.00,200,49.00
2014-09-25,50.20,52.00,50.10,50.10,4000,50.10
2014-09-24,52.90,52.90,50.50,52.70,200,52.70
2014-09-23,54.60,54.60,51.20,52.00,2500,52.00
2014-09-22,51.30,52.05,51.30,52.00,500,52.00
2014-09-19,51.00,53.40,50.50,53.05,500,53.05
2014-09-18,55.00,55.00,51.60,52.00,9500,52.00
2014-09-17,53.60,55.00,52.80,52.80,3000,52.80
2014-09-16,56.75,57.25,55.55,55.55,5000,55.55
2014-09-15,59.00,59.50,58.40,58.45,6700,58.45
2014-09-12,60.45,60.50,57.10,57.70,1200,57.70
2014-09-11,58.00,59.75,57.50,58.25,1500,58.25
2014-09-10,58.00,58.45,58.00,58.15,300,58.15
2014-09-09,56.50,59.45,56.40,59.00,1400,59.00
2014-09-08,57.00,59.50,55.20,57.10,2100,57.10
2014-09-05,57.05,59.00,56.90,56.90,1700,56.90
2014-09-04,59.00,59.00,56.60,56.60,300,56.60
2014-09-03,60.10,62.95,57.70,58.25,3400,58.25
2014-09-02,60.75,60.75,58.00,60.70,7100,60.70
2014-09-01,57.90,57.90,56.35,57.90,600,57.90
2014-08-29,55.15,55.15,55.15,55.15,000,55.15
2014-08-28,55.10,55.15,55.00,55.15,2400,55.15
2014-08-27,50.75,52.55,50.75,52.55,4100,52.55
2014-08-26,50.75,50.75,49.65,50.05,1000,50.05
2014-08-25,51.80,53.00,49.85,51.55,5900,51.55
2014-08-22,54.90,54.90,49.70,51.20,39500,51.20
2014-08-21,52.30,52.30,52.30,52.30,2100,52.30
2014-08-20,49.85,49.85,49.85,49.85,1200,49.85
2014-08-19,47.50,47.50,47.00,47.50,2100,47.50
2014-08-18,40.95,45.25,40.95,45.25,22100,45.25
2014-08-15,43.10,43.10,43.10,43.10,000,43.10
2014-08-14,43.10,43.45,43.10,43.10,16900,43.10
2014-08-13,49.15,50.95,47.85,47.85,4600,47.85
2014-08-12,59.00,59.00,53.15,53.15,22500,53.15
2014-08-11,54.50,59.05,53.75,59.05,8000,59.05
2014-08-08,55.10,56.40,53.35,53.70,3700,53.70
2014-08-07,57.45,60.00,57.20,59.25,3000,59.25
2014-08-06,60.85,61.75,57.75,58.85,2000,58.85
2014-08-05,59.15,62.35,58.10,59.95,5100,59.95
2014-08-04,60.60,61.95,56.30,60.25,4800,60.25
2014-08-01,64.00,65.60,61.90,61.90,11600,61.90
2014-07-31,68.20,69.00,65.00,65.15,7300,65.15
2014-07-30,66.30,68.95,66.30,68.05,12200,68.05
2014-07-29,69.75,69.75,69.75,69.75,000,69.75
2014-07-28,68.45,70.40,68.00,69.75,700,69.75
2014-07-25,72.00,72.40,68.45,68.45,8100,68.45
2014-07-24,70.80,77.30,70.00,72.05,25600,72.05
2014-07-23,74.75,76.90,73.65,73.65,5000,73.65
2014-07-22,85.60,85.60,77.50,77.50,33600,77.50
2014-07-21,81.55,81.55,81.55,81.55,1200,81.55
2014-07-18,77.70,77.70,77.70,77.70,2200,77.70
2014-07-17,71.20,74.00,70.85,74.00,4400,74.00
2014-07-16,69.90,70.50,65.60,70.50,11800,70.50
2014-07-15,66.00,68.00,65.00,67.15,3700,67.15
2014-07-14,65.05,71.50,64.75,66.60,11500,66.60
2014-07-11,75.25,75.25,68.15,68.15,39200,68.15
2014-07-10,65.20,72.00,65.20,71.70,34500,71.70
2014-07-09,68.60,68.60,68.60,68.60,1000,68.60
2014-07-08,72.20,74.90,72.20,72.20,6200,72.20
2014-07-07,77.10,83.00,75.95,75.95,24800,75.95
2014-07-04,79.90,79.90,79.90,79.90,5300,79.90
2014-07-03,84.10,84.10,84.10,84.10,3500,84.10
2014-07-02,97.80,97.80,88.50,88.50,36600,88.50
2014-07-01,93.15,93.15,93.15,93.15,1700,93.15
2014-06-30,88.75,88.75,88.75,88.75,800,88.75
2014-06-27,84.55,84.55,84.55,84.55,2400,84.55
2014-06-26,80.55,80.55,79.00,80.55,20300,80.55
2014-06-25,76.75,76.75,76.75,76.75,1700,76.75
2014-06-24,71.60,73.10,71.60,73.10,6600,73.10
2014-06-23,67.00,71.10,64.55,69.65,34500,69.65
2014-06-20,70.90,70.90,65.40,67.75,21500,67.75
2014-06-19,67.50,69.35,66.80,68.80,26700,68.80
2014-06-18,66.60,66.85,60.55,66.05,45000,66.05
2014-06-17,62.35,63.70,61.15,63.70,11400,63.70
2014-06-16,60.75,60.95,56.55,60.70,13300,60.70
2014-06-13,58.05,58.05,56.00,58.05,26900,58.05
2014-06-12,54.70,55.30,54.70,55.30,6200,55.30
2014-06-11,51.00,52.70,51.00,52.70,42900,52.70
2014-06-10,48.55,50.20,46.75,50.20,10100,50.20
2014-06-09,49.00,50.40,46.55,48.00,20500,48.00
2014-06-06,52.00,52.80,48.80,49.00,13400,49.00
2014-06-05,51.95,51.95,47.95,51.35,11300,51.35
2014-06-04,49.45,49.50,49.00,49.50,9500,49.50
2014-06-03,47.15,47.15,47.15,47.15,2600,47.15
2014-06-02,42.90,44.95,42.90,44.95,4400,44.95
2014-05-30,41.30,42.85,41.30,42.85,5900,42.85
2014-05-29,43.05,43.80,39.70,40.85,18200,40.85
2014-05-28,40.95,41.75,39.00,41.75,10700,41.75
