Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,92.75,94.15,90.65,92.05,971700,92.05
2014-12-22,91.80,93.35,91.65,92.70,837500,92.70
2014-12-19,93.80,96.40,90.40,91.85,1662600,91.85
2014-12-18,88.60,92.35,88.50,91.80,1690500,91.80
2014-12-17,89.25,90.10,83.65,85.95,2353800,85.95
2014-12-16,94.40,95.00,88.20,89.25,2660800,89.25
2014-12-15,95.60,97.30,94.50,94.95,1014800,94.95
2014-12-12,101.50,102.50,95.60,96.20,1850800,96.20
2014-12-11,98.80,101.50,98.20,100.55,3842700,100.55
2014-12-10,97.30,99.50,96.70,98.40,1493900,98.40
2014-12-09,102.15,102.50,97.25,97.65,1923400,97.65
2014-12-08,100.05,104.80,100.05,102.80,3714700,102.80
2014-12-05,95.50,102.90,94.40,99.45,4187900,99.45
2014-12-04,96.85,97.00,94.55,95.30,1507800,95.30
2014-12-02,92.00,93.65,90.70,93.10,709300,93.10
2014-12-01,93.70,94.85,90.15,92.75,703200,92.75
2014-11-28,92.30,95.35,92.30,93.55,1317300,93.55
2014-11-27,91.55,91.80,89.90,90.75,517100,90.75
2014-11-26,90.15,91.90,89.35,90.90,617000,90.90
2014-11-25,94.00,94.50,87.70,90.05,1012700,90.05
2014-11-24,93.50,94.50,92.25,93.90,522700,93.90
2014-11-21,92.70,95.50,91.95,92.85,833600,92.85
2014-11-20,93.85,94.15,90.30,92.30,865100,92.30
2014-11-19,95.90,96.70,92.50,93.35,1337200,93.35
2014-11-18,96.00,97.20,94.75,95.20,1181600,95.20
2014-11-17,94.80,96.45,93.10,96.05,1599500,96.05
2014-11-14,93.40,95.70,93.00,94.90,1254900,94.90
2014-11-13,97.00,97.00,92.75,93.10,1286600,93.10
2014-11-12,98.30,98.80,95.85,96.65,842200,96.65
2014-11-11,99.50,100.30,97.10,97.90,1248600,97.90
2014-11-10,96.70,99.90,95.50,98.75,1586500,98.75
2014-11-07,98.05,99.15,95.10,96.05,1130100,96.05
2014-11-06,97.60,97.60,97.60,97.60,000,97.60
2014-11-05,100.45,103.25,97.00,97.60,2587200,97.60
2014-11-04,99.25,99.25,99.25,99.25,000,99.25
2014-11-03,97.40,100.00,95.90,99.25,2013900,99.25
2014-10-31,91.50,97.80,91.50,97.05,2988100,97.05
2014-10-30,92.80,92.90,90.50,90.95,745000,90.95
2014-10-29,92.90,94.25,91.55,92.40,1058900,92.40
2014-10-28,93.90,94.75,91.35,92.00,1440700,92.00
2014-10-27,90.20,94.25,90.00,93.30,2998000,93.30
2014-10-24,87.00,87.00,87.00,87.00,000,87.00
2014-10-23,87.00,87.00,87.00,87.00,000,87.00
2014-10-22,83.65,87.55,83.35,87.00,2483300,87.00
2014-10-21,84.25,84.30,81.80,82.40,821100,82.40
2014-10-20,83.45,84.55,82.70,83.65,1100900,83.65
2014-10-17,81.50,84.10,78.70,81.55,2324100,81.55
2014-10-16,84.10,85.95,80.15,80.75,2376800,80.75
2014-10-15,83.90,83.90,83.90,83.90,000,83.90
2014-10-14,89.60,93.00,83.25,83.90,5939400,83.90
2014-10-13,71.95,87.10,71.90,86.90,7742500,86.90
2014-10-10,74.50,74.55,72.30,72.60,647000,72.60
2014-10-09,74.25,75.65,73.85,75.10,717400,75.10
2014-10-08,71.80,74.10,71.40,73.60,627700,73.60
2014-10-07,71.60,74.00,71.45,71.85,540800,71.85
2014-10-06,71.60,71.60,71.60,71.60,000,71.60
2014-10-03,71.60,71.60,71.60,71.60,000,71.60
2014-10-02,71.60,71.60,71.60,71.60,000,71.60
2014-10-01,72.10,72.55,71.30,71.60,420800,71.60
2014-09-30,72.40,74.40,71.85,72.35,591600,72.35
2014-09-29,72.50,74.00,72.00,72.80,627200,72.80
2014-09-26,73.70,73.70,70.30,72.65,1050600,72.65
2014-09-25,76.40,76.65,73.30,73.85,876600,73.85
2014-09-24,77.00,78.35,75.00,76.00,2299800,76.00
2014-09-23,75.20,75.60,72.70,73.35,588900,73.35
2014-09-22,74.65,76.60,74.05,75.30,1183900,75.30
2014-09-19,75.20,76.20,73.00,73.80,659700,73.80
2014-09-18,73.90,76.10,73.75,74.90,641900,74.90
2014-09-17,77.05,78.20,73.50,73.80,506000,73.80
2014-09-16,79.20,80.30,75.85,76.40,692300,76.40
2014-09-15,77.50,80.50,76.55,79.00,839900,79.00
2014-09-12,81.20,81.30,78.00,78.35,796200,78.35
2014-09-11,78.60,82.20,78.35,80.85,1202100,80.85
2014-09-10,77.65,79.25,76.35,78.00,614500,78.00
2014-09-09,79.65,79.90,77.55,77.90,546800,77.90
2014-09-08,78.60,80.85,77.60,79.35,774400,79.35
2014-09-05,79.60,80.45,77.20,78.25,726000,78.25
2014-09-04,80.90,80.90,77.20,79.00,656900,79.00
2014-09-03,78.80,81.40,78.55,80.80,1931800,80.80
2014-09-02,76.40,78.25,75.25,77.25,885600,77.25
2014-09-01,73.40,77.25,72.55,76.60,1059000,76.60
2014-08-29,73.05,73.05,73.05,73.05,000,73.05
2014-08-28,74.15,75.20,72.70,73.05,499600,73.05
2014-08-27,75.00,76.30,73.85,74.40,560500,74.40
2014-08-26,76.20,76.30,73.30,75.00,626800,75.00
2014-08-25,75.35,79.40,74.65,76.40,1000200,76.40
2014-08-22,78.20,78.20,74.90,75.95,506300,75.95
2014-08-21,78.90,79.75,76.20,77.60,592000,77.60
2014-08-20,78.70,80.80,78.15,78.95,661900,78.95
2014-08-19,78.55,80.05,77.30,78.50,857200,78.50
2014-08-18,74.00,78.35,72.65,77.90,1182000,77.90
2014-08-15,73.10,73.10,73.10,73.10,000,73.10
2014-08-14,68.00,74.00,68.00,73.10,1423500,73.10
2014-08-13,73.90,75.10,66.60,68.15,1267700,68.15
