Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,23.50,23.50,19.85,20.00,3300,20.00
2014-12-22,22.05,22.05,22.05,22.05,000,22.05
2014-12-19,22.90,22.95,21.00,22.05,3300,22.05
2014-12-18,23.00,23.00,21.05,21.05,400,21.05
2014-12-17,21.50,21.50,21.50,21.50,1000,21.50
2014-12-16,20.50,22.60,20.05,21.90,2300,21.90
2014-12-15,20.40,22.90,20.40,21.00,200,21.00
2014-12-12,21.00,21.00,21.00,21.00,4100,21.00
2014-12-11,22.50,22.50,22.50,22.50,000,22.50
2014-12-10,22.50,22.50,22.50,22.50,000,22.50
2014-12-09,23.00,23.00,21.00,21.20,7100,21.20
2014-12-08,22.85,22.85,22.85,22.85,000,22.85
2014-12-05,21.00,21.00,21.00,21.00,10000,21.00
2014-12-04,22.00,22.30,21.50,21.50,14400,21.50
2014-12-03,23.20,23.30,21.20,22.60,6400,22.60
2014-12-02,24.60,24.60,22.30,22.30,5100,22.30
2014-12-01,23.45,23.45,23.45,23.45,000,23.45
2014-11-28,21.35,23.45,21.35,23.45,700,23.45
2014-11-27,21.10,22.45,20.85,22.45,1000,22.45
2014-11-26,21.85,21.90,20.50,21.80,700,21.80
2014-11-25,21.00,21.65,21.00,21.00,10700,21.00
2014-11-24,20.85,20.85,20.85,20.85,100,20.85
2014-11-21,21.90,21.90,21.00,21.10,1600,21.10
2014-11-20,21.50,23.10,21.05,21.15,16600,21.15
2014-11-19,21.10,23.20,21.10,22.00,11300,22.00
2014-11-18,23.10,23.10,21.10,22.20,2700,22.20
2014-11-17,20.70,22.00,20.30,22.00,5200,22.00
2014-11-14,22.40,22.40,21.05,21.10,2900,21.10
2014-11-13,21.45,23.60,21.45,21.45,11300,21.45
2014-11-12,22.60,23.45,22.55,22.55,25100,22.55
2014-11-11,26.10,26.10,23.70,23.70,1100,23.70
2014-11-10,24.25,24.90,24.25,24.90,500,24.90
2014-11-07,25.35,25.35,24.45,24.45,2000,24.45
2014-11-06,24.90,24.90,24.90,24.90,000,24.90
2014-11-05,24.90,24.90,24.80,24.90,2000,24.90
2014-11-04,24.45,24.45,24.45,24.45,000,24.45
2014-11-03,25.00,25.00,24.45,24.45,000,24.45
2014-10-31,24.90,24.90,24.90,24.90,000,24.90
2014-10-30,24.90,24.90,24.90,24.90,100,24.90
2014-10-29,25.40,25.40,25.40,25.40,500,25.40
2014-10-28,24.90,25.40,24.90,25.40,200,25.40
2014-10-27,25.40,25.40,25.40,25.40,200,25.40
2014-10-24,25.40,25.40,25.40,25.40,000,25.40
2014-10-23,25.40,25.40,25.40,25.40,000,25.40
2014-10-22,25.40,25.40,25.40,25.40,000,25.40
2014-10-21,25.35,25.35,25.35,25.35,200,25.35
2014-10-20,24.95,24.95,24.95,24.95,000,24.95
