Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,35.10,35.10,35.10,35.10,000,35.10
2014-12-22,32.10,35.25,32.10,35.10,000,35.10
2014-12-19,33.55,33.75,32.00,33.75,000,33.75
2014-12-18,31.50,32.40,31.50,32.40,2000,32.40
2014-12-17,31.60,33.00,30.30,30.90,300,30.90
2014-12-16,31.75,35.00,31.75,31.85,800,31.85
2014-12-15,33.40,33.40,33.40,33.40,000,33.40
2014-12-12,33.10,33.40,33.05,33.40,000,33.40
2014-12-11,31.60,33.90,31.60,31.90,700,31.90
2014-12-10,33.20,33.20,33.20,33.20,100,33.20
2014-12-09,32.60,35.30,32.15,34.90,600,34.90
2014-12-08,33.10,33.75,33.10,33.75,000,33.75
2014-12-05,33.55,33.55,33.25,33.45,4600,33.45
2014-12-04,37.85,37.85,34.75,35.00,100,35.00
2014-12-03,35.00,36.05,35.00,36.05,300,36.05
2014-12-02,34.30,35.70,34.30,34.35,2300,34.35
2014-12-01,39.80,39.80,36.10,36.10,200,36.10
2014-11-28,38.00,39.00,37.95,37.95,2000,37.95
2014-11-27,39.90,39.90,39.90,39.90,100,39.90
2014-11-26,38.05,38.05,38.05,38.05,000,38.05
2014-11-25,33.55,36.30,33.55,36.30,500,36.30
2014-11-24,34.45,34.60,34.40,34.60,400,34.60
2014-11-21,34.50,34.60,34.50,34.50,000,34.50
2014-11-20,37.90,37.90,36.05,36.05,100,36.05
2014-11-19,37.90,37.90,37.90,37.90,800,37.90
2014-11-18,39.85,39.90,39.85,39.85,1200,39.85
2014-11-17,42.00,42.05,41.90,41.90,2000,41.90
2014-11-14,48.70,48.70,44.10,44.10,1800,44.10
2014-11-13,46.40,46.40,41.00,46.40,48200,46.40
2014-11-12,42.20,42.20,42.20,42.20,292300,42.20
2014-11-11,38.00,38.40,38.00,38.40,1400,38.40
2014-11-10,33.60,34.95,33.60,34.95,1100,34.95
2014-11-07,33.30,33.30,31.50,33.30,2500,33.30
2014-11-06,31.75,31.75,31.75,31.75,000,31.75
2014-11-05,31.75,31.75,31.60,31.75,900,31.75
2014-11-04,30.25,30.25,30.25,30.25,000,30.25
2014-11-03,33.10,33.10,30.20,30.25,1500,30.25
2014-10-31,31.55,31.55,31.55,31.55,400,31.55
2014-10-30,30.05,30.05,30.05,30.05,200,30.05
2014-10-29,28.65,28.65,28.65,28.65,1100,28.65
2014-10-28,27.30,27.30,27.30,27.30,000,27.30
2014-10-27,27.00,27.00,27.00,27.00,000,27.00
2014-10-24,27.00,27.00,27.00,27.00,000,27.00
2014-10-23,27.00,27.00,27.00,27.00,000,27.00
2014-10-22,27.40,27.40,26.60,27.00,400,27.00
2014-10-21,27.40,27.40,27.40,27.40,100,27.40
2014-10-20,28.60,30.80,28.55,28.55,400,28.55
2014-10-17,29.40,29.50,29.30,29.35,1800,29.35
2014-10-16,31.50,31.50,30.75,30.75,200,30.75
2014-10-15,32.00,32.00,32.00,32.00,000,32.00
2014-10-14,29.90,32.25,29.90,32.00,100,32.00
2014-10-13,30.00,31.00,29.50,30.80,700,30.80
2014-10-10,30.65,30.65,30.65,30.65,200,30.65
2014-10-09,29.15,29.20,29.15,29.20,100,29.20
2014-10-08,30.55,30.55,30.15,30.15,4900,30.15
2014-10-07,31.60,31.65,31.60,31.60,4400,31.60
2014-10-06,30.15,30.15,30.15,30.15,000,30.15
2014-10-03,30.15,30.15,30.15,30.15,000,30.15
2014-10-02,30.15,30.15,30.15,30.15,000,30.15
2014-10-01,29.70,30.15,29.70,30.15,1100,30.15
2014-09-30,31.05,31.05,31.05,31.05,000,31.05
2014-09-29,33.20,33.20,31.05,31.05,000,31.05
2014-09-26,32.00,34.60,31.55,31.70,18600,31.70
2014-09-25,35.50,35.95,33.05,33.20,7800,33.20
2014-09-24,33.75,34.75,31.90,34.75,4600,34.75
2014-09-23,30.50,33.10,29.05,33.10,8300,33.10
2014-09-22,28.50,30.10,28.50,30.10,2900,30.10
