Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,92.00,92.35,88.00,88.20,1700,88.20
2014-12-22,93.40,99.80,88.50,91.00,6000,91.00
2014-12-19,97.00,97.00,92.50,92.50,600,92.50
2014-12-18,95.00,98.40,93.60,95.80,4100,95.80
2014-12-17,88.00,96.00,84.35,94.35,9200,94.35
2014-12-16,96.00,101.90,89.20,90.25,7300,90.25
2014-12-15,97.10,103.50,95.05,97.00,3800,97.00
2014-12-12,106.40,110.25,96.20,98.65,17100,98.65
2014-12-11,107.10,120.00,94.55,102.70,77400,102.70
2014-12-10,98.90,108.00,96.85,106.35,15600,106.35
2014-12-09,88.00,104.00,88.00,101.55,47600,101.55
2014-12-08,90.25,93.75,86.00,90.55,15200,90.55
2014-12-05,84.00,88.40,84.00,87.55,700,87.55
2014-12-04,88.30,88.30,83.25,84.70,500,84.70
2014-12-03,85.15,89.90,84.30,87.95,4100,87.95
2014-12-02,89.35,89.40,82.00,84.00,1500,84.00
2014-12-01,81.05,96.60,81.00,89.10,78200,89.10
2014-11-28,82.00,83.00,79.85,80.50,1500,80.50
2014-11-27,77.00,87.00,77.00,81.35,8600,81.35
2014-11-26,75.10,75.10,74.90,74.90,100,74.90
2014-11-25,76.50,76.50,74.50,74.95,2300,74.95
2014-11-24,77.00,77.50,75.10,77.20,3600,77.20
2014-11-21,76.00,78.80,76.00,78.05,5400,78.05
2014-11-20,78.00,81.00,76.00,76.70,1500,76.70
2014-11-19,79.40,80.00,76.50,79.00,700,79.00
2014-11-18,81.15,83.95,79.75,81.00,7900,81.00
2014-11-17,80.00,81.40,80.00,80.85,1200,80.85
2014-11-14,81.00,82.00,79.00,80.90,1200,80.90
2014-11-13,78.00,79.35,78.00,78.10,300,78.10
2014-11-12,80.00,81.95,78.00,79.15,700,79.15
2014-11-11,80.50,80.50,79.00,79.00,000,79.00
2014-11-10,78.30,80.10,77.00,77.95,2800,77.95
2014-11-07,81.70,81.70,80.00,80.55,100,80.55
2014-11-06,82.40,82.40,82.40,82.40,000,82.40
2014-11-05,80.80,84.30,80.60,82.40,4000,82.40
2014-11-04,79.85,79.85,79.85,79.85,000,79.85
2014-11-03,77.60,80.00,75.75,79.85,2600,79.85
2014-10-31,77.00,78.40,76.95,77.10,2000,77.10
2014-10-30,78.00,78.90,75.85,77.00,600,77.00
2014-10-29,80.50,80.50,76.00,76.35,1300,76.35
2014-10-28,79.05,79.40,78.00,78.50,1600,78.50
2014-10-27,81.70,83.95,79.10,80.50,2000,80.50
2014-10-24,81.65,81.65,81.65,81.65,000,81.65
2014-10-23,81.65,81.65,81.65,81.65,000,81.65
2014-10-22,80.50,82.00,77.40,81.65,2700,81.65
2014-10-21,81.05,82.00,80.50,80.60,700,80.60
