Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,73.00,73.00,73.00,73.00,000,73.00
2014-11-17,73.00,73.00,73.00,73.00,000,73.00
2014-11-14,73.00,73.00,73.00,73.00,000,73.00
2014-11-13,73.00,73.00,73.00,73.00,000,73.00
2014-11-12,73.00,73.00,73.00,73.00,000,73.00
2014-11-11,73.00,73.00,73.00,73.00,000,73.00
2014-11-10,73.00,73.00,73.00,73.00,000,73.00
2014-11-07,73.00,73.00,73.00,73.00,3600,73.00
2014-11-06,75.50,75.50,75.50,75.50,000,75.50
2014-11-05,75.50,75.50,75.50,75.50,000,75.50
2014-11-04,75.50,75.50,75.50,75.50,000,75.50
2014-11-03,75.50,75.50,75.50,75.50,3600,75.50
2014-10-31,72.00,72.00,72.00,72.00,3600,72.00
2014-10-30,72.75,72.75,72.75,72.75,3600,72.75
2014-10-29,69.50,69.50,69.50,69.50,000,69.50
2014-10-28,69.50,69.50,69.50,69.50,000,69.50
2014-10-27,69.50,69.50,69.50,69.50,3600,69.50
2014-10-24,66.50,66.50,66.50,66.50,000,66.50
2014-10-23,66.50,66.50,66.50,66.50,000,66.50
2014-10-22,63.00,66.50,63.00,66.50,7200,66.50
2014-10-21,63.75,63.75,63.75,63.75,000,63.75
2014-10-20,61.00,63.75,61.00,63.75,7200,63.75
2014-10-17,61.00,61.00,61.00,61.00,000,61.00
2014-10-16,61.00,61.00,61.00,61.00,000,61.00
2014-10-15,61.00,61.00,61.00,61.00,000,61.00
2014-10-14,61.00,61.00,61.00,61.00,000,61.00
2014-10-13,61.00,61.00,61.00,61.00,3600,61.00
2014-10-10,60.75,60.75,60.75,60.75,000,60.75
2014-10-09,60.75,60.75,60.75,60.75,000,60.75
2014-10-08,60.75,60.75,60.75,60.75,3600,60.75
2014-10-07,58.10,58.10,58.10,58.10,3600,58.10
2014-10-06,57.10,57.10,57.10,57.10,000,57.10
2014-10-03,57.10,57.10,57.10,57.10,000,57.10
2014-10-02,57.10,57.10,57.10,57.10,000,57.10
2014-10-01,57.10,57.10,57.10,57.10,3600,57.10
2014-09-30,56.00,56.00,56.00,56.00,000,56.00
2014-09-29,56.00,56.00,56.00,56.00,3600,56.00
2014-09-26,55.35,55.35,55.35,55.35,14400,55.35
2014-09-25,54.30,54.30,54.30,54.30,3600,54.30
2014-09-24,53.25,53.25,53.25,53.25,3600,53.25
2014-09-23,52.25,52.25,52.25,52.25,000,52.25
2014-09-22,52.25,52.25,52.25,52.25,000,52.25
2014-09-19,51.25,52.25,51.25,52.25,7200,52.25
2014-09-18,51.25,51.25,51.25,51.25,32400,51.25
2014-09-17,51.45,51.45,51.45,51.45,000,51.45
2014-09-16,51.45,51.45,51.45,51.45,000,51.45
2014-09-15,51.45,51.45,51.45,51.45,000,51.45
2014-09-12,51.45,51.45,51.45,51.45,3600,51.45
2014-09-11,50.45,50.45,50.45,50.45,43200,50.45
2014-09-10,49.50,49.50,49.50,49.50,000,49.50
2014-09-09,49.50,49.50,49.50,49.50,000,49.50
2014-09-08,49.50,49.50,49.50,49.50,3600,49.50
2014-09-05,49.25,49.25,48.60,48.60,43200,48.60
2014-09-04,48.30,48.30,48.30,48.30,3600,48.30
2014-09-03,47.40,47.40,47.40,47.40,000,47.40
2014-09-02,47.40,47.40,47.40,47.40,000,47.40
2014-09-01,47.40,47.40,47.40,47.40,000,47.40
2014-08-29,47.40,47.40,47.40,47.40,000,47.40
2014-08-28,47.40,47.40,47.40,47.40,000,47.40
2014-08-27,47.40,47.40,47.40,47.40,000,47.40
2014-08-26,47.40,47.40,47.40,47.40,3600,47.40
2014-08-25,46.50,46.50,46.50,46.50,10800,46.50
2014-08-22,45.60,45.60,45.60,45.60,000,45.60
2014-08-21,45.60,45.60,45.60,45.60,000,45.60
2014-08-20,45.60,45.60,45.60,45.60,000,45.60
2014-08-19,45.60,45.60,45.60,45.60,000,45.60
2014-08-18,44.00,45.60,44.00,45.60,7200,45.60
2014-08-15,43.45,43.45,43.45,43.45,000,43.45
2014-08-14,43.45,43.45,43.45,43.45,7200,43.45
2014-08-13,41.40,41.40,41.40,41.40,3600,41.40
2014-08-12,39.45,39.45,39.45,39.45,000,39.45
2014-08-11,39.45,39.45,39.45,39.45,000,39.45
2014-08-08,39.45,39.45,39.45,39.45,3600,39.45
2014-08-07,37.60,37.60,37.60,37.60,3600,37.60
2014-08-06,35.85,35.85,35.85,35.85,7200,35.85
2014-08-05,34.15,34.15,34.15,34.15,3600,34.15
2014-08-04,32.55,32.55,32.55,32.55,3600,32.55
2014-08-01,31.00,31.00,31.00,31.00,3600,31.00
2014-07-31,29.55,29.55,29.55,29.55,000,29.55
2014-07-30,29.55,29.55,29.55,29.55,3600,29.55
2014-07-29,28.15,28.15,28.15,28.15,000,28.15
2014-07-28,28.15,28.15,28.15,28.15,3600,28.15
2014-07-25,26.85,26.85,26.85,26.85,3600,26.85
2014-07-24,25.60,25.60,25.60,25.60,3600,25.60
2014-07-23,24.40,24.40,24.40,24.40,000,24.40
2014-07-22,24.40,24.40,24.40,24.40,3600,24.40
2014-07-21,23.25,23.25,23.25,23.25,000,23.25
2014-07-18,23.25,23.25,23.25,23.25,000,23.25
2014-07-17,23.25,23.25,23.25,23.25,000,23.25
2014-07-16,23.25,23.25,23.25,23.25,3600,23.25
2014-07-15,22.15,22.15,22.15,22.15,3600,22.15
2014-07-14,21.10,21.10,21.10,21.10,3600,21.10
2014-07-11,20.10,20.10,20.10,20.10,3600,20.10
2014-07-10,19.15,19.15,19.15,19.15,7200,19.15
2014-07-09,18.25,18.25,18.25,18.25,000,18.25
2014-07-08,18.25,18.25,18.25,18.25,000,18.25
2014-07-07,18.25,18.25,18.25,18.25,000,18.25
2014-07-04,18.25,18.25,18.25,18.25,118800,18.25
2014-07-03,17.40,17.40,17.40,17.40,000,17.40
2014-07-02,17.40,17.40,17.40,17.40,435600,17.40
2014-07-01,16.60,16.60,16.60,16.60,000,16.60
2014-06-30,16.60,16.60,16.60,16.60,000,16.60
2014-06-27,16.60,16.60,16.60,16.60,000,16.60
2014-06-26,16.60,16.60,16.60,16.60,3600,16.60
2014-06-25,17.60,17.60,17.60,17.60,3600,17.60
2014-06-24,19.10,19.10,19.10,19.10,3600,19.10
2014-06-23,20.60,20.60,20.60,20.60,3600,20.60
2014-06-20,21.60,24.20,21.60,22.25,10800,22.25
2014-06-19,22.00,22.00,22.00,22.00,3600,22.00
2014-06-18,17.25,20.40,17.25,20.40,7200,20.40
2014-06-17,18.55,18.55,18.55,18.55,3600,18.55
2014-06-16,20.50,20.50,20.50,20.50,162000,20.50
2014-06-13,18.65,18.65,18.65,18.65,3600,18.65
2014-06-12,20.70,20.70,20.70,20.70,3600,20.70
2014-06-11,22.55,22.55,22.55,22.55,000,22.55
2014-06-10,22.55,22.55,22.55,22.55,000,22.55
2014-06-09,18.70,22.55,18.60,22.55,273600,22.55
2014-06-06,20.50,20.50,20.50,20.50,000,20.50
2014-06-05,20.50,20.50,20.50,20.50,3600,20.50
2014-06-04,22.50,22.50,22.50,22.50,3600,22.50
2014-06-03,27.50,27.50,27.50,27.50,18000,27.50
2014-06-02,26.00,26.00,26.00,26.00,000,26.00
2014-05-30,26.00,26.00,26.00,26.00,3600,26.00
2014-05-29,31.00,31.00,30.00,30.00,7200,30.00
2014-05-28,41.60,52.00,41.60,45.50,5000,32.50
2014-05-27,62.00,62.00,52.00,52.00,3300,37.14
2014-05-26,45.00,53.00,45.00,53.00,63800,37.86
2014-05-23,49.95,49.95,48.00,48.65,77200,34.75
2014-05-22,50.00,51.50,50.00,50.00,92400,35.71
2014-05-21,50.00,50.00,50.00,50.00,73900,35.71
2014-05-20,50.00,50.00,50.00,50.00,55400,35.71
2014-05-19,50.00,50.00,50.00,50.00,1600,35.71
2014-05-16,50.00,50.00,50.00,50.00,10000,35.71
2014-05-15,49.00,49.00,49.00,49.00,000,35.00
2014-05-14,49.00,49.00,49.00,49.00,000,35.00
2014-05-13,49.00,49.00,49.00,49.00,000,35.00
2014-05-12,49.00,49.00,49.00,49.00,000,35.00
2014-05-09,49.00,49.00,49.00,49.00,1600,35.00
2014-05-08,48.00,48.00,48.00,48.00,000,34.29
2014-05-07,48.00,48.00,48.00,48.00,000,34.29
2014-05-06,48.00,48.00,48.00,48.00,000,34.29
2014-05-05,48.00,48.00,48.00,48.00,000,34.29
2014-05-02,48.00,48.00,48.00,48.00,000,34.29
2014-05-01,48.00,48.00,48.00,48.00,000,34.29
2014-04-30,48.00,48.00,48.00,48.00,000,34.29
2014-04-29,48.00,48.00,48.00,48.00,000,34.29
2014-04-28,48.00,48.00,48.00,48.00,000,34.29
2014-04-25,48.00,48.00,48.00,48.00,000,34.29
2014-04-24,48.00,48.00,48.00,48.00,000,34.29
2014-04-23,48.00,48.00,48.00,48.00,1600,34.29
2014-04-22,46.75,46.75,46.75,46.75,000,33.39
2014-04-21,46.75,46.75,46.75,46.75,000,33.39
2014-04-18,46.75,46.75,46.75,46.75,000,33.39
2014-04-17,46.75,46.75,46.75,46.75,000,33.39
2014-04-16,46.75,46.75,46.75,46.75,000,33.39
2014-04-15,46.75,46.75,46.75,46.75,000,33.39
2014-04-14,46.75,46.75,46.75,46.75,000,33.39
2014-04-11,46.75,46.75,46.75,46.75,000,33.39
2014-04-10,46.75,46.75,46.75,46.75,000,33.39
2014-04-09,46.75,46.75,46.75,46.75,000,33.39
2014-04-08,46.75,46.75,46.75,46.75,000,33.39
2014-04-07,46.75,46.75,46.75,46.75,000,33.39
2014-04-04,46.75,46.75,46.75,46.75,000,33.39
2014-04-03,46.75,46.75,46.75,46.75,000,33.39
2014-04-02,46.75,46.75,46.75,46.75,000,33.39
2014-04-01,46.75,46.75,46.75,46.75,000,33.39
