Date,Open,High,Low,Close,Volume,Adj Close
2014-07-31,21.50,21.50,21.50,21.50,000,21.50
2014-07-30,21.50,21.50,21.50,21.50,000,21.50
2014-07-29,21.50,21.50,21.50,21.50,000,21.50
2014-07-28,21.50,21.50,21.50,21.50,000,21.50
2014-07-25,21.50,21.50,21.50,21.50,6000,21.50
2014-07-24,22.00,22.00,22.00,22.00,000,22.00
2014-07-23,22.00,22.00,22.00,22.00,000,22.00
2014-07-22,22.00,22.00,22.00,22.00,000,22.00
2014-07-21,22.00,22.00,22.00,22.00,000,22.00
2014-07-18,22.00,22.00,22.00,22.00,000,22.00
2014-07-17,22.00,22.00,22.00,22.00,6000,22.00
2014-07-16,22.50,22.50,22.50,22.50,000,22.50
2014-07-15,22.50,22.50,22.50,22.50,000,22.50
2014-07-14,22.50,22.50,22.50,22.50,000,22.50
2014-07-11,22.50,22.50,22.50,22.50,000,22.50
2014-07-10,22.50,22.50,22.50,22.50,000,22.50
2014-07-09,22.50,22.50,22.50,22.50,6000,22.50
2014-07-08,22.25,22.50,22.25,22.50,12000,22.50
2014-07-07,22.00,22.00,22.00,22.00,000,22.00
2014-07-04,22.00,22.00,22.00,22.00,000,22.00
2014-07-03,22.00,22.00,22.00,22.00,000,22.00
2014-07-02,22.00,22.00,22.00,22.00,6000,22.00
2014-07-01,23.00,23.00,23.00,23.00,000,23.00
2014-06-30,23.00,23.00,23.00,23.00,000,23.00
2014-06-27,24.00,24.00,23.00,23.00,12000,23.00
2014-06-26,25.20,25.20,25.20,25.20,6000,25.20
2014-06-25,26.00,26.00,26.00,26.00,000,26.00
2014-06-24,27.00,27.00,26.00,26.00,12000,26.00
2014-06-23,28.00,28.00,28.00,28.00,000,28.00
2014-06-20,29.00,29.00,28.00,28.00,12000,28.00
2014-06-19,29.10,29.10,29.10,29.10,000,29.10
2014-06-18,29.10,29.10,29.10,29.10,000,29.10
2014-06-17,29.10,29.10,29.10,29.10,000,29.10
2014-06-16,29.10,29.10,29.10,29.10,000,29.10
2014-06-13,30.00,30.00,29.10,29.10,12000,29.10
2014-06-12,31.00,31.00,31.00,31.00,000,31.00
2014-06-11,31.00,31.00,31.00,31.00,000,31.00
2014-06-10,31.00,31.00,31.00,31.00,000,31.00
2014-06-09,30.00,31.00,30.00,31.00,12000,31.00
2014-06-06,30.00,30.00,30.00,30.00,6000,30.00
2014-06-05,29.95,29.95,29.95,29.95,000,29.95
2014-06-04,29.95,29.95,29.95,29.95,000,29.95
2014-06-03,29.95,29.95,29.95,29.95,6000,29.95
2014-06-02,29.00,29.00,29.00,29.00,6000,29.00
2014-05-30,25.25,28.85,25.25,28.85,24000,28.85
2014-05-29,21.00,24.05,21.00,24.05,102000,24.05
2014-05-28,20.05,20.05,20.05,20.05,000,20.05
2014-05-27,20.05,20.05,20.05,20.05,000,20.05
