Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,211.00,211.10,202.50,204.15,423700,204.15
2014-12-22,213.00,216.65,205.80,210.80,413400,210.80
2014-12-19,208.00,211.35,206.05,208.25,610400,208.25
2014-12-18,205.00,209.00,200.90,203.75,599400,203.75
2014-12-17,194.00,202.25,191.25,200.85,697800,200.85
2014-12-16,208.90,208.90,191.15,194.05,929000,194.05
2014-12-15,213.00,215.15,209.60,210.40,365300,210.40
2014-12-12,222.40,222.70,214.50,215.55,515300,215.55
2014-12-11,221.40,224.90,218.35,222.00,377100,222.00
2014-12-10,218.60,226.20,218.60,222.65,385200,222.65
2014-12-09,230.50,233.15,219.10,220.80,713700,220.80
2014-12-08,240.70,241.50,232.10,233.00,307800,233.00
2014-12-05,240.00,245.35,237.95,241.70,690900,241.70
2014-12-04,232.45,240.55,230.60,237.20,656900,237.20
2014-12-03,229.95,236.30,226.45,230.75,579100,230.75
2014-12-02,225.00,232.50,225.00,229.20,378100,229.20
2014-12-01,230.00,233.60,225.15,226.70,352900,226.70
2014-11-28,235.80,240.65,230.40,231.30,569200,231.30
2014-11-27,241.95,242.65,236.90,238.15,350700,238.15
2014-11-26,236.85,241.80,235.20,240.75,345300,240.75
2014-11-25,237.30,238.00,230.00,235.25,422000,235.25
2014-11-24,240.50,245.35,234.75,235.85,592100,235.85
2014-11-21,236.55,239.20,233.55,237.05,350700,237.05
2014-11-20,240.95,241.25,232.50,234.65,435500,234.65
2014-11-19,244.10,251.20,239.00,240.25,398300,240.25
2014-11-18,238.00,248.75,237.15,247.05,589000,247.05
2014-11-17,238.00,240.90,235.90,237.35,286800,237.35
2014-11-14,237.00,242.45,232.75,239.55,488800,239.55
2014-11-13,245.00,245.00,234.60,235.80,464200,235.80
2014-11-12,244.90,247.80,239.15,241.85,328500,241.85
2014-11-11,245.00,249.50,243.00,244.05,380300,244.05
2014-11-10,247.00,250.40,243.00,245.55,365200,245.55
2014-11-07,250.00,253.55,245.05,246.15,397200,246.15
2014-11-06,251.40,251.40,251.40,251.40,000,251.40
2014-11-05,263.00,263.55,250.20,251.40,441000,251.40
2014-11-04,261.30,261.30,261.30,261.30,000,261.30
2014-11-03,255.10,263.00,255.10,261.30,431000,261.30
2014-10-31,254.40,259.25,252.00,255.75,483500,254.00
2014-10-30,256.00,256.60,252.00,252.70,330900,250.97
2014-10-29,253.00,256.80,247.55,255.55,777000,253.80
2014-10-28,249.25,252.35,247.40,250.25,232700,248.54
2014-10-27,250.80,253.85,247.50,249.25,227600,247.54
2014-10-24,249.70,249.70,249.70,249.70,000,247.99
2014-10-23,249.70,249.70,249.70,249.70,000,247.99
2014-10-22,250.50,252.60,246.60,249.70,211700,247.99
2014-10-21,240.70,253.10,240.70,248.15,606700,246.45
2014-10-20,235.80,241.00,233.00,237.65,355000,236.02
2014-10-17,240.10,240.10,231.50,232.75,427500,231.16
2014-10-16,248.00,248.75,237.20,239.35,477300,237.71
2014-10-15,249.55,249.55,249.55,249.55,000,247.84
2014-10-14,251.00,254.20,219.25,249.55,2925400,247.84
2014-10-13,248.90,251.65,244.70,250.25,239700,248.54
