Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,94.00,97.00,90.05,90.25,800,90.25
2014-12-22,97.00,97.00,97.00,97.00,000,97.00
2014-12-19,93.50,98.00,93.20,97.00,1500,97.00
2014-12-18,99.45,100.00,96.90,96.90,300,96.90
2014-12-17,99.00,99.00,95.00,96.00,300,96.00
2014-12-16,90.20,99.70,90.15,99.00,2300,99.00
2014-12-15,94.90,99.00,94.90,98.80,800,98.80
2014-12-12,96.00,98.80,95.00,96.00,900,96.00
2014-12-11,92.00,99.00,92.00,99.00,1300,99.00
2014-12-10,91.05,97.00,91.05,97.00,2800,97.00
2014-12-09,94.00,95.00,93.95,94.10,400,94.10
2014-12-08,90.15,96.95,90.15,96.95,1000,96.95
2014-12-05,97.50,97.50,91.00,97.00,1500,97.00
2014-12-04,97.50,98.50,96.50,97.50,800,97.50
2014-12-03,96.55,98.80,96.45,97.50,400,97.50
2014-12-02,94.95,96.95,91.20,96.60,1100,96.60
2014-12-01,95.00,98.15,89.05,89.05,400,89.05
2014-11-28,95.45,106.00,92.00,94.00,7600,94.00
2014-11-27,89.55,89.55,89.40,89.40,100,89.40
2014-11-26,86.80,87.50,86.55,87.50,300,87.50
2014-11-25,91.00,91.00,89.40,89.40,500,89.40
2014-11-24,90.50,92.00,90.50,90.85,1600,90.85
2014-11-21,90.00,90.05,90.00,90.05,100,90.05
2014-11-20,91.00,91.00,85.50,90.00,1800,90.00
2014-11-19,93.00,93.00,90.40,91.00,300,91.00
2014-11-18,90.00,93.00,90.00,93.00,000,93.00
2014-11-17,90.60,94.00,90.50,93.45,700,93.45
2014-11-14,90.10,92.00,90.10,92.00,100,92.00
2014-11-13,92.00,94.45,89.85,94.00,1200,94.00
2014-11-12,92.00,92.00,92.00,92.00,300,92.00
2014-11-11,93.90,94.00,93.50,93.50,100,93.50
2014-11-10,93.25,93.25,92.00,92.00,600,92.00
2014-11-07,88.35,94.00,88.35,94.00,200,94.00
2014-11-06,90.50,90.50,90.50,90.50,000,90.50
2014-11-05,92.00,92.00,90.00,90.50,1400,90.50
2014-11-04,90.25,90.25,90.25,90.25,000,90.25
2014-11-03,88.15,90.25,88.15,90.25,000,90.25
2014-10-31,93.00,93.00,88.90,92.20,600,92.20
2014-10-30,94.50,94.50,92.40,93.00,300,93.00
2014-10-29,90.00,93.95,90.00,93.95,500,93.95
2014-10-28,92.10,93.00,89.00,89.25,4100,89.25
2014-10-27,94.00,94.00,90.10,90.10,100,90.10
2014-10-24,88.30,88.30,88.30,88.30,000,88.30
2014-10-23,88.30,88.30,88.30,88.30,000,88.30
2014-10-22,88.30,88.30,88.30,88.30,000,88.30
2014-10-21,90.00,90.00,90.00,90.00,000,90.00
2014-10-20,89.00,90.10,89.00,90.00,2000,90.00
2014-10-17,89.00,91.90,86.00,89.05,200,89.05
2014-10-16,92.90,92.90,90.00,90.00,700,90.00
2014-10-15,93.00,93.00,93.00,93.00,000,93.00
2014-10-14,91.00,93.00,90.40,93.00,000,93.00
2014-10-13,90.55,91.00,90.50,91.00,200,91.00
2014-10-10,93.95,93.95,90.50,90.50,000,90.50
2014-10-09,93.90,93.90,91.60,92.40,200,92.40
2014-10-08,90.05,93.45,90.05,93.30,700,93.30
2014-10-07,93.10,95.00,91.00,94.50,900,94.50
2014-10-06,91.50,91.50,91.50,91.50,000,91.50
2014-10-03,91.50,91.50,91.50,91.50,000,91.50
2014-10-02,91.50,91.50,91.50,91.50,000,91.50
2014-10-01,91.50,91.50,91.50,91.50,000,91.50
2014-09-30,91.50,91.50,91.50,91.50,000,91.50
