Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,65.25,72.00,65.25,69.05,5200,69.05
2014-12-22,70.35,71.50,68.50,69.95,13700,69.95
2014-12-19,74.00,76.70,70.00,70.85,39200,70.85
2014-12-18,66.00,74.00,66.00,72.35,25400,72.35
2014-12-17,62.25,65.00,60.10,63.10,49300,63.10
2014-12-16,63.75,67.00,62.30,63.95,9300,63.95
2014-12-15,63.45,68.20,61.50,66.20,51000,66.20
2014-12-12,70.00,70.00,62.00,63.45,56100,63.45
2014-12-11,69.00,73.00,69.00,70.15,8100,70.15
2014-12-10,72.00,74.80,67.90,70.35,16900,70.35
2014-12-09,75.00,78.20,64.50,71.20,15600,71.20
2014-12-08,75.20,79.70,74.50,76.50,7300,76.50
2014-12-05,78.00,80.50,76.20,77.55,9100,77.55
2014-12-04,80.20,80.20,77.00,77.50,3400,77.50
2014-12-03,77.15,81.00,77.10,79.80,4800,79.80
2014-12-02,78.00,78.70,76.00,77.05,6900,77.05
2014-12-01,86.90,86.90,76.00,77.00,8800,77.00
2014-11-28,75.70,81.85,75.00,81.30,45800,81.30
2014-11-27,78.15,78.15,75.00,75.65,15400,75.65
2014-11-26,73.15,80.00,73.15,79.35,22200,79.35
2014-11-25,89.40,89.40,75.10,77.90,30300,77.90
2014-11-24,75.10,83.20,75.10,83.20,28600,83.20
2014-11-21,79.80,81.50,75.00,75.65,21200,75.65
2014-11-20,84.65,84.65,75.70,79.95,26800,79.95
2014-11-19,88.50,88.50,80.85,81.55,14500,81.55
2014-11-18,85.50,88.85,83.45,84.05,14000,84.05
2014-11-17,86.00,88.00,80.55,87.60,38100,87.60
2014-11-14,86.75,86.75,83.15,83.50,12400,83.50
2014-11-13,86.80,88.10,80.15,83.35,27100,83.35
2014-11-12,85.50,89.90,85.00,86.75,24800,86.75
2014-11-11,84.80,90.00,79.95,86.55,55900,86.55
2014-11-10,94.60,94.60,88.80,88.80,14100,88.80
2014-11-07,95.60,95.60,89.50,93.45,158500,93.45
2014-11-06,91.05,91.05,91.05,91.05,000,91.05
2014-11-05,91.05,91.05,91.05,91.05,19400,91.05
2014-11-04,86.75,86.75,86.75,86.75,000,86.75
2014-11-03,85.00,86.75,85.00,86.75,12300,86.75
2014-10-31,82.55,86.65,82.00,82.65,22500,82.65
2014-10-30,87.55,88.45,83.60,84.15,21000,84.15
2014-10-29,86.05,88.95,82.25,87.50,36700,87.50
2014-10-28,91.75,92.00,85.50,85.70,48900,85.70
2014-10-27,94.45,94.80,87.20,90.00,47000,90.00
2014-10-24,86.75,86.75,86.75,86.75,000,86.75
2014-10-23,86.75,86.75,86.75,86.75,000,86.75
2014-10-22,79.35,86.75,79.00,86.75,85200,86.75
2014-10-21,85.10,89.50,82.65,82.65,34500,82.65
2014-10-20,90.00,94.10,86.00,86.95,61100,86.95
2014-10-17,97.00,97.50,89.40,89.65,121000,89.65
2014-10-16,103.60,103.60,93.80,94.10,212600,94.10
2014-10-15,98.70,98.70,98.70,98.70,000,98.70
2014-10-14,97.35,98.70,97.00,98.70,25000,98.70
2014-10-13,91.00,94.00,85.10,94.00,144400,94.00
2014-10-10,87.50,89.80,83.00,89.55,162400,89.55
2014-10-09,77.45,85.55,77.45,85.55,278500,85.55
2014-10-08,84.00,87.95,81.50,81.50,45600,81.50
2014-10-07,85.75,85.75,85.75,85.75,18300,85.75
2014-10-06,81.70,81.70,81.70,81.70,000,81.70
2014-10-03,81.70,81.70,81.70,81.70,000,81.70
2014-10-02,81.70,81.70,81.70,81.70,000,81.70
2014-10-01,81.70,81.70,81.70,81.70,21900,81.70
2014-09-30,77.85,77.85,77.85,77.85,14000,77.85
2014-09-29,74.00,74.15,72.45,74.15,25000,74.15
2014-09-26,70.35,73.85,69.00,70.65,93200,70.65
2014-09-25,72.80,73.70,66.70,70.35,245600,70.35
2014-09-24,64.00,70.50,59.00,70.20,347700,70.20
2014-09-23,62.75,64.80,61.10,64.55,203400,64.55
2014-09-22,54.15,58.95,54.15,58.95,80600,58.95
2014-09-19,53.55,55.25,52.70,53.60,38500,53.60
2014-09-18,52.50,58.00,52.50,54.65,43600,54.65
2014-09-17,56.00,56.00,50.10,53.85,41400,53.85
2014-09-16,60.65,60.65,54.60,54.60,62800,54.60
2014-09-15,58.00,63.00,55.00,60.65,43000,60.65
