Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,44.95,44.95,36.10,40.55,4700,40.55
2014-12-22,47.30,47.30,34.50,40.00,500,40.00
2014-12-19,43.40,45.90,40.00,40.00,100,40.00
2014-12-18,36.05,48.60,36.05,40.55,1200,40.55
2014-12-17,46.75,46.75,39.40,40.50,3100,40.50
2014-12-16,44.75,44.75,39.05,39.15,000,39.15
2014-12-15,51.90,51.90,38.35,39.75,3000,39.75
2014-12-12,36.05,46.40,36.05,43.65,3200,43.65
2014-12-11,46.40,46.40,38.40,45.00,300,45.00
2014-12-10,46.80,46.80,38.45,40.65,200,40.65
2014-12-09,45.10,45.10,38.50,45.00,000,45.00
2014-12-08,47.80,47.80,37.50,45.00,100,45.00
2014-12-05,46.80,46.80,46.80,46.80,000,46.80
2014-12-04,42.00,48.00,42.00,42.50,400,42.50
2014-12-03,41.55,45.00,41.55,44.00,000,44.00
2014-12-02,46.00,46.00,46.00,46.00,000,46.00
2014-12-01,48.00,48.00,42.90,46.00,900,46.00
2014-11-28,42.90,48.95,41.40,47.65,1000,47.65
2014-11-27,39.80,46.00,39.80,46.00,000,46.00
2014-11-26,35.60,43.50,35.60,43.50,100,43.50
2014-11-25,47.15,47.15,39.55,39.55,3000,39.55
2014-11-24,42.85,51.00,42.85,42.90,100,42.90
2014-11-21,47.35,47.35,47.35,47.35,000,47.35
2014-11-20,52.30,52.30,42.80,43.05,200,43.05
2014-11-19,48.05,48.05,47.55,47.55,000,47.55
2014-11-18,44.00,44.00,43.70,43.70,000,43.70
2014-11-17,40.00,40.00,40.00,40.00,000,40.00
2014-11-14,49.25,49.25,43.00,43.70,3100,43.70
2014-11-13,45.10,45.10,44.00,44.80,000,44.80
2014-11-12,37.50,41.00,37.30,41.00,200,41.00
2014-11-11,33.85,41.35,33.85,41.35,100,41.35
2014-11-10,37.60,37.80,37.60,37.60,100,37.60
2014-11-07,39.20,43.30,39.20,39.55,000,39.55
2014-11-06,41.25,41.25,41.25,41.25,000,41.25
2014-11-05,37.65,41.35,37.65,41.25,000,41.25
2014-11-04,39.40,39.40,39.40,39.40,000,39.40
2014-11-03,38.85,39.40,38.85,39.40,000,39.40
2014-10-31,42.80,42.80,38.80,38.85,4100,38.85
2014-10-30,37.55,41.20,37.30,40.80,5700,40.80
2014-10-29,43.20,43.20,39.20,39.25,1900,39.25
2014-10-28,37.25,41.15,37.25,41.15,100,41.15
2014-10-27,42.90,42.90,39.20,39.20,100,39.20
2014-10-24,42.80,42.80,42.80,42.80,000,42.80
2014-10-23,42.80,42.80,42.80,42.80,000,42.80
2014-10-22,45.00,45.00,42.75,42.80,000,42.80
2014-10-21,48.95,48.95,44.65,44.65,000,44.65
2014-10-20,48.00,48.00,47.00,47.00,000,47.00
2014-10-17,47.80,47.85,47.75,47.80,000,47.80
2014-10-16,50.30,50.30,45.60,45.60,400,45.60
2014-10-15,48.00,48.00,48.00,48.00,000,48.00
2014-10-14,48.20,48.20,43.70,48.00,200,48.00
2014-10-13,46.80,46.80,41.10,45.95,100,45.95
2014-10-10,42.95,42.95,39.25,42.70,2800,42.70
2014-10-09,32.20,39.05,32.20,39.05,000,39.05
2014-10-08,35.50,35.50,35.50,35.50,000,35.50
2014-10-07,38.10,38.10,35.50,35.50,200,35.50
2014-10-06,36.30,36.30,36.30,36.30,000,36.30
2014-10-03,36.30,36.30,36.30,36.30,000,36.30
2014-10-02,36.30,36.30,36.30,36.30,000,36.30
2014-10-01,36.30,36.30,36.30,36.30,000,36.30
2014-09-30,41.55,41.55,37.90,37.90,000,37.90
2014-09-29,39.60,39.60,39.60,39.60,000,39.60
2014-09-26,34.25,37.80,34.25,37.80,000,37.80
2014-09-25,36.20,36.20,36.00,36.00,000,36.00
