Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,22.20,23.80,22.20,22.25,400,22.25
2014-12-22,25.50,25.50,25.50,25.50,000,25.50
2014-12-19,25.70,25.70,22.00,22.10,600,22.10
2014-12-18,23.75,23.75,23.75,23.75,000,23.75
2014-12-17,23.75,23.75,23.75,23.75,000,23.75
2014-12-16,23.75,24.95,23.75,23.75,1800,23.75
2014-12-15,23.75,23.75,23.75,23.75,000,23.75
2014-12-12,24.00,24.00,23.75,23.75,1600,23.75
2014-12-11,23.80,25.75,23.75,24.15,900,24.15
2014-12-10,23.80,25.10,23.80,24.10,800,24.10
2014-12-09,27.05,27.05,23.75,24.05,500,24.05
2014-12-08,24.30,25.80,24.15,25.80,100,25.80
2014-12-05,24.05,26.35,24.05,26.35,800,26.35
2014-12-04,25.05,28.85,25.00,25.10,400,25.10
2014-12-03,24.20,25.70,24.20,25.50,1100,25.50
2014-12-02,25.05,25.05,25.05,25.05,400,25.05
2014-12-01,23.75,25.00,23.75,25.00,100,25.00
2014-11-28,25.20,26.30,23.80,25.05,1700,25.05
2014-11-27,26.50,28.00,26.50,28.00,500,28.00
2014-11-26,25.20,26.85,25.20,26.05,800,26.05
2014-11-25,27.00,27.00,27.00,27.00,100,27.00
2014-11-24,28.05,28.10,27.05,27.20,800,27.20
2014-11-21,28.10,31.35,28.05,30.00,1100,30.00
2014-11-20,31.25,31.25,27.45,31.20,6800,31.20
2014-11-19,30.90,30.90,28.50,28.65,5400,28.65
2014-11-18,26.20,31.00,26.20,30.00,3500,30.00
2014-11-17,30.45,30.50,27.00,28.05,2500,28.05
2014-11-14,25.10,30.20,25.10,29.00,1900,29.00
2014-11-13,26.50,30.75,26.50,27.60,1300,27.60
2014-11-12,29.40,30.95,27.20,30.50,4100,30.50
2014-11-11,25.50,29.40,23.85,28.70,10800,28.70
2014-11-10,24.40,24.50,24.40,24.50,1000,24.50
2014-11-07,24.50,24.50,24.50,24.50,000,24.50
2014-11-06,24.50,24.50,24.50,24.50,000,24.50
2014-11-05,24.75,25.95,24.50,24.50,1200,24.50
2014-11-04,25.65,25.65,25.65,25.65,000,25.65
2014-11-03,28.50,28.50,24.10,25.65,6500,25.65
2014-10-31,25.00,26.15,23.10,26.15,81100,26.15
2014-10-30,21.55,23.95,21.00,23.80,700,23.80
2014-10-29,25.00,25.00,23.30,23.30,600,23.30
2014-10-28,24.35,26.30,24.20,25.00,1100,25.00
2014-10-27,24.35,24.35,24.35,24.35,000,24.35
2014-10-24,24.35,24.35,24.35,24.35,000,24.35
2014-10-23,24.35,24.35,24.35,24.35,000,24.35
2014-10-22,24.25,25.50,24.20,24.35,1000,24.35
2014-10-21,26.85,26.85,26.85,26.85,000,26.85
2014-10-20,24.50,26.95,24.05,26.95,600,26.95
2014-10-17,24.55,25.90,24.55,24.95,1800,24.95
2014-10-16,26.95,26.95,26.95,26.95,100,26.95
2014-10-15,25.40,25.40,25.40,25.40,000,25.40
2014-10-14,25.75,27.70,24.45,25.40,3000,25.40
2014-10-13,25.25,28.95,25.25,26.00,2900,26.00
2014-10-10,25.15,27.90,25.15,27.65,000,27.65
2014-10-09,28.75,28.75,26.65,27.00,4500,27.00
2014-10-08,27.50,29.40,27.50,28.95,2600,28.95
2014-10-07,24.25,26.75,24.25,26.75,1300,26.75
2014-10-06,25.50,25.50,25.50,25.50,000,25.50
2014-10-03,25.50,25.50,25.50,25.50,000,25.50
2014-10-02,25.50,25.50,25.50,25.50,000,25.50
2014-10-01,25.00,25.50,23.30,25.50,2700,25.50
2014-09-30,24.30,24.30,24.30,24.30,400,24.30
2014-09-29,21.95,24.25,21.95,23.15,1500,23.15
2014-09-26,23.00,23.10,22.50,23.10,100,23.10
2014-09-25,23.60,23.60,23.60,23.60,200,23.60
2014-09-24,24.10,24.95,23.85,23.85,700,23.85
2014-09-23,25.65,25.65,25.10,25.10,1900,25.10
2014-09-22,24.50,26.40,24.50,26.40,6500,26.40
2014-09-19,27.60,27.60,25.15,25.15,900,25.15
2014-09-18,27.05,27.50,26.45,26.45,1400,26.45
2014-09-17,26.40,28.25,25.85,27.80,17600,27.80
2014-09-16,24.80,27.10,24.80,26.95,13600,26.95
2014-09-15,23.65,25.85,23.65,25.85,7800,25.85
2014-09-12,24.85,25.10,24.50,24.65,7900,24.65
2014-09-11,23.00,23.95,23.00,23.95,2300,23.95
2014-09-10,22.50,23.60,22.50,22.85,5200,22.85
2014-09-09,21.50,22.50,21.50,22.50,5200,22.50
2014-09-08,20.50,21.45,20.50,21.45,1600,21.45
2014-09-05,21.00,21.45,21.00,21.45,500,21.45
2014-09-04,20.45,20.45,19.90,20.45,700,20.45
2014-09-03,19.30,21.10,19.20,19.50,3300,19.50
2014-09-02,20.15,20.20,20.15,20.20,3800,20.20
2014-09-01,19.25,19.25,19.25,19.25,1600,19.25
2014-08-29,18.35,18.35,18.35,18.35,000,18.35
2014-08-28,18.35,18.35,18.35,18.35,4100,18.35
2014-08-27,18.90,18.90,17.35,17.50,2100,17.50
2014-08-26,17.50,18.90,17.50,18.00,1400,18.00
2014-08-25,18.90,18.90,18.00,18.05,1300,18.05
2014-08-22,18.00,18.00,18.00,18.00,100,18.00
2014-08-21,19.05,19.05,18.50,18.50,3300,18.50
2014-08-20,17.85,19.05,17.85,18.15,1900,18.15
2014-08-19,18.20,18.20,18.10,18.15,800,18.15
2014-08-18,18.50,20.40,18.50,18.75,1600,18.75
2014-08-15,19.45,19.45,19.45,19.45,000,19.45
2014-08-14,19.45,19.45,19.45,19.45,100,19.45
2014-08-13,20.45,20.45,20.45,20.45,200,20.45
2014-08-12,21.00,21.00,21.00,21.00,000,21.00
2014-08-11,21.00,21.00,21.00,21.00,100,21.00
2014-08-08,20.70,20.70,20.70,20.70,000,20.70
2014-08-07,21.85,21.90,20.70,20.70,200,20.70
2014-08-06,20.75,22.45,20.75,20.90,400,20.90
2014-08-05,21.50,21.85,20.50,21.60,2100,21.60
2014-08-04,21.50,21.50,21.50,21.50,1000,21.50
2014-08-01,20.75,22.60,20.75,22.60,800,22.60
2014-07-31,21.20,23.35,21.20,21.65,400,21.65
2014-07-30,22.20,22.30,22.20,22.30,1300,22.30
2014-07-29,21.25,21.25,21.25,21.25,000,21.25
2014-07-28,22.50,22.50,21.25,21.25,800,21.25
2014-07-25,23.05,24.20,22.30,22.30,2200,22.30
2014-07-24,24.40,24.40,23.30,23.45,2000,23.45
2014-07-23,26.20,26.35,23.85,24.50,4300,24.50
2014-07-22,25.00,25.10,22.80,25.10,6700,25.10
2014-07-21,23.90,23.95,23.90,23.95,1600,23.95
2014-07-18,21.10,22.85,21.10,22.85,3800,22.85
2014-07-17,20.65,21.80,20.25,21.80,2800,21.80
2014-07-16,20.20,20.80,20.20,20.80,2200,20.80
2014-07-15,18.05,19.85,18.05,19.85,11000,19.85
2014-07-14,17.30,18.95,17.30,18.95,2400,18.95
2014-07-11,18.25,18.25,18.05,18.05,3800,18.05
2014-07-10,18.60,19.70,18.60,19.00,2500,19.00
2014-07-09,18.00,19.55,17.75,19.55,7700,19.55
2014-07-08,18.75,19.70,18.65,18.65,2200,18.65
2014-07-07,18.55,19.60,18.50,19.60,2300,19.60
2014-07-04,18.60,18.70,17.15,18.70,2200,18.70
2014-07-03,16.50,17.85,16.50,17.85,1500,17.85
2014-07-02,16.95,17.00,16.15,17.00,7500,17.00
2014-07-01,16.80,16.80,16.20,16.20,700,16.20
2014-06-30,16.38,16.38,16.00,16.00,6800,16.00
2014-06-27,15.50,16.32,15.50,15.60,2100,15.60
2014-06-26,15.55,16.69,15.50,15.55,1600,15.55
2014-06-25,16.00,16.90,15.80,15.90,1400,15.90
2014-06-24,16.40,16.40,16.05,16.10,600,16.10
2014-06-23,16.65,16.65,15.50,15.70,800,15.70
2014-06-20,15.70,17.28,15.70,15.86,2500,15.86
2014-06-19,16.35,16.50,16.35,16.50,300,16.50
2014-06-18,17.25,17.25,17.13,17.13,1800,17.13
2014-06-17,18.00,18.85,17.53,18.03,2400,18.03
2014-06-16,18.45,18.45,18.45,18.45,100,18.45
2014-06-13,18.90,18.90,17.32,18.90,31600,18.90
2014-06-12,18.00,18.04,17.95,18.00,4100,18.00
2014-06-11,17.15,17.19,17.15,17.19,5900,17.19
2014-06-10,16.30,16.38,14.87,16.38,3000,16.38
2014-06-09,15.60,15.60,15.25,15.60,7100,15.60
2014-06-06,14.84,14.86,14.84,14.86,6700,14.86
2014-06-05,15.00,15.00,14.16,14.16,3500,14.16
2014-06-04,14.91,14.91,14.51,14.90,10000,14.90
2014-06-03,13.55,14.25,13.50,14.20,1800,14.20
2014-06-02,14.37,14.40,13.50,14.19,4600,14.19
2014-05-30,13.70,13.78,13.70,13.78,4700,13.78
2014-05-29,13.13,13.13,12.50,13.13,4200,13.13
2014-05-28,12.51,12.51,11.40,12.51,6000,12.51
2014-05-27,11.35,11.92,11.35,11.92,3400,11.92
2014-05-26,11.36,11.36,11.36,11.36,700,11.36
2014-05-23,10.82,10.82,10.82,10.82,200,10.82
2014-05-22,10.31,10.31,10.31,10.31,1000,10.31
2014-05-21,9.82,9.82,9.82,9.82,1400,9.82
2014-05-20,9.36,9.36,9.15,9.36,500,9.36
2014-05-19,8.50,8.92,8.10,8.92,2600,8.92
2014-05-16,7.70,8.50,7.70,8.50,3000,8.50
2014-05-15,7.99,8.10,7.99,8.10,2300,8.10
2014-05-14,7.61,8.41,7.61,8.41,2700,8.41
2014-05-13,8.36,8.78,7.96,8.01,1400,8.01
2014-05-12,8.80,8.80,8.36,8.37,200,8.37
2014-05-09,8.03,8.80,8.03,8.80,100,8.80
2014-05-08,7.65,8.45,7.65,8.45,1600,8.45
2014-05-07,8.08,8.08,7.37,8.05,500,8.05
2014-05-06,7.70,8.13,7.37,7.70,600,7.70
2014-05-05,8.15,8.53,7.75,7.75,1400,7.75
2014-05-02,8.15,8.15,7.39,8.15,3400,8.15
2014-05-01,7.77,7.77,7.77,7.77,000,7.77
2014-04-30,7.77,7.77,7.77,7.77,400,7.77
2014-04-29,7.14,7.40,7.14,7.40,200,7.40
2014-04-28,7.70,7.86,7.13,7.49,800,7.49
2014-04-25,7.49,7.49,7.49,7.49,600,7.49
2014-04-24,7.88,7.88,7.88,7.88,000,7.88
2014-04-23,7.88,7.88,7.88,7.88,000,7.88
2014-04-22,7.88,7.88,7.88,7.88,700,7.88
2014-04-21,7.20,7.51,7.20,7.51,500,7.51
2014-04-18,7.50,7.50,7.50,7.50,000,7.50
2014-04-17,7.50,7.50,7.50,7.50,000,7.50
2014-04-16,7.59,7.95,7.25,7.50,1000,7.50
2014-04-15,8.00,8.10,7.34,7.59,1300,7.59
2014-04-14,7.69,7.69,7.69,7.69,000,7.69
2014-04-11,7.69,7.69,7.69,7.69,000,7.69
2014-04-10,7.69,7.69,7.69,7.69,000,7.69
2014-04-09,7.69,7.69,7.69,7.69,000,7.69
2014-04-08,7.69,7.69,7.69,7.69,000,7.69
2014-04-07,7.00,7.69,7.00,7.69,1000,7.69
2014-04-04,7.33,7.33,7.33,7.33,000,7.33
2014-04-03,6.66,7.33,6.66,7.33,300,7.33
