Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,138.00,140.50,135.15,135.45,55500,135.45
2014-12-22,136.00,139.45,136.00,137.85,54700,137.85
2014-12-19,140.70,143.00,135.55,136.80,136400,136.80
2014-12-18,134.70,141.45,134.70,138.65,245000,138.65
2014-12-17,131.50,137.40,128.00,132.45,146000,132.45
2014-12-16,138.40,138.40,130.25,131.70,117300,131.70
2014-12-15,141.35,145.70,136.00,138.90,343700,138.90
2014-12-12,130.00,151.00,130.00,143.15,799500,143.15
2014-12-11,131.50,132.95,128.70,129.35,52400,129.35
2014-12-10,133.50,135.40,131.75,132.55,55200,132.55
2014-12-09,138.70,140.40,133.00,133.60,50500,133.60
2014-12-08,142.15,143.50,138.00,139.00,48900,139.00
2014-12-05,141.95,146.60,140.35,141.45,108700,141.45
2014-12-04,143.40,144.50,141.00,141.55,40800,141.55
2014-12-03,139.80,144.30,139.70,142.40,112500,142.40
2014-12-02,142.35,142.35,137.15,139.00,74600,139.00
2014-12-01,148.80,149.15,122.20,141.90,80000,141.90
2014-11-28,151.00,153.70,146.50,148.15,103100,148.15
2014-11-27,148.10,153.75,148.10,150.45,122700,150.45
2014-11-26,147.10,151.50,146.90,148.10,114300,148.10
2014-11-25,155.20,156.50,146.15,148.35,139100,148.35
2014-11-24,153.90,159.00,153.20,154.30,234500,154.30
2014-11-21,155.00,157.30,152.20,153.35,103600,153.35
2014-11-20,156.10,159.25,152.30,154.20,155300,154.20
2014-11-19,155.95,162.40,153.95,155.15,303800,155.15
2014-11-18,156.85,158.90,154.00,155.30,96900,155.30
2014-11-17,156.70,159.50,154.70,156.15,134700,156.15
2014-11-14,157.00,160.00,155.50,157.00,133200,157.00
2014-11-13,157.20,163.40,155.15,157.00,291100,157.00
2014-11-12,161.50,163.65,157.00,157.85,238400,157.85
2014-11-11,151.05,165.00,149.15,161.65,755600,161.65
2014-11-10,150.50,153.60,148.00,150.25,218900,150.25
2014-11-07,158.00,158.55,151.90,152.35,136800,152.35
2014-11-06,158.10,158.10,158.10,158.10,000,158.10
2014-11-05,159.00,163.15,157.30,158.10,293300,158.10
2014-11-04,157.70,157.70,157.70,157.70,000,157.70
2014-11-03,161.70,164.00,154.60,157.70,231900,157.70
2014-10-31,163.00,166.35,160.10,161.20,241000,161.20
2014-10-30,164.05,165.60,161.00,161.65,201800,161.65
