Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,625.75,635.40,606.90,616.75,130200,616.75
2014-12-22,623.00,637.80,616.65,624.55,154400,624.55
2014-12-19,647.80,658.55,612.00,621.15,136500,621.15
2014-12-18,603.55,652.50,603.55,636.45,327300,636.45
2014-12-17,601.00,619.85,581.50,598.05,223200,598.05
2014-12-16,642.60,652.20,555.00,604.00,215200,604.00
2014-12-15,646.55,684.00,637.35,649.05,336400,649.05
2014-12-12,587.05,675.00,586.85,653.05,789100,653.05
2014-12-11,612.30,614.30,582.70,586.20,80700,586.20
2014-12-10,619.05,628.70,610.00,612.40,97500,612.40
2014-12-09,637.00,643.30,623.00,625.05,70300,625.05
2014-12-08,651.00,652.25,631.80,639.10,43700,639.10
2014-12-05,663.00,664.00,645.00,647.05,90400,647.05
2014-12-04,655.05,668.50,655.05,659.30,91500,659.30
2014-12-03,642.20,662.95,637.60,653.20,103700,653.20
2014-12-02,639.50,647.30,632.00,636.40,64400,636.40
2014-12-01,661.50,668.10,640.00,643.45,55500,643.45
2014-11-28,672.40,678.00,660.20,662.70,69100,662.70
2014-11-27,671.50,684.00,667.50,671.55,94100,671.55
2014-11-26,662.20,673.85,655.80,666.45,80000,666.45
2014-11-25,695.00,698.65,660.00,668.00,91800,668.00
2014-11-24,692.10,707.00,690.10,693.80,87900,693.80
2014-11-21,707.10,716.00,686.90,690.80,111800,690.80
2014-11-20,710.95,725.40,702.60,708.10,123500,708.10
2014-11-19,696.70,729.00,695.55,707.65,266100,707.65
2014-11-18,695.70,709.95,688.00,692.45,86500,692.45
2014-11-17,685.00,707.00,682.00,693.60,129200,693.60
2014-11-14,689.45,702.00,680.00,686.95,93600,686.95
2014-11-13,703.70,705.85,678.45,685.20,68200,685.20
2014-11-12,710.40,718.20,695.00,699.60,87000,699.60
2014-11-11,680.00,719.95,680.00,705.60,209300,705.60
2014-11-10,691.00,696.60,673.00,681.15,121600,681.15
2014-11-07,719.20,720.00,685.00,688.65,96800,688.65
2014-11-06,713.60,713.60,713.60,713.60,000,713.60
2014-11-05,724.60,729.60,711.10,713.60,77100,713.60
2014-11-04,718.20,718.20,718.20,718.20,000,718.20
2014-11-03,721.05,727.50,713.00,718.20,71100,718.20
2014-10-31,722.00,733.20,712.20,714.95,147400,714.95
2014-10-30,717.30,727.00,710.00,715.70,86000,715.70
2014-10-29,715.80,738.00,700.00,712.00,202400,712.00
2014-10-28,725.05,738.35,706.00,710.30,136500,710.30
2014-10-27,774.10,776.00,727.10,731.05,102800,731.05
2014-10-24,754.15,754.15,754.15,754.15,000,754.15
2014-10-23,754.15,754.15,754.15,754.15,000,754.15
2014-10-22,772.95,779.95,745.75,754.15,125300,754.15
2014-10-21,768.80,801.00,752.50,761.60,188400,761.60
2014-10-20,830.70,839.10,762.60,777.15,181600,777.15
2014-10-17,845.00,860.65,812.55,822.50,104500,822.50
2014-10-16,887.00,887.00,831.05,839.85,157100,839.85
2014-10-15,907.65,907.65,907.65,907.65,000,907.65
2014-10-14,891.90,925.00,885.00,907.65,257200,907.65
2014-10-13,858.00,900.00,854.95,885.20,139200,885.20
2014-10-10,877.70,882.95,857.55,863.40,116200,863.40
2014-10-09,880.00,901.90,876.35,884.00,133600,884.00
2014-10-08,845.00,902.65,838.15,873.30,277200,873.30
2014-10-07,889.80,896.70,836.55,846.60,117500,846.60
2014-10-06,891.55,891.55,891.55,891.55,000,891.55
2014-10-03,891.55,891.55,891.55,891.55,000,891.55
2014-10-02,891.55,891.55,891.55,891.55,000,891.55
2014-10-01,888.00,929.00,881.45,891.55,378600,891.55
2014-09-30,806.00,914.45,798.00,886.05,504400,886.05
2014-09-29,788.60,820.40,785.45,801.70,129200,801.70
2014-09-26,845.00,847.80,746.00,782.70,224900,782.70
2014-09-25,882.70,883.90,838.00,844.70,73000,844.70
2014-09-24,940.00,943.00,862.10,877.25,107700,877.25
2014-09-23,974.00,992.50,926.85,937.45,129300,937.45
2014-09-22,984.40,1010.50,952.00,966.75,184400,966.75
2014-09-19,876.70,1008.85,876.70,987.65,646100,987.65
2014-09-18,850.00,880.00,848.40,869.55,44200,869.55
2014-09-17,860.00,869.00,832.00,847.95,50500,847.95
2014-09-16,912.00,919.95,846.20,851.20,50800,851.20
2014-09-15,926.00,927.00,897.00,905.20,63700,905.20
2014-09-12,933.10,941.80,923.85,926.60,64900,926.60
2014-09-11,935.00,950.00,923.10,925.65,83000,925.65
2014-09-10,933.90,950.00,921.05,928.30,96200,928.30
2014-09-09,947.40,962.85,928.30,934.55,102000,934.55
2014-09-08,890.00,949.00,888.00,939.85,262600,939.85
