Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,1356.00,1356.00,1356.00,1356.00,000,1356.00
2014-12-22,1410.00,1410.00,1325.00,1356.00,000,1356.00
2014-12-19,1499.00,1530.00,1420.00,1420.00,000,1420.00
2014-12-18,1326.00,1401.00,1326.00,1400.00,000,1400.00
2014-12-17,1386.00,1386.00,1386.00,1386.00,000,1386.00
2014-12-16,1352.00,1352.00,1352.00,1352.00,000,1352.00
2014-12-15,1431.00,1431.00,1400.00,1400.00,100,1400.00
2014-12-12,1430.00,1430.00,1430.00,1430.00,000,1430.00
2014-12-11,1460.00,1460.00,1445.10,1450.00,000,1450.00
2014-12-10,1615.00,1620.00,1425.00,1425.00,100,1425.00
2014-12-09,1450.00,1450.00,1325.05,1375.00,000,1375.00
2014-12-08,1420.00,1420.00,1375.00,1378.00,000,1378.00
2014-12-05,1452.00,1452.00,1420.00,1420.00,000,1420.00
2014-12-04,1452.00,1452.00,1452.00,1452.00,000,1452.00
2014-12-03,1451.00,1452.00,1451.00,1452.00,000,1452.00
2014-12-02,1420.00,1420.00,1420.00,1420.00,000,1420.00
2014-12-01,1435.00,1435.00,1406.00,1435.00,000,1435.00
2014-11-28,1600.00,1600.00,1405.00,1436.40,000,1436.40
2014-11-27,1465.00,1465.00,1465.00,1465.00,000,1465.00
2014-11-26,1415.00,1499.95,1415.00,1465.00,000,1465.00
2014-11-25,1484.85,1484.85,1484.85,1484.85,000,1484.85
2014-11-24,1500.00,1500.00,1402.05,1436.60,000,1436.60
2014-11-21,1481.00,1481.00,1481.00,1481.00,000,1481.00
2014-11-20,1500.00,1500.00,1475.00,1476.00,000,1476.00
2014-11-19,1510.00,1510.00,1501.50,1505.75,000,1505.75
2014-11-18,1500.00,1501.00,1499.95,1499.95,000,1499.95
2014-11-17,1500.00,1598.00,1470.00,1516.30,000,1516.30
2014-11-14,1526.00,1526.00,1500.00,1500.00,000,1500.00
2014-11-13,1500.00,1550.00,1500.00,1500.00,000,1500.00
2014-11-12,1640.00,1640.00,1550.00,1550.80,000,1550.80
2014-11-11,1575.00,1645.00,1465.00,1511.10,200,1511.10
2014-11-10,1620.00,1620.00,1620.00,1620.00,000,1620.00
2014-11-07,1650.95,1650.95,1620.00,1627.50,000,1627.50
2014-11-06,1474.70,1474.70,1474.70,1474.70,000,1474.70
2014-11-05,1629.95,1629.95,1461.05,1474.70,000,1474.70
2014-11-04,1462.00,1462.00,1462.00,1462.00,000,1462.00
2014-11-03,1685.00,1685.00,1400.15,1462.00,000,1462.00
2014-10-31,1403.00,1689.95,1402.05,1550.00,000,1550.00
2014-10-30,1664.95,1664.95,1610.00,1610.00,000,1610.00
2014-10-29,1601.00,1601.00,1600.00,1600.00,000,1600.00
2014-10-28,1729.75,1729.75,1600.00,1638.30,000,1638.30
2014-10-27,1769.95,1769.95,1769.95,1769.95,000,1769.95
2014-10-24,1500.00,1500.00,1500.00,1500.00,000,1500.00
2014-10-23,1500.00,1500.00,1500.00,1500.00,000,1500.00
2014-10-22,1500.00,1500.00,1500.00,1500.00,000,1500.00
2014-10-21,1500.00,1500.00,1500.00,1500.00,000,1500.00
2014-10-20,1489.00,1500.00,1489.00,1500.00,000,1500.00
2014-10-17,1130.00,1390.00,1130.00,1390.00,000,1390.00
2014-10-16,1350.00,1350.00,1350.00,1350.00,000,1350.00
2014-10-15,1340.70,1340.70,1340.70,1340.70,000,1340.70
2014-10-14,1340.65,1410.00,1340.65,1340.70,000,1340.70
2014-10-13,1317.00,1420.00,1317.00,1340.65,100,1340.65
2014-10-10,1300.00,1474.00,1300.00,1410.00,100,1410.00
2014-10-09,1550.00,1550.00,1550.00,1550.00,000,1550.00
2014-10-08,1590.00,1590.00,1590.00,1590.00,000,1590.00
2014-10-07,1590.00,1590.00,1590.00,1590.00,000,1590.00
2014-10-06,1500.00,1500.00,1500.00,1500.00,000,1500.00
2014-10-03,1500.00,1500.00,1500.00,1500.00,000,1500.00
2014-10-02,1500.00,1500.00,1500.00,1500.00,000,1500.00
2014-10-01,1500.00,1500.00,1500.00,1500.00,000,1500.00
2014-09-30,1460.00,1500.00,1460.00,1500.00,000,1500.00
2014-09-29,1432.00,1649.80,1432.00,1485.00,000,1485.00
2014-09-26,1500.00,1500.00,1500.00,1500.00,000,1500.00
2014-09-25,1485.00,1485.00,1485.00,1485.00,000,1485.00
2014-09-24,1485.00,1485.00,1485.00,1485.00,000,1485.00
2014-09-23,1525.55,1650.00,1525.55,1555.05,000,1555.05
2014-09-22,1694.95,1694.95,1694.95,1694.95,000,1694.95
2014-09-19,1595.00,1595.00,1589.95,1590.00,000,1590.00
2014-09-18,1450.00,1450.00,1450.00,1450.00,000,1450.00
2014-09-17,1500.00,1530.00,1500.00,1500.00,000,1500.00
2014-09-16,1575.00,1575.00,1550.00,1558.35,000,1558.35
2014-09-15,1640.00,1640.00,1640.00,1640.00,000,1640.00
2014-09-12,1500.05,1635.00,1500.05,1630.00,000,1630.00
2014-09-11,1629.00,1630.00,1629.00,1630.00,000,1630.00
2014-09-10,1500.00,1550.00,1450.05,1483.35,600,1483.35
2014-09-09,1619.95,1619.95,1525.00,1525.00,000,1525.00
2014-09-08,1599.95,1599.95,1574.70,1579.55,000,1579.55
2014-09-05,1400.05,1620.95,1400.05,1599.95,500,1599.95
2014-09-04,1450.00,1535.00,1450.00,1535.00,500,1535.00
2014-09-03,1420.00,1480.00,1420.00,1480.00,400,1480.00
2014-09-02,1400.00,1469.90,1400.00,1440.15,100,1440.15
2014-09-01,1400.00,1400.00,1330.00,1399.95,100,1399.95
2014-08-29,1400.00,1400.00,1400.00,1400.00,000,1400.00
2014-08-28,1400.00,1400.00,1400.00,1400.00,000,1400.00
2014-08-27,1375.00,1402.00,1375.00,1402.00,500,1402.00
2014-08-26,1410.00,1450.00,1340.50,1341.00,400,1341.00
2014-08-25,1557.95,1557.95,1411.00,1411.00,300,1411.00
2014-08-22,1410.00,1485.70,1410.00,1485.00,500,1485.00
2014-08-21,1412.05,1538.00,1412.00,1415.00,000,1415.00
2014-08-20,1500.00,1500.00,1482.00,1485.00,300,1485.00
2014-08-19,1523.00,1559.95,1460.00,1559.95,000,1559.95
2014-08-18,1400.00,1530.00,1390.00,1523.95,400,1523.95
2014-08-15,1460.00,1460.00,1460.00,1460.00,000,1460.00
2014-08-14,1460.00,1460.00,1460.00,1460.00,000,1460.00
2014-08-13,1460.00,1460.00,1460.00,1460.00,000,1460.00
2014-08-12,1370.00,1508.00,1370.00,1508.00,000,1508.00
2014-08-11,1438.50,1438.50,1434.00,1436.25,000,1436.25
2014-08-08,1305.00,1370.00,1305.00,1370.00,000,1370.00
2014-08-07,1341.00,1404.00,1305.00,1305.50,000,1305.50
2014-08-06,1341.05,1341.05,1341.05,1341.05,000,1341.05
2014-08-05,1410.00,1410.00,1410.00,1410.00,000,1410.00
2014-08-04,1410.05,1410.05,1410.00,1410.00,000,1410.00
2014-08-01,1469.00,1469.00,1469.00,1469.00,000,1469.00
2014-07-31,1404.00,1519.00,1404.00,1405.05,000,1405.05
2014-07-30,1460.00,1505.00,1460.00,1477.40,000,1477.40
2014-07-29,1456.75,1456.75,1456.75,1456.75,000,1456.75
2014-07-28,1455.00,1456.75,1390.00,1456.75,000,1456.75
2014-07-25,1400.00,1519.00,1400.00,1519.00,000,1519.00
2014-07-24,1506.00,1506.00,1450.05,1460.70,000,1460.70
2014-07-23,1570.00,1570.00,1507.00,1508.00,100,1508.00
2014-07-22,1595.00,1599.90,1570.00,1570.00,000,1570.00
2014-07-21,1530.00,1530.00,1530.00,1530.00,000,1530.00
2014-07-18,1525.00,1525.00,1525.00,1525.00,000,1525.00
2014-07-17,1500.05,1525.00,1500.05,1525.00,000,1525.00
2014-07-16,1580.00,1597.00,1540.05,1540.10,000,1540.10
2014-07-15,1600.00,1610.00,1546.60,1580.00,000,1580.00
2014-07-14,1627.25,1628.00,1627.25,1628.00,000,1628.00
2014-07-11,1845.00,1845.00,1712.85,1712.85,000,1712.85
2014-07-10,1850.00,1899.95,1802.15,1803.00,100,1803.00
2014-07-09,2087.50,2087.50,1896.95,1896.95,000,1896.95
2014-07-08,2078.90,2078.90,1951.00,1991.35,100,1991.35
2014-07-07,2010.00,2014.00,1970.00,1979.95,100,1979.95
2014-07-04,1850.00,2000.05,1850.00,1919.00,000,1919.00
2014-07-03,1949.00,1953.70,1802.45,1953.70,000,1953.70
2014-07-02,1800.00,1860.70,1800.00,1860.70,100,1860.70
2014-07-01,1772.10,1772.10,1772.00,1772.10,000,1772.10
2014-06-30,1687.00,1687.75,1687.00,1687.75,000,1687.75
2014-06-27,1600.00,1607.40,1462.00,1607.40,100,1607.40
2014-06-26,1562.00,1562.00,1444.00,1530.90,000,1530.90
2014-06-25,1488.00,1488.35,1441.10,1488.35,000,1488.35
2014-06-24,1415.00,1417.50,1284.00,1417.50,100,1417.50
2014-06-23,1389.05,1389.05,1257.00,1350.00,000,1350.00
2014-06-20,1322.95,1322.95,1322.95,1322.95,000,1322.95
2014-06-19,1259.95,1260.00,1259.95,1260.00,000,1260.00
2014-06-18,1200.00,1260.00,1200.00,1200.00,000,1200.00
2014-06-17,1199.00,1200.00,1195.00,1200.00,000,1200.00
2014-06-16,1255.00,1255.00,1255.00,1255.00,000,1255.00
2014-06-13,1318.90,1318.90,1318.90,1318.90,000,1318.90
2014-06-12,1318.90,1318.90,1318.90,1318.90,000,1318.90
2014-06-11,1201.00,1318.90,1200.00,1318.90,000,1318.90
2014-06-10,1265.00,1265.00,1258.00,1258.00,000,1258.00
2014-06-09,1200.00,1323.35,1200.00,1323.35,000,1323.35
2014-06-06,1285.00,1367.00,1239.00,1260.35,000,1260.35
2014-06-05,1320.00,1320.00,1281.05,1304.20,000,1304.20
2014-06-04,1303.00,1303.00,1303.00,1303.00,000,1303.00
2014-06-03,1300.00,1320.00,1300.00,1303.00,000,1303.00
2014-06-02,1300.00,1300.00,1300.00,1300.00,000,1300.00
2014-05-30,1300.00,1300.00,1300.00,1300.00,000,1300.00
2014-05-29,1300.00,1300.00,1300.00,1300.00,000,1300.00
2014-05-28,1282.50,1282.50,1282.50,1282.50,000,1282.50
2014-05-27,1282.50,1282.50,1282.50,1282.50,000,1282.50
2014-05-26,1350.00,1350.00,1350.00,1350.00,000,1350.00
2014-05-23,1350.00,1350.00,1350.00,1350.00,000,1350.00
2014-05-22,1400.00,1400.00,1400.00,1400.00,100,1400.00
2014-05-21,1312.05,1365.00,1312.05,1365.00,000,1365.00
2014-05-20,1300.30,1300.30,1300.30,1300.30,000,1300.30
2014-05-19,1394.20,1394.20,1300.15,1300.30,000,1300.30
2014-05-16,1400.00,1400.00,1327.85,1327.85,000,1327.85
2014-05-15,1332.00,1397.70,1332.00,1397.70,000,1397.70
2014-05-14,1330.10,1331.15,1330.10,1331.15,100,1331.15
2014-05-13,1330.10,1330.10,1330.10,1330.10,000,1330.10
2014-05-12,1330.10,1331.00,1330.10,1330.10,200,1330.10
