Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,14.81,14.81,13.00,13.00,1000,13.00
2014-12-22,13.47,13.47,11.20,13.47,4300,13.47
2014-12-19,12.29,12.29,12.25,12.25,200,12.25
2014-12-18,12.67,12.67,12.67,12.67,000,12.67
2014-12-17,13.01,13.01,13.01,13.01,000,13.01
2014-12-16,13.01,13.01,13.01,13.01,000,13.01
2014-12-15,13.01,13.01,13.01,13.01,000,13.01
2014-12-12,13.01,13.01,13.01,13.01,000,13.01
2014-12-11,13.01,13.01,13.01,13.01,000,13.01
2014-12-10,12.70,12.70,12.70,12.70,000,12.70
2014-12-09,13.10,13.10,13.10,13.10,000,13.10
2014-12-08,13.10,13.10,13.10,13.10,000,13.10
2014-12-05,15.00,15.00,13.35,13.35,1500,13.35
2014-12-04,14.00,14.00,14.00,14.00,000,14.00
2014-12-03,13.34,13.34,13.34,13.34,500,13.34
2014-12-02,12.71,12.71,12.71,12.71,200,12.71
2014-12-01,12.11,12.11,12.11,12.11,300,12.11
2014-11-28,12.35,12.35,12.35,12.35,000,12.35
2014-11-27,13.46,13.46,12.35,12.35,000,12.35
2014-11-26,12.82,12.82,12.82,12.82,000,12.82
2014-11-25,13.50,13.50,13.25,13.25,100,13.25
2014-11-24,13.75,13.75,13.75,13.75,000,13.75
2014-11-21,13.51,13.75,13.51,13.75,300,13.75
2014-11-20,14.00,15.19,13.81,14.10,800,14.10
2014-11-19,14.48,14.48,14.48,14.48,200,14.48
2014-11-18,15.24,15.24,15.24,15.24,000,15.24
2014-11-17,15.24,15.24,15.24,15.24,000,15.24
2014-11-14,16.00,16.75,15.20,15.24,2800,15.24
2014-11-13,15.50,16.04,15.40,16.00,400,16.00
2014-11-12,15.00,15.30,14.61,15.30,800,15.30
2014-11-11,14.67,14.67,14.20,14.67,600,14.67
2014-11-10,13.98,13.98,13.98,13.98,000,13.98
2014-11-07,12.52,13.32,12.51,13.32,000,13.32
2014-11-06,12.69,12.69,12.69,12.69,000,12.69
2014-11-05,13.71,13.71,12.43,12.69,1300,12.69
2014-11-04,13.06,13.06,13.06,13.06,000,13.06
2014-11-03,13.06,13.06,13.05,13.06,100,13.06
2014-10-31,12.87,15.42,12.87,14.50,2400,14.50
2014-10-30,14.26,14.26,14.26,14.26,000,14.26
2014-10-29,14.22,14.26,14.21,14.26,100,14.26
2014-10-28,18.20,18.25,15.75,15.75,2500,15.75
2014-10-27,15.83,17.75,15.83,17.50,8000,17.50
2014-10-24,16.00,16.00,16.00,16.00,000,16.00
2014-10-23,16.00,16.00,16.00,16.00,000,16.00
2014-10-22,16.00,16.00,16.00,16.00,000,16.00
2014-10-21,17.59,17.59,14.80,16.00,100,16.00
2014-10-20,16.44,16.44,16.44,16.44,000,16.44
2014-10-17,15.00,15.00,15.00,15.00,000,15.00
2014-10-16,14.90,14.90,14.90,14.90,000,14.90
2014-10-15,14.42,14.42,14.42,14.42,000,14.42
2014-10-14,14.40,15.45,14.40,14.42,1300,14.42
2014-10-13,16.00,16.00,16.00,16.00,100,16.00
2014-10-10,16.22,16.22,16.22,16.22,000,16.22
2014-10-09,14.50,16.47,14.44,16.22,400,16.22
2014-10-08,16.04,16.04,16.04,16.04,000,16.04
