Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,23.95,23.95,23.95,23.95,000,23.95
2014-12-22,22.70,24.80,22.05,23.00,1100,23.00
2014-12-19,24.00,25.55,22.50,22.60,1300,22.60
2014-12-18,24.10,25.95,22.50,23.30,300,23.30
2014-12-17,25.40,25.40,22.00,23.95,2000,23.95
2014-12-16,23.90,25.40,23.05,23.25,200,23.25
2014-12-15,24.90,25.85,23.40,23.85,600,23.85
2014-12-12,25.85,25.85,23.65,24.00,1500,24.00
2014-12-11,23.30,24.95,23.30,24.30,2300,24.30
2014-12-10,25.00,25.80,23.55,24.90,1000,24.90
2014-12-09,26.10,26.10,24.15,25.00,700,25.00
2014-12-08,26.15,26.15,24.65,25.10,800,25.10
2014-12-05,24.10,26.15,24.10,25.05,1000,25.05
2014-12-04,26.25,26.25,25.15,26.15,000,26.15
2014-12-03,26.00,26.50,25.75,25.95,300,25.95
2014-12-02,24.05,26.85,24.00,25.65,300,25.65
2014-12-01,25.05,26.00,25.00,25.25,500,25.25
2014-11-28,27.00,27.00,25.15,25.50,600,25.50
2014-11-27,26.00,27.75,26.00,26.45,400,26.45
2014-11-26,26.00,26.95,25.50,25.70,500,25.70
2014-11-25,27.00,27.05,25.00,25.95,1300,25.95
2014-11-24,27.00,27.40,25.25,25.90,700,25.90
2014-11-21,27.85,27.85,26.70,27.20,1600,27.20
2014-11-20,26.50,27.90,26.50,27.50,600,27.50
2014-11-19,27.85,27.85,27.00,27.00,2500,27.00
2014-11-18,24.25,27.75,24.25,27.20,800,27.20
2014-11-17,25.00,27.70,25.00,26.50,2400,26.50
2014-11-14,26.50,27.85,25.00,27.05,600,27.05
2014-11-13,27.00,27.90,25.50,26.50,700,26.50
2014-11-12,28.00,28.00,25.75,26.00,1100,26.00
2014-11-11,26.00,26.95,25.20,26.05,200,26.05
2014-11-10,27.00,27.90,25.75,27.35,000,27.35
2014-11-07,26.50,27.90,26.50,27.20,1300,27.20
2014-11-06,26.50,26.50,26.50,26.50,000,26.50
2014-11-05,27.00,28.00,25.25,26.50,400,26.50
2014-11-04,27.40,27.40,27.40,27.40,000,27.40
2014-11-03,28.00,28.00,25.05,27.40,700,27.40
2014-10-31,28.00,28.00,25.00,26.25,3200,26.25
2014-10-30,28.00,28.00,25.00,27.20,300,27.20
2014-10-29,28.30,28.30,24.15,26.15,1000,26.15
2014-10-28,27.95,27.95,24.15,25.90,1100,25.90
2014-10-27,27.95,27.95,24.35,26.90,700,26.90
2014-10-24,26.50,26.50,26.50,26.50,000,26.50
2014-10-23,26.50,26.50,26.50,26.50,000,26.50
2014-10-22,28.30,28.30,26.20,26.50,200,26.50
2014-10-21,27.00,28.00,25.00,27.75,100,27.75
2014-10-20,27.80,27.80,27.80,27.80,000,27.80
2014-10-17,26.50,27.00,25.15,25.80,1500,25.80
2014-10-16,22.90,27.90,22.80,27.40,1200,27.40
2014-10-15,27.95,27.95,27.95,27.95,000,27.95
2014-10-14,28.30,28.30,26.00,27.95,200,27.95
2014-10-13,26.00,28.25,26.00,27.80,500,27.80
2014-10-10,28.35,28.35,26.55,26.90,000,26.90
2014-10-09,25.35,28.40,25.35,27.10,1400,27.10
2014-10-08,25.00,28.00,25.00,25.90,1000,25.90
2014-10-07,24.25,28.25,24.25,25.10,4300,25.10
2014-10-06,26.70,26.70,26.70,26.70,000,26.70
2014-10-03,26.70,26.70,26.70,26.70,000,26.70
2014-10-02,26.70,26.70,26.70,26.70,000,26.70
2014-10-01,28.40,28.40,26.10,26.70,700,26.70
2014-09-30,28.40,28.40,27.00,27.55,000,27.55
2014-09-29,26.00,28.50,26.00,27.10,1400,27.10
2014-09-26,28.70,28.70,27.00,27.00,2500,27.00
2014-09-25,25.50,27.50,25.50,26.10,700,26.10
2014-09-24,27.00,29.45,26.95,27.35,700,27.35
2014-09-23,28.55,29.35,26.95,27.90,400,27.90
2014-09-22,28.50,29.50,27.50,29.50,1400,29.50
2014-09-19,27.10,29.20,27.10,29.05,900,29.05
2014-09-18,27.00,29.25,27.00,28.70,600,28.70
2014-09-17,27.00,29.30,26.55,28.15,3600,28.15
2014-09-16,29.50,29.50,27.10,27.90,2500,27.90
2014-09-15,26.00,29.45,26.00,29.30,2500,29.30
2014-09-12,26.60,29.00,26.50,28.85,6800,28.85
2014-09-11,29.90,29.90,26.25,28.90,000,28.90
2014-09-10,25.55,30.75,25.55,28.25,2600,28.25
2014-09-09,25.75,28.90,25.75,28.00,1600,28.00
2014-09-08,25.65,28.50,25.45,26.35,800,26.35
2014-09-05,25.00,29.00,25.00,26.75,600,26.75
2014-09-04,25.75,26.95,25.75,26.45,100,26.45
2014-09-03,27.00,27.00,25.65,26.00,6200,26.00
2014-09-02,25.30,27.30,25.25,27.00,700,27.00
2014-09-01,26.00,26.60,26.00,26.15,600,26.15
2014-08-29,25.60,25.60,25.60,25.60,000,25.60
2014-08-28,27.50,27.95,25.55,25.60,6000,25.60
2014-08-27,25.15,26.80,25.05,26.80,300,26.80
2014-08-26,24.90,26.95,24.90,25.75,1000,25.75
2014-08-25,25.30,27.25,25.30,26.00,300,26.00
2014-08-22,25.15,26.50,25.15,26.15,3200,26.15
2014-08-21,25.20,27.00,25.10,26.15,1200,26.15
2014-08-20,26.15,26.15,26.15,26.15,000,26.15
2014-08-19,26.55,26.90,24.85,24.95,2200,24.95
2014-08-18,26.00,26.00,25.50,25.65,1000,25.65
2014-08-15,25.80,25.80,25.80,25.80,000,25.80
2014-08-14,25.35,27.00,25.35,25.80,000,25.80
2014-08-13,25.05,26.80,25.05,25.95,300,25.95
2014-08-12,24.00,26.30,24.00,26.00,1400,26.00
2014-08-11,25.00,25.10,25.00,25.05,200,25.05
2014-08-08,26.00,27.65,25.20,25.35,3600,25.35
2014-08-07,25.25,27.00,25.25,26.40,700,26.40
2014-08-06,26.00,26.45,26.00,26.40,3100,26.40
2014-08-05,25.70,26.90,24.75,25.20,1800,25.20
2014-08-04,25.65,25.65,25.65,25.65,200,25.65
2014-08-01,25.50,25.70,25.50,25.70,200,25.70
2014-07-31,24.85,25.95,24.85,24.95,100,24.95
2014-07-30,24.80,26.05,24.75,26.05,500,26.05
2014-07-29,26.05,26.05,26.05,26.05,000,26.05
2014-07-28,23.75,26.05,23.75,26.05,100,26.05
2014-07-25,26.55,26.55,24.35,26.50,200,26.50
2014-07-24,24.85,26.70,24.80,25.60,100,25.60
2014-07-23,24.15,25.95,24.10,25.95,600,25.95
2014-07-22,26.50,26.50,25.30,25.30,000,25.30
2014-07-21,28.00,28.00,25.80,26.05,300,26.05
2014-07-18,24.85,27.00,24.85,27.00,1300,27.00
2014-07-17,25.80,26.85,25.75,25.95,500,25.95
2014-07-16,24.50,26.80,24.50,26.65,3900,26.65
2014-07-15,24.80,25.70,24.70,25.55,400,25.55
2014-07-14,25.85,25.85,25.85,25.85,000,25.85
2014-07-11,25.05,25.70,24.75,24.90,200,24.90
2014-07-10,23.70,26.00,23.70,25.80,900,25.80
2014-07-09,24.80,25.95,24.80,24.80,300,24.80
2014-07-08,25.40,25.75,25.40,25.75,300,25.75
2014-07-07,26.50,27.35,25.70,26.30,3700,26.30
2014-07-04,25.25,26.50,25.10,26.05,1900,26.05
2014-07-03,25.20,27.30,25.15,25.20,2000,25.20
2014-07-02,25.30,27.00,25.30,26.45,300,26.45
2014-07-01,24.55,26.60,24.55,26.15,2600,26.15
2014-06-30,27.00,27.00,25.35,25.35,000,25.35
2014-06-27,27.85,27.90,26.15,26.20,1100,26.20
2014-06-26,28.00,28.00,25.60,27.50,1300,27.50
2014-06-25,26.00,26.90,25.15,26.90,1500,26.90
2014-06-24,25.45,25.75,24.00,25.75,900,25.75
2014-06-23,23.70,24.75,23.70,24.60,1800,24.60
2014-06-20,24.05,24.05,23.70,23.70,1200,23.70
2014-06-19,24.00,24.90,24.00,24.90,800,24.90
2014-06-18,24.05,24.05,24.00,24.00,500,24.00
2014-06-17,24.00,24.95,24.00,24.95,400,24.95
2014-06-16,25.00,25.00,23.75,24.00,600,24.00
2014-06-13,25.00,25.00,24.05,24.95,1400,24.95
2014-06-12,25.80,25.80,24.55,25.20,2700,25.20
2014-06-11,25.95,25.95,24.75,25.80,5000,25.80
2014-06-10,25.90,25.95,24.55,24.75,4700,24.75
2014-06-09,22.65,24.75,22.65,24.75,3400,24.75
2014-06-06,23.50,23.60,22.55,23.60,2600,23.60
2014-06-05,22.00,24.40,22.00,22.50,8900,22.50
2014-06-04,21.15,22.50,21.15,22.25,900,22.25
2014-06-03,21.00,22.40,21.00,21.40,1200,21.40
2014-06-02,21.90,21.90,21.90,21.90,100,21.90
2014-05-30,23.10,23.95,23.05,23.05,1300,23.05
2014-05-29,22.25,24.75,22.25,23.85,300,23.85
2014-05-28,23.45,23.70,21.35,23.70,1300,23.70
2014-05-27,21.75,23.95,21.50,21.55,1400,21.55
2014-05-26,28.00,28.00,23.85,23.85,9700,23.85
2014-05-23,22.00,26.45,22.00,26.45,6700,26.45
2014-05-22,18.50,22.05,18.00,22.05,9400,22.05
2014-05-21,17.00,19.95,17.00,18.40,3200,18.40
2014-05-20,17.50,19.00,17.25,19.00,5800,19.00
2014-05-19,18.85,18.85,17.65,18.00,800,18.00
2014-05-16,20.45,20.45,17.10,17.25,1100,17.25
2014-05-15,17.00,18.50,17.00,17.40,1500,17.40
2014-05-14,18.00,19.50,17.70,18.00,700,18.00
2014-05-13,17.00,20.95,17.00,18.40,2700,18.40
2014-05-12,20.70,20.70,17.50,17.65,2900,17.65
2014-05-09,17.00,17.95,16.95,17.25,1000,17.25
2014-05-08,17.45,18.00,16.75,16.85,600,16.85
2014-05-07,17.50,17.95,16.25,16.45,600,16.45
2014-05-06,18.80,18.80,17.40,17.40,100,17.40
2014-05-05,16.90,17.45,16.85,17.15,500,17.15
2014-05-02,16.85,17.50,16.85,17.00,1300,17.00
2014-05-01,17.15,17.15,17.15,17.15,000,17.15
2014-04-30,16.65,18.00,16.65,17.15,1400,17.15
2014-04-29,17.05,17.95,16.55,17.15,2400,17.15
2014-04-28,18.00,18.25,17.05,17.25,1200,17.25
2014-04-25,18.00,18.50,17.05,17.60,500,17.60
2014-04-24,17.50,17.50,17.50,17.50,000,17.50
2014-04-23,18.10,18.10,17.50,17.50,200,17.50
2014-04-22,17.10,19.00,17.10,18.30,800,18.30
2014-04-21,17.90,20.80,17.90,18.55,200,18.55
2014-04-18,19.05,19.05,19.05,19.05,000,19.05
2014-04-17,19.00,19.25,18.40,19.05,600,19.05
2014-04-16,19.65,20.50,19.00,19.30,600,19.30
2014-04-15,19.35,20.90,19.25,20.55,300,20.55
2014-04-14,20.50,20.50,20.50,20.50,000,20.50
2014-04-11,19.00,20.80,19.00,20.50,1500,20.50
2014-04-10,18.20,19.70,18.20,19.00,600,19.00
2014-04-09,18.05,18.05,18.00,18.00,200,18.00
2014-04-08,19.10,19.10,19.10,19.10,000,19.10
2014-04-07,18.00,19.95,18.00,19.10,400,19.10
2014-04-04,16.60,19.20,16.60,18.30,1900,18.30
2014-04-03,17.20,18.60,17.15,18.00,1300,18.00
2014-04-02,18.35,18.35,17.05,17.05,100,17.05
2014-04-01,16.70,17.95,16.60,16.90,500,16.90
2014-03-31,17.20,18.95,16.50,16.85,1200,16.85
2014-03-28,16.55,19.35,16.55,18.30,300,18.30
2014-03-27,15.85,19.00,15.85,17.90,5200,17.90
2014-03-26,16.35,18.95,16.20,17.30,900,17.30
2014-03-25,17.95,17.95,17.95,17.95,000,17.95
2014-03-24,16.05,17.95,16.00,16.90,3700,16.90
2014-03-21,15.20,17.85,15.05,16.75,13800,16.75
2014-03-20,16.05,17.00,16.00,16.40,700,16.40
2014-03-19,15.60,17.90,15.40,16.55,2500,16.55
2014-03-18,16.30,18.15,16.00,16.40,400,16.40
2014-03-17,16.85,16.85,16.85,16.85,000,16.85
2014-03-14,16.00,18.40,16.00,16.85,1600,16.85
2014-03-13,16.15,18.45,16.15,17.15,13300,17.15
2014-03-12,16.65,19.45,16.65,17.00,500,17.00
2014-03-11,16.65,19.30,16.60,18.10,500,18.10
2014-03-10,17.50,19.15,16.60,18.00,600,18.00
2014-03-07,17.50,18.85,17.20,17.75,1100,17.75
2014-03-06,16.60,17.95,16.60,17.60,2600,17.60
2014-03-05,16.80,18.30,16.80,17.15,500,17.15
2014-03-04,17.85,17.85,16.25,17.50,800,17.50
2014-03-03,17.50,18.05,16.70,17.05,200,17.05
2014-02-28,17.60,18.40,17.35,17.40,300,17.40
2014-02-27,18.20,18.20,18.20,18.20,000,18.20
2014-02-26,18.75,18.75,17.35,18.20,1800,18.20
2014-02-25,18.45,18.45,17.00,18.20,700,18.20
2014-02-24,19.50,19.50,17.70,17.75,7800,17.75
2014-02-21,20.10,20.10,18.25,18.60,3600,18.60
2014-02-20,20.90,20.90,19.15,19.20,000,19.20
2014-02-19,21.85,21.85,19.95,20.00,1000,20.00
2014-02-18,20.95,20.95,20.95,20.95,200,20.95
2014-02-17,22.00,22.00,22.00,22.00,000,22.00
2014-02-14,23.10,23.10,22.00,22.00,000,22.00
2014-02-13,22.10,22.10,22.10,22.10,000,22.10
2014-02-12,22.10,22.10,22.10,22.10,000,22.10
2014-02-11,19.80,21.55,19.65,21.35,500,21.35
2014-02-10,20.65,20.65,20.65,20.65,000,20.65
2014-02-07,19.80,19.80,19.80,19.80,000,19.80
2014-02-06,18.50,19.20,18.50,19.20,000,19.20
2014-02-05,19.40,19.40,18.65,18.80,500,18.80
2014-02-04,19.70,19.70,17.90,18.60,14200,18.60
2014-02-03,20.65,20.65,18.80,18.80,100,18.80
2014-01-31,21.40,21.40,19.75,19.75,600,19.75
2014-01-30,19.95,20.75,19.85,20.75,000,20.75
2014-01-29,20.30,20.90,19.30,20.85,4200,20.85
2014-01-28,22.25,22.25,20.30,20.30,4700,20.30
2014-01-27,21.05,22.50,21.00,21.35,2100,21.35
2014-01-24,22.30,23.90,22.10,22.10,6000,22.10
2014-01-23,23.10,23.95,23.05,23.25,600,23.25
2014-01-22,22.30,24.25,22.30,24.25,000,24.25
2014-01-21,23.75,24.35,23.00,23.30,200,23.30
2014-01-20,23.80,23.80,23.80,23.80,100,23.80
2014-01-17,23.55,24.55,22.90,23.95,400,23.95
2014-01-16,24.00,24.20,23.00,24.10,1800,24.10
2014-01-15,23.80,24.90,23.75,24.00,1600,24.00
2014-01-14,24.00,24.95,23.65,24.95,200,24.95
2014-01-13,24.20,26.60,24.15,24.85,800,24.85
2014-01-10,25.40,25.40,25.40,25.40,000,25.40
2014-01-09,24.40,24.50,24.40,24.50,200,24.50
2014-01-08,24.50,25.40,24.50,25.40,400,25.40
2014-01-07,24.85,25.00,24.75,25.00,500,25.00
2014-01-06,24.75,26.90,24.75,26.00,100,26.00
2014-01-03,24.05,26.00,24.05,26.00,400,26.00
2014-01-02,24.50,25.95,24.45,24.95,200,24.95
2014-01-01,25.70,25.70,25.70,25.70,200,25.70
2013-12-31,27.00,27.00,27.00,27.00,000,27.00
2013-12-30,23.90,26.00,23.90,26.00,200,26.00
2013-12-27,24.35,25.00,24.35,25.00,4200,25.00
2013-12-26,25.50,27.40,25.45,25.50,200,25.50
2013-12-25,26.75,26.75,26.75,26.75,000,26.75
2013-12-24,24.70,26.75,24.70,26.75,000,26.75
2013-12-23,24.60,25.95,24.35,25.95,1000,25.95
2013-12-20,24.60,25.60,23.30,25.60,1100,25.60
2013-12-19,24.25,24.50,24.10,24.50,700,24.50
2013-12-18,25.35,25.35,25.35,25.35,000,25.35
2013-12-17,26.65,26.65,26.65,26.65,100,26.65
2013-12-16,28.00,28.00,28.00,28.00,000,28.00
2013-12-13,27.60,27.60,27.60,27.60,000,27.60
2013-12-12,29.00,29.00,29.00,29.00,000,29.00
2013-12-11,29.95,29.95,29.95,29.95,000,29.95
2013-12-10,29.95,29.95,29.95,29.95,000,29.95
2013-12-09,29.00,29.00,29.00,29.00,000,29.00
2013-12-06,27.90,27.90,27.90,27.90,000,27.90
2013-12-05,27.00,27.00,27.00,27.00,000,27.00
2013-12-04,27.00,27.00,27.00,27.00,000,27.00
2013-12-03,24.05,26.50,24.05,26.50,500,26.50
2013-12-02,25.35,25.35,25.20,25.30,600,25.30
2013-11-29,26.50,26.50,26.50,26.50,000,26.50
2013-11-28,27.85,27.85,27.85,27.85,000,27.85
2013-11-27,28.00,28.00,28.00,28.00,000,28.00
2013-11-26,27.60,27.60,27.60,27.60,000,27.60
2013-11-25,29.00,29.00,27.60,27.60,000,27.60
2013-11-22,29.00,29.00,29.00,29.00,000,29.00
2013-11-21,28.50,28.50,28.50,28.50,000,28.50
2013-11-20,28.25,28.25,28.25,28.25,000,28.25
