Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,30.45,30.85,30.05,30.20,533700,30.20
2014-12-22,30.50,30.90,30.05,30.75,915100,30.75
2014-12-19,31.35,31.70,29.95,30.35,1091700,30.35
2014-12-18,30.40,31.50,30.20,31.15,1213300,31.15
2014-12-17,30.40,30.55,28.80,30.00,1790100,30.00
2014-12-16,31.30,31.60,29.60,30.05,3468000,30.05
2014-12-15,31.25,32.65,31.00,31.40,2083100,31.40
2014-12-12,33.40,33.45,31.20,31.45,2907700,31.45
2014-12-11,32.15,34.80,31.55,33.55,5565100,33.55
2014-12-10,31.70,33.05,31.70,32.10,2485500,32.10
2014-12-09,34.60,35.40,31.75,32.00,4059200,32.00
2014-12-08,32.85,35.60,32.15,34.75,7466800,34.75
2014-12-05,31.15,33.00,31.15,32.85,4435700,32.85
2014-12-04,31.65,33.15,31.10,31.35,5446300,31.35
2014-12-03,29.95,31.60,29.95,31.40,4638600,31.40
2014-12-02,29.90,30.05,29.90,29.95,518700,29.95
2014-12-01,29.85,30.65,29.60,30.00,1521500,30.00
2014-11-28,30.40,30.40,29.90,29.90,489000,29.90
2014-11-27,30.30,30.75,29.90,30.05,661800,30.05
2014-11-26,30.00,31.40,29.80,30.30,1576700,30.30
2014-11-25,30.40,30.40,29.65,29.95,831600,29.95
2014-11-24,31.50,31.65,30.00,30.40,1308900,30.40
2014-11-21,29.75,32.20,29.45,31.10,5677700,31.10
2014-11-20,29.75,29.75,29.40,29.50,175100,29.50
2014-11-19,29.70,29.80,29.35,29.50,506300,29.50
2014-11-18,29.85,29.85,29.25,29.55,865500,29.55
2014-11-17,29.80,29.80,29.35,29.45,1413100,29.45
2014-11-14,29.00,29.55,29.00,29.50,331900,29.50
2014-11-13,29.25,29.80,29.05,29.30,392700,29.30
2014-11-12,29.40,29.45,29.15,29.20,260200,29.20
2014-11-11,29.80,29.80,29.15,29.25,502700,29.25
2014-11-10,29.30,29.90,29.25,29.60,528400,29.60
2014-11-07,29.55,29.90,29.20,29.35,598000,29.35
2014-11-06,29.55,29.55,29.55,29.55,000,29.55
2014-11-05,29.65,29.85,29.35,29.55,638000,29.55
2014-11-04,29.30,29.30,29.30,29.30,000,29.30
2014-11-03,29.25,29.75,29.05,29.30,1466600,29.30
2014-10-31,28.35,29.20,28.35,29.00,345600,29.00
2014-10-30,28.65,28.70,28.45,28.55,199100,28.55
2014-10-29,29.00,29.00,28.55,28.65,251200,28.65
2014-10-28,28.65,29.05,28.35,28.90,481300,28.90
2014-10-27,28.45,28.65,28.25,28.30,212700,28.30
2014-10-24,28.10,28.10,28.10,28.10,000,28.10
2014-10-23,28.10,28.10,28.10,28.10,000,28.10
2014-10-22,27.90,28.60,27.65,28.10,691400,28.10
2014-10-21,27.50,27.75,27.45,27.65,127200,27.65
2014-10-20,27.80,27.80,27.30,27.35,168700,27.35
2014-10-17,27.35,27.80,27.20,27.35,377300,27.35
2014-10-16,27.70,28.00,27.20,27.35,256600,27.35
2014-10-15,27.95,27.95,27.95,27.95,000,27.95
2014-10-14,28.90,28.90,27.75,27.95,355600,27.95
2014-10-13,29.10,29.50,28.40,28.55,1353500,28.55
2014-10-10,28.00,29.15,27.95,28.25,4979500,28.25
2014-10-09,27.45,28.35,27.25,28.15,545600,28.15
2014-10-08,27.50,27.50,27.15,27.20,159500,27.20
2014-10-07,28.00,28.00,27.15,27.40,312700,27.40
2014-10-06,27.65,27.65,27.65,27.65,000,27.65
2014-10-03,27.65,27.65,27.65,27.65,000,27.65
2014-10-02,27.65,27.65,27.65,27.65,000,27.65
2014-10-01,27.90,27.95,27.60,27.65,733100,27.65
2014-09-30,28.40,28.45,27.75,27.85,624200,27.85
2014-09-29,28.40,28.50,28.10,28.35,168600,28.35
2014-09-26,28.05,28.40,28.05,28.30,433800,28.30
2014-09-25,28.65,28.75,28.20,28.25,448000,28.25
2014-09-24,28.75,28.90,28.50,28.60,355600,28.60
2014-09-23,29.15,29.20,28.70,28.75,382800,28.75
2014-09-22,29.20,29.30,29.10,29.15,253100,29.15
2014-09-19,29.35,29.40,29.15,29.25,344200,29.25
2014-09-18,29.05,29.50,29.00,29.20,323900,29.20
2014-09-17,29.15,29.45,29.05,29.15,347900,29.15
2014-09-16,30.00,30.35,29.00,29.10,1368300,29.10
2014-09-15,29.35,30.45,29.10,29.80,1558000,29.80
2014-09-12,29.55,29.60,29.05,29.35,254600,29.35
2014-09-11,29.75,29.95,29.00,29.40,1015800,29.40
2014-09-10,29.50,30.00,29.50,29.60,491200,29.60
2014-09-09,29.55,30.10,29.40,29.65,782500,29.65
2014-09-08,28.90,30.35,28.70,29.65,2092400,29.65
2014-09-05,28.95,28.95,28.60,28.70,491600,28.70
2014-09-04,29.00,29.00,28.65,28.75,398900,28.75
2014-09-03,29.40,29.40,28.85,29.00,548200,29.00
2014-09-02,29.35,29.35,29.05,29.20,230500,29.20
2014-09-01,29.00,29.40,29.00,29.10,232600,29.10
2014-08-29,29.10,29.10,29.10,29.10,000,29.10
2014-08-28,29.80,29.80,29.05,29.10,905100,29.10
2014-08-27,28.75,29.80,28.50,29.40,2017300,29.40
2014-08-26,28.80,28.80,28.30,28.65,1263500,28.65
2014-08-25,28.90,29.05,28.70,28.80,652800,28.80
2014-08-22,29.15,29.15,28.80,28.90,1028400,28.90
2014-08-21,29.00,29.65,28.80,29.25,652600,29.25
2014-08-20,28.90,29.05,28.75,29.00,367900,29.00
2014-08-19,29.00,29.15,28.85,28.90,463400,28.90
2014-08-18,28.90,29.15,28.65,28.90,391900,28.90
2014-08-15,28.70,28.70,28.70,28.70,000,28.70
2014-08-14,28.90,29.30,28.60,28.70,718100,28.70
2014-08-13,29.75,29.80,28.25,28.85,1271600,28.85
2014-08-12,29.95,30.50,29.70,29.95,705300,29.95
2014-08-11,29.90,30.00,29.65,29.70,326800,29.70
2014-08-08,29.95,30.00,29.60,29.70,461200,29.70
2014-08-07,30.65,30.80,30.00,30.15,537500,30.15
2014-08-06,30.65,31.30,30.40,30.55,782800,30.55
2014-08-05,30.70,31.15,30.00,30.85,1019500,30.85
2014-08-04,30.00,30.70,29.80,30.50,1613100,30.50
2014-08-01,29.30,30.35,29.25,29.60,683400,29.60
2014-07-31,29.60,30.00,29.25,29.85,268100,29.85
2014-07-30,29.10,29.75,29.00,29.60,321600,29.60
2014-07-29,29.10,29.10,29.10,29.10,000,29.10
2014-07-28,29.75,29.85,28.95,29.10,574700,29.10
2014-07-25,30.35,30.55,29.75,29.85,652400,29.85
2014-07-24,30.60,30.95,30.20,30.35,843500,30.35
2014-07-23,30.95,31.20,30.45,30.55,2247400,30.55
2014-07-22,31.20,31.20,30.50,30.60,313100,30.60
2014-07-21,31.50,31.75,30.70,30.85,339700,30.85
2014-07-18,31.20,31.50,30.90,31.30,341600,31.30
2014-07-17,31.50,31.90,30.95,31.50,476700,31.50
2014-07-16,30.85,31.45,30.50,30.95,326100,30.95
2014-07-15,30.65,30.80,30.35,30.60,318700,30.60
2014-07-14,30.25,30.60,30.05,30.45,474700,30.45
2014-07-11,30.95,31.35,30.15,30.20,510800,30.20
2014-07-10,30.55,31.75,30.10,30.85,632600,30.85
2014-07-09,31.00,31.35,30.10,30.30,744800,30.30
2014-07-08,31.35,32.30,30.50,30.85,2160900,30.85
2014-07-07,31.95,32.00,30.50,30.80,1018600,30.80
2014-07-04,32.05,32.15,31.40,31.70,593700,31.70
2014-07-03,32.70,32.85,31.80,32.00,292900,32.00
2014-07-02,32.90,33.20,32.55,32.75,955200,32.75
2014-07-01,33.15,33.30,32.35,32.65,763500,32.65
2014-06-30,33.45,33.75,32.10,32.55,1009000,32.55
2014-06-27,33.25,33.75,32.55,33.30,822700,33.30
2014-06-26,32.60,33.90,32.40,33.30,1081100,33.30
2014-06-25,32.50,33.00,32.35,32.50,432300,32.50
2014-06-24,32.50,32.95,32.25,32.70,250800,32.70
2014-06-23,33.20,33.60,32.10,32.25,209000,32.25
2014-06-20,32.95,33.90,32.10,33.00,402000,33.00
2014-06-19,32.40,33.15,31.55,32.85,470000,32.85
2014-06-18,32.60,33.50,32.10,32.30,436100,32.30
2014-06-17,32.55,32.70,31.65,32.25,413200,32.25
2014-06-16,32.20,33.00,31.30,32.30,391300,32.30
2014-06-13,34.35,34.35,32.45,32.55,1050400,32.55
2014-06-12,33.50,35.40,33.50,34.15,1564700,34.15
2014-06-11,35.80,36.40,33.60,33.90,1973400,33.90
2014-06-10,37.00,37.10,34.80,35.55,2413600,35.55
2014-06-09,36.90,38.30,36.40,37.10,4441200,37.10
2014-06-06,34.20,37.40,33.80,36.60,7609500,36.60
