Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,229.00,230.55,222.00,223.00,471500,223.00
2014-12-22,221.30,229.40,219.60,228.45,464200,228.45
2014-12-19,224.45,225.80,219.90,220.85,406000,220.85
2014-12-18,218.60,223.70,217.30,222.40,463200,222.40
2014-12-17,210.05,219.25,205.25,214.80,1068800,214.80
2014-12-16,210.30,213.75,204.15,210.55,1488300,210.55
2014-12-15,213.50,218.00,210.05,212.35,814300,212.35
2014-12-12,222.70,224.15,214.75,215.40,510900,215.40
2014-12-11,224.00,226.60,217.70,221.15,752700,221.15
2014-12-10,217.60,225.90,216.75,224.15,536800,224.15
2014-12-09,227.20,230.80,215.90,217.80,619200,217.80
2014-12-08,227.80,231.35,223.35,227.80,748100,227.80
2014-12-05,227.05,231.95,225.20,227.65,674200,227.65
2014-12-04,221.35,228.10,217.15,226.50,719900,226.50
2014-12-03,221.10,231.50,219.50,222.50,992500,222.50
2014-12-02,215.55,220.30,211.50,219.30,1189900,219.30
2014-12-01,215.45,220.25,212.70,217.65,945000,217.65
2014-11-28,205.95,217.80,205.95,215.10,1143700,215.10
2014-11-27,202.50,206.80,202.30,204.75,303500,204.75
2014-11-26,203.00,206.40,200.15,203.75,588900,203.75
2014-11-25,213.50,213.65,202.60,204.55,502000,204.55
2014-11-24,213.00,215.50,211.70,212.50,490000,212.50
2014-11-21,212.90,216.50,210.15,211.40,597500,211.40
2014-11-20,216.05,218.25,209.15,211.75,587600,211.75
2014-11-19,222.05,224.60,216.00,217.20,408400,217.20
2014-11-18,222.05,225.90,221.25,223.00,501200,223.00
2014-11-17,216.00,222.45,214.50,220.65,515500,220.65
2014-11-14,213.30,219.85,213.30,217.20,377300,217.20
2014-11-13,221.85,223.20,214.00,215.20,414400,215.20
2014-11-12,220.05,223.75,218.25,220.35,528200,220.35
2014-11-11,210.95,219.80,210.15,219.05,620100,219.05
2014-11-10,216.20,216.55,210.35,212.25,416400,212.25
2014-11-07,221.05,221.95,214.10,214.95,454700,214.95
2014-11-06,221.55,221.55,221.55,221.55,000,221.55
2014-11-05,227.00,227.55,220.75,221.55,371600,221.55
2014-11-04,225.50,225.50,225.50,225.50,000,225.50
2014-11-03,227.00,228.70,223.55,225.50,821400,225.50
2014-10-31,226.10,233.25,218.55,225.50,1499100,225.50
2014-10-30,225.40,226.90,221.40,224.20,372300,224.20
2014-10-29,232.00,233.70,223.40,225.25,545900,225.25
2014-10-28,229.00,233.50,229.00,232.00,536100,232.00
2014-10-27,222.00,228.70,220.15,227.60,453700,227.60
2014-10-24,221.45,221.45,221.45,221.45,000,221.45
2014-10-23,221.45,221.45,221.45,221.45,000,221.45
2014-10-22,222.45,224.30,218.50,221.45,316900,221.45
2014-10-21,224.00,226.50,217.75,220.10,456400,220.10
2014-10-20,220.00,225.90,220.00,222.65,542300,222.65
2014-10-17,209.00,219.50,208.70,217.20,748000,217.20
2014-10-16,209.20,215.30,206.10,208.60,454300,208.60
2014-10-15,212.45,212.45,212.45,212.45,000,212.45
2014-10-14,208.55,213.70,206.50,212.45,638200,212.45
2014-10-13,199.00,208.00,198.60,206.40,387500,206.40
2014-10-10,199.50,206.25,197.50,200.85,503800,200.85
2014-10-09,196.10,205.00,196.10,203.70,753900,203.70
2014-10-08,189.40,196.25,187.65,195.25,809400,195.25
2014-10-07,190.40,193.15,188.45,189.55,400600,189.55
2014-10-06,190.60,190.60,190.60,190.60,000,190.60
2014-10-03,190.60,190.60,190.60,190.60,000,190.60
2014-10-02,190.60,190.60,190.60,190.60,000,190.60
2014-10-01,189.30,193.00,185.50,190.60,671900,190.60
2014-09-30,194.30,198.80,187.25,188.60,892200,188.60
2014-09-29,201.10,203.00,193.25,194.25,552800,194.25
2014-09-26,188.75,203.35,182.30,201.05,1009600,201.05
2014-09-25,205.15,205.40,187.10,190.00,946800,190.00
2014-09-24,209.20,211.00,201.40,205.15,594000,205.15
2014-09-23,219.70,219.70,207.90,209.20,390100,209.20
2014-09-22,213.00,220.30,212.05,218.15,327000,218.15
2014-09-19,222.60,224.90,215.00,216.55,392000,216.55
2014-09-18,212.95,223.45,209.45,222.05,552700,222.05
2014-09-17,213.00,214.25,207.40,212.80,533600,212.80
2014-09-16,222.00,225.25,208.10,210.20,744800,210.20
2014-09-15,213.70,223.25,210.70,220.40,695400,220.40
2014-09-12,211.00,215.40,207.10,214.85,551800,214.85
2014-09-11,204.00,210.90,203.50,210.15,866700,210.15
2014-09-10,204.95,205.00,200.60,202.55,510300,202.55
2014-09-09,210.00,210.00,205.00,205.85,300300,205.85
2014-09-08,209.00,211.30,207.00,209.05,461400,209.05
2014-09-05,212.10,215.50,206.20,208.10,519100,208.10
2014-09-04,214.00,215.45,208.80,211.35,324600,211.35
2014-09-03,217.60,217.95,212.80,215.80,426200,215.80
2014-09-02,218.40,219.90,214.75,216.30,451000,216.30
2014-09-01,209.75,218.15,209.50,217.45,457300,217.45
2014-08-29,208.40,208.40,208.40,208.40,000,208.40
2014-08-28,210.75,212.60,202.20,208.40,530500,208.40
2014-08-27,205.70,211.35,204.40,209.10,470800,209.10
2014-08-26,208.00,209.85,200.00,203.85,692600,203.85
2014-08-25,220.80,224.65,210.00,211.50,582400,211.50
2014-08-22,214.40,222.90,214.40,220.65,988900,220.65
2014-08-21,197.70,214.00,197.55,212.75,1541300,212.75
2014-08-20,201.95,202.60,196.80,197.10,253400,197.10
2014-08-19,201.10,204.30,199.60,201.80,378700,201.80
2014-08-18,191.80,199.90,190.75,199.30,336200,199.30
2014-08-15,191.80,191.80,191.80,191.80,000,191.80
2014-08-14,191.10,194.20,186.65,191.80,409300,191.80
2014-08-13,199.50,200.00,188.25,189.70,516600,189.70
2014-08-12,198.00,203.10,195.55,200.45,259100,200.45
2014-08-11,196.00,197.30,194.10,196.25,192400,196.25
2014-08-08,198.30,199.30,192.10,193.25,431600,193.25
2014-08-07,203.00,205.00,200.20,201.55,308900,201.55
2014-08-06,203.50,208.50,201.50,202.40,501400,202.40
2014-08-05,203.00,205.75,199.00,204.90,827100,204.90
2014-08-04,199.90,202.50,196.95,201.15,739500,201.15
2014-08-01,190.00,205.90,185.80,197.30,2593200,197.30
2014-07-31,194.00,194.40,190.60,191.45,180000,191.45
2014-07-30,192.50,194.00,188.20,193.25,311500,193.25
2014-07-29,192.10,192.10,192.10,192.10,000,192.10
2014-07-28,192.10,195.25,191.15,192.10,198500,192.10
2014-07-25,198.00,199.20,190.30,192.55,316800,192.55
2014-07-24,196.95,200.20,194.75,198.55,374400,198.55
2014-07-23,198.30,201.35,194.10,196.50,404300,196.50
2014-07-22,199.90,201.25,192.80,196.80,474800,196.80
2014-07-21,201.00,205.25,197.20,198.20,385700,198.20
2014-07-18,200.80,201.00,195.85,199.40,460900,199.40
2014-07-17,203.50,204.25,199.15,203.15,376200,203.15
2014-07-16,199.20,205.00,198.60,202.70,552400,202.70
2014-07-15,192.05,198.10,191.30,197.40,582400,197.40
2014-07-14,185.50,192.60,181.80,190.45,685300,190.45
2014-07-11,198.00,199.70,185.30,186.80,823900,186.80
2014-07-10,201.00,212.60,189.00,198.70,1727800,198.70
2014-07-09,205.00,211.00,196.85,201.90,749800,201.90
2014-07-08,224.00,224.70,201.70,205.20,703400,205.20
2014-07-07,228.85,229.65,222.30,223.00,351700,223.00
2014-07-04,232.00,232.85,225.20,227.95,539900,227.95
2014-07-03,235.10,236.00,230.20,230.95,132800,230.95
2014-07-02,236.90,240.00,231.60,233.20,445100,233.20
2014-07-01,242.55,244.20,234.00,234.70,619100,234.70
2014-06-30,227.95,242.45,227.95,240.60,679100,240.60
2014-06-27,226.05,231.40,224.40,226.60,301500,226.60
2014-06-26,230.60,233.90,226.20,227.20,393900,227.20
2014-06-25,232.95,232.95,227.85,229.00,234200,229.00
2014-06-24,227.00,233.65,226.50,231.95,443100,231.95
2014-06-23,220.25,227.90,219.65,226.25,509700,226.25
2014-06-20,230.00,230.70,219.10,220.25,470500,220.25
2014-06-19,232.00,234.85,228.10,229.65,451400,229.65
2014-06-18,237.50,240.25,226.40,230.85,735300,229.55
2014-06-17,225.00,237.90,223.20,236.70,566000,235.37
2014-06-16,229.60,231.75,216.20,226.80,858300,225.52
2014-06-13,240.20,242.85,226.50,228.80,709000,227.51
