Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,45.30,46.50,41.85,42.30,77400,42.30
2014-12-22,48.40,48.50,44.15,46.50,37500,46.50
2014-12-19,49.95,49.95,46.15,46.15,16300,46.15
2014-12-18,48.95,48.95,45.50,47.10,13600,47.10
2014-12-17,46.50,47.70,43.00,44.95,63100,44.95
2014-12-16,50.50,50.50,46.50,46.60,41000,46.60
2014-12-15,50.55,51.50,50.10,50.45,19300,50.45
2014-12-12,49.50,52.50,49.50,50.90,41400,50.90
2014-12-11,49.85,51.50,48.35,49.95,29200,49.95
2014-12-10,52.35,53.00,48.00,49.75,192400,49.75
2014-12-09,50.00,52.00,50.00,50.55,145600,50.55
2014-12-08,49.00,50.00,47.95,49.00,149000,49.00
2014-12-05,42.00,46.60,42.00,45.50,143600,45.50
2014-12-04,41.60,42.50,41.60,42.40,134200,42.40
2014-12-03,41.30,42.70,41.20,42.45,66300,42.45
2014-12-02,42.00,42.90,40.70,41.20,17900,41.20
2014-12-01,44.50,44.50,40.50,41.95,110200,41.95
2014-11-28,41.80,42.95,40.00,42.55,109200,42.55
2014-11-27,42.00,43.40,40.90,40.95,37600,40.95
2014-11-26,44.00,44.50,42.50,43.05,330000,43.05
2014-11-25,43.00,44.00,41.25,43.90,164900,43.90
2014-11-24,41.85,42.15,40.50,41.95,750700,41.95
2014-11-21,39.00,41.45,37.60,40.15,160500,40.15
2014-11-20,40.00,41.00,39.00,39.50,37200,39.50
2014-11-19,40.75,41.15,39.00,40.75,74800,40.75
2014-11-18,38.95,41.05,37.65,39.95,151400,39.95
2014-11-17,38.75,39.10,38.50,39.10,140300,39.10
2014-11-14,34.50,37.30,34.00,37.25,189700,37.25
2014-11-13,34.50,36.80,31.50,33.95,106400,33.95
2014-11-12,33.85,33.85,32.10,33.85,296800,33.85
2014-11-11,28.50,30.80,28.50,30.80,28900,30.80
2014-11-10,26.70,28.70,26.70,28.00,7400,28.00
2014-11-07,27.30,28.80,27.15,27.60,6100,27.60
2014-11-06,27.90,27.90,27.90,27.90,000,27.90
2014-11-05,28.85,28.85,27.70,27.90,52500,27.90
2014-11-04,27.70,27.70,27.70,27.70,000,27.70
