Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,121.00,123.05,119.25,120.00,268900,120.00
2014-12-22,115.30,126.80,115.30,121.50,639600,121.50
2014-12-19,135.00,135.25,107.85,113.90,463300,113.90
2014-12-18,135.90,137.70,134.00,134.80,95500,134.80
2014-12-17,139.05,140.70,134.70,135.50,483600,135.50
2014-12-16,138.35,140.50,131.00,139.30,505200,139.30
2014-12-15,136.00,141.85,135.25,138.40,754600,138.40
2014-12-12,138.30,140.65,137.95,138.20,408800,138.20
2014-12-11,139.00,142.40,138.00,138.75,422300,138.75
2014-12-10,143.00,143.90,137.65,138.00,224100,138.00
2014-12-09,142.85,143.60,141.55,142.95,437500,142.95
2014-12-08,142.00,145.50,141.60,143.55,228700,143.55
2014-12-05,143.90,145.00,140.00,141.20,446100,141.20
2014-12-04,144.90,147.80,140.00,143.35,174400,143.35
2014-12-03,142.50,146.30,142.25,143.65,246300,143.65
2014-12-02,145.75,145.75,141.00,142.00,233600,142.00
2014-12-01,140.00,154.00,139.90,145.25,856400,145.25
2014-11-28,134.10,144.95,134.10,139.05,617200,139.05
2014-11-27,129.60,134.50,129.60,133.40,748400,133.40
2014-11-26,129.05,130.90,128.55,129.30,67900,129.30
2014-11-25,133.00,134.00,128.20,130.85,1337100,130.85
2014-11-24,134.15,134.80,130.75,132.80,57200,132.80
2014-11-21,132.00,134.30,131.30,133.30,100700,133.30
2014-11-20,133.40,134.55,132.40,133.30,206600,133.30
2014-11-19,136.50,137.65,132.80,133.40,153200,133.40
2014-11-18,135.00,136.90,132.50,135.70,639000,135.70
2014-11-17,136.00,137.50,134.70,135.30,95400,135.30
2014-11-14,133.30,139.90,133.30,135.55,589400,135.55
2014-11-13,134.40,135.80,132.05,132.85,302400,132.85
2014-11-12,127.75,134.45,127.75,133.25,271700,133.25
2014-11-11,125.45,128.70,125.40,126.65,611700,126.65
2014-11-10,123.90,125.50,123.30,124.70,84900,124.70
2014-11-07,123.60,124.60,122.00,123.60,88000,123.60
2014-11-06,123.75,123.75,123.75,123.75,000,123.75
2014-11-05,125.40,125.90,122.65,123.75,152400,123.75
2014-11-04,125.55,125.55,125.55,125.55,000,125.55
2014-11-03,127.40,127.90,125.00,125.55,43700,125.55
2014-10-31,128.40,128.70,126.50,127.10,42600,127.10
2014-10-30,128.05,128.50,126.30,127.55,69100,127.55
2014-10-29,127.80,128.90,127.25,128.25,197100,128.25
