Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,19.50,19.50,19.20,19.25,700,19.25
2014-12-22,19.00,19.00,19.00,19.00,000,19.00
2014-12-19,19.00,19.00,19.00,19.00,000,19.00
2014-12-18,19.00,19.00,19.00,19.00,000,19.00
2014-12-17,19.00,19.00,19.00,19.00,000,19.00
2014-12-16,19.00,19.00,19.00,19.00,000,19.00
2014-12-15,20.00,20.00,20.00,20.00,000,20.00
2014-12-12,22.70,22.70,20.00,20.00,500,20.00
2014-12-11,23.00,23.00,20.50,21.80,2200,21.80
2014-12-10,17.45,21.10,17.45,20.95,500,20.95
2014-12-09,21.75,21.75,18.40,19.20,500,19.20
2014-12-08,20.40,20.40,20.00,20.40,500,20.40
2014-12-05,17.65,20.75,17.65,20.75,100,20.75
2014-12-04,18.95,18.95,18.95,18.95,000,18.95
2014-12-03,18.95,18.95,18.95,18.95,000,18.95
2014-12-02,18.95,18.95,18.95,18.95,000,18.95
2014-12-01,17.90,20.00,17.90,18.95,100,18.95
2014-11-28,22.55,22.55,19.50,19.80,600,19.80
2014-11-27,21.65,21.65,21.65,21.65,000,21.65
2014-11-26,21.65,21.65,21.65,21.65,000,21.65
2014-11-25,17.85,21.75,17.85,21.65,300,21.65
2014-11-24,20.35,21.10,19.80,19.80,2900,19.80
2014-11-21,19.95,22.00,19.95,21.95,200,21.95
2014-11-20,24.15,24.15,21.00,21.80,000,21.80
2014-11-19,22.90,22.95,22.00,22.00,200,22.00
2014-11-18,21.15,21.15,20.90,20.90,000,20.90
2014-11-17,21.70,21.70,19.10,19.25,500,19.25
2014-11-14,22.00,22.00,20.00,20.00,100,20.00
2014-11-13,22.20,22.25,20.00,22.20,1500,22.20
2014-11-12,21.00,21.10,20.25,20.25,300,20.25
2014-11-11,22.75,22.75,19.85,22.15,600,22.15
2014-11-10,20.00,22.00,20.00,21.90,000,21.90
2014-11-07,22.70,22.70,21.05,21.05,000,21.05
2014-11-06,21.95,21.95,21.95,21.95,000,21.95
2014-11-05,22.00,22.00,20.15,21.95,2400,21.95
2014-11-04,21.20,21.20,21.20,21.20,000,21.20
2014-11-03,22.70,22.70,21.20,21.20,000,21.20
2014-10-31,22.30,22.30,20.20,22.30,100,22.30
2014-10-30,21.25,21.25,21.25,21.25,000,21.25
2014-10-29,21.25,21.25,21.25,21.25,000,21.25
2014-10-28,22.75,22.75,22.20,22.20,100,22.20
2014-10-27,23.35,23.35,23.35,23.35,000,23.35
2014-10-24,21.20,21.20,21.20,21.20,000,21.20
2014-10-23,21.20,21.20,21.20,21.20,000,21.20
2014-10-22,21.00,22.40,20.90,21.20,600,21.20
2014-10-21,22.20,22.50,20.70,20.75,700,20.75
2014-10-20,19.65,21.60,19.65,21.60,000,21.60
2014-10-17,20.65,20.65,20.65,20.65,000,20.65
2014-10-16,17.95,19.70,17.95,19.70,1400,19.70
2014-10-15,18.85,18.85,18.85,18.85,000,18.85
2014-10-14,17.50,18.90,17.50,18.85,1500,18.85
2014-10-13,19.00,19.00,17.95,18.00,1500,18.00
2014-10-10,18.85,18.85,18.85,18.85,200,18.85
2014-10-09,21.00,21.00,19.80,19.80,000,19.80
2014-10-08,20.95,20.95,19.00,20.75,200,20.75
