Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,43.00,45.30,40.25,42.55,12600,42.55
2014-12-22,46.30,46.95,41.50,43.05,32500,43.05
2014-12-19,41.70,46.05,41.70,45.90,47500,45.90
2014-12-18,37.55,44.05,37.55,43.50,21600,43.50
2014-12-17,38.95,40.45,34.50,37.50,25400,37.50
2014-12-16,38.10,38.10,34.30,35.85,10800,35.85
2014-12-15,39.50,39.50,37.75,37.85,700,37.85
2014-12-12,38.00,42.00,37.70,40.35,4600,40.35
2014-12-11,40.00,40.35,39.00,39.90,500,39.90
2014-12-10,39.00,45.00,38.85,40.85,2200,40.85
2014-12-09,40.20,41.10,38.35,39.25,2000,39.25
2014-12-08,44.00,44.00,41.20,41.70,8800,41.70
2014-12-05,41.60,43.35,41.00,42.20,25200,42.20
2014-12-04,36.35,41.90,35.05,40.95,44200,40.95
2014-12-03,34.50,36.90,34.50,34.95,1900,34.95
2014-12-02,34.50,34.80,33.00,33.55,5700,33.55
2014-12-01,35.40,35.40,34.20,35.35,1700,35.35
2014-11-28,36.00,37.70,35.55,37.70,6200,37.70
2014-11-27,38.50,38.50,36.00,36.35,1500,36.35
2014-11-26,35.85,35.85,35.85,35.85,000,35.85
2014-11-25,38.00,38.00,35.85,35.85,400,35.85
2014-11-24,36.05,39.20,36.05,36.80,1400,36.80
2014-11-21,38.00,38.50,38.00,38.00,900,38.00
2014-11-20,38.30,38.50,37.40,38.20,800,38.20
2014-11-19,40.00,41.20,38.50,38.50,7800,38.50
2014-11-18,38.00,42.00,38.00,38.00,2500,38.00
2014-11-17,45.10,45.10,37.00,37.55,2600,37.55
2014-11-14,36.30,38.50,36.30,37.65,2100,37.65
2014-11-13,43.00,43.00,37.65,38.50,200,38.50
2014-11-12,43.80,43.80,39.25,39.35,400,39.35
2014-11-11,41.70,41.70,38.00,40.00,7200,40.00
2014-11-10,41.95,41.95,37.25,40.20,600,40.20
2014-11-07,37.50,39.85,37.50,38.30,600,38.30
2014-11-06,39.20,39.20,39.20,39.20,000,39.20
2014-11-05,40.00,41.95,38.10,39.20,2600,39.20
2014-11-04,37.20,37.20,37.20,37.20,000,37.20
2014-11-03,39.85,39.85,36.35,37.20,500,37.20
2014-10-31,37.50,39.70,37.50,37.80,300,37.80
2014-10-30,42.00,42.00,37.80,39.70,10100,39.70
2014-10-29,39.90,40.00,37.25,37.55,700,37.55
2014-10-28,37.55,40.35,37.55,40.25,000,40.25
2014-10-27,37.55,39.45,37.55,38.50,1200,38.50
2014-10-24,36.65,36.65,36.65,36.65,000,36.65
2014-10-23,36.65,36.65,36.65,36.65,000,36.65
2014-10-22,35.55,37.05,35.45,36.65,400,36.65
2014-10-21,40.00,40.00,40.00,40.00,000,40.00
2014-10-20,37.15,40.00,37.15,40.00,100,40.00
2014-10-17,36.80,40.70,36.80,39.85,15900,39.85
2014-10-16,37.50,39.90,37.50,38.40,4900,38.40
2014-10-15,40.00,40.00,40.00,40.00,000,40.00
2014-10-14,37.00,45.00,37.00,40.00,5100,40.00
2014-10-13,42.00,42.00,38.05,39.80,3000,39.80
2014-10-10,38.00,40.25,37.55,40.05,5000,40.05
2014-10-09,38.50,40.75,36.50,39.30,12400,39.30
2014-10-08,38.00,38.00,34.00,35.45,3400,35.45
2014-10-07,36.50,36.70,33.55,34.80,600,34.80
2014-10-06,37.25,37.25,37.25,37.25,000,37.25
2014-10-03,37.25,37.25,37.25,37.25,000,37.25
2014-10-02,37.25,37.25,37.25,37.25,000,37.25
2014-10-01,34.00,37.25,34.00,37.25,000,37.25
2014-09-30,34.75,34.75,34.65,34.65,100,34.65
2014-09-29,38.50,38.50,34.75,35.10,8100,35.10
2014-09-26,36.40,36.40,34.00,34.95,1300,34.95
2014-09-25,34.15,35.50,34.10,35.50,800,35.50
2014-09-24,35.95,35.95,33.90,33.95,500,33.95
2014-09-23,40.60,40.95,36.40,36.55,4100,36.55
2014-09-22,39.95,41.50,38.25,38.55,3600,38.55
2014-09-19,44.00,44.00,39.00,39.15,4900,38.15
2014-09-18,41.60,44.75,37.70,38.30,2400,37.32
2014-09-17,38.70,40.00,34.00,38.15,10900,37.18
2014-09-16,39.95,41.00,34.45,34.70,5100,33.81
2014-09-15,33.00,40.50,33.00,38.85,5300,37.86
2014-09-12,37.70,39.70,37.20,38.90,12500,37.91
2014-09-11,34.50,39.55,34.50,37.70,10600,36.74
2014-09-10,33.65,36.45,33.65,34.95,800,34.06
2014-09-09,33.55,33.55,33.55,33.55,200,32.69
2014-09-08,35.00,35.00,33.30,34.50,2000,33.62
2014-09-05,34.00,34.00,34.00,34.00,300,33.13
2014-09-04,33.50,33.50,33.50,33.50,000,32.64
2014-09-03,34.00,34.35,33.05,33.50,2400,32.64
2014-09-02,33.60,37.85,33.35,33.65,8200,32.79
2014-09-01,33.65,36.00,32.70,33.75,900,32.89
2014-08-29,35.60,35.60,35.60,35.60,000,34.69
2014-08-28,34.60,35.80,34.60,35.60,500,34.69
2014-08-27,34.80,38.40,34.80,35.45,1900,34.54
2014-08-26,33.00,34.80,33.00,34.80,200,33.91
2014-08-25,35.00,35.00,34.10,34.20,300,33.33
2014-08-22,34.55,35.65,34.30,34.65,300,33.76
2014-08-21,37.00,37.00,34.30,35.15,1700,34.25
2014-08-20,34.80,36.95,34.60,36.00,3500,35.08
2014-08-19,33.80,37.00,33.70,36.45,100,35.52
2014-08-18,30.50,38.00,30.50,35.50,800,34.59
2014-08-15,33.95,33.95,33.95,33.95,000,33.08
2014-08-14,33.05,35.75,32.70,33.95,2400,33.08
2014-08-13,35.00,35.00,35.00,35.00,100,34.11
2014-08-12,37.00,37.00,34.00,35.40,3300,34.50
2014-08-11,32.20,35.85,32.20,34.40,300,33.52
2014-08-08,34.95,34.95,34.10,34.25,200,33.38
2014-08-07,34.60,35.75,34.30,34.30,900,33.42
2014-08-06,35.00,36.50,35.00,36.50,000,35.57
2014-08-05,42.40,42.40,34.15,35.65,4000,34.74
2014-08-04,39.80,39.80,35.10,37.20,700,36.25
2014-08-01,36.95,36.95,33.40,33.55,500,32.69
2014-07-31,38.10,38.10,34.60,35.00,800,34.11
2014-07-30,38.60,38.60,34.15,34.80,600,33.91
2014-07-29,35.55,35.55,35.55,35.55,000,34.64
2014-07-28,39.00,39.00,35.00,35.55,500,34.64
2014-07-25,38.80,38.80,35.00,36.50,1600,35.57
2014-07-24,37.90,37.90,35.50,36.05,6700,35.13
2014-07-23,38.45,38.45,35.00,37.55,6500,36.59
2014-07-22,38.00,38.00,35.60,36.50,6600,35.57
2014-07-21,36.00,37.10,36.00,37.10,11200,36.15
2014-07-18,40.95,40.95,36.00,36.85,11000,35.91
2014-07-17,34.00,37.85,34.00,37.85,13900,36.88
2014-07-16,37.00,37.00,33.35,34.45,8100,33.57
2014-07-15,37.00,37.00,32.00,33.70,2200,32.84
2014-07-14,34.95,34.95,34.40,34.50,400,33.62
2014-07-11,33.00,34.95,32.55,34.60,600,33.72
2014-07-10,35.55,35.55,30.80,32.60,1100,31.77
2014-07-09,32.30,34.90,31.70,33.00,3400,32.16
