Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,10.00,10.39,10.00,10.39,400,10.39
2014-12-22,9.11,10.50,9.11,10.30,8900,10.30
2014-12-19,11.00,11.00,10.50,10.56,7100,10.56
2014-12-18,10.45,11.68,10.45,10.55,5100,10.55
2014-12-17,10.88,10.88,10.88,10.88,000,10.88
2014-12-16,10.50,11.50,10.30,10.88,8000,10.88
2014-12-15,10.64,11.74,10.40,11.01,42600,11.01
2014-12-12,10.00,10.85,10.00,10.64,23700,10.64
2014-12-11,10.99,10.99,9.50,10.16,6300,10.16
2014-12-10,10.10,10.15,10.10,10.13,8200,10.13
2014-12-09,10.50,10.50,10.00,10.39,9100,10.39
2014-12-08,11.98,11.98,9.71,10.50,21200,10.50
2014-12-05,9.70,12.00,9.70,10.88,17200,10.88
2014-12-04,10.11,12.46,10.11,11.43,6500,11.43
2014-12-03,12.81,12.81,10.78,10.91,4900,10.91
2014-12-02,12.00,12.25,11.21,11.22,13500,11.22
2014-12-01,11.05,12.15,11.00,12.01,1400,12.01
2014-11-28,9.55,12.00,9.55,11.58,12700,11.58
2014-11-27,10.99,11.49,10.73,11.00,14200,11.00
2014-11-26,12.00,12.00,10.83,11.02,37500,11.02
2014-11-25,12.74,12.75,11.00,11.94,10200,11.94
2014-11-24,10.75,12.75,9.75,11.87,59500,11.87
2014-11-21,12.00,12.00,10.50,10.72,4400,10.72
2014-11-20,11.30,11.83,10.60,11.81,500,11.81
2014-11-19,10.76,11.99,10.76,11.25,15700,11.25
2014-11-18,12.00,12.40,12.00,12.00,16800,12.00
2014-11-17,12.00,12.75,12.00,12.50,42100,12.50
2014-11-14,13.25,13.43,12.65,12.68,28100,12.68
2014-11-13,14.00,14.30,12.01,13.30,58200,13.30
2014-11-12,11.70,13.06,10.20,13.06,165000,13.06
2014-11-11,10.50,11.00,10.50,10.89,5100,10.89
2014-11-10,10.27,10.90,10.26,10.90,12100,10.90
2014-11-07,10.01,10.95,10.01,10.72,6800,10.72
2014-11-06,10.60,10.60,10.60,10.60,000,10.60
2014-11-05,11.50,11.50,10.15,10.60,17100,10.60
2014-11-04,10.70,10.70,10.70,10.70,000,10.70
2014-11-03,10.00,10.85,10.00,10.70,8700,10.70
2014-10-31,10.85,10.85,10.30,10.50,5500,10.50
2014-10-30,10.02,10.75,10.00,10.52,29800,10.52
2014-10-29,10.10,10.15,9.90,10.10,10200,10.10
2014-10-28,10.40,11.34,10.05,10.05,5800,10.05
2014-10-27,10.90,10.90,10.90,10.90,000,10.90
2014-10-24,10.90,10.90,10.90,10.90,000,10.90
2014-10-23,10.90,10.90,10.90,10.90,000,10.90
2014-10-22,10.05,10.90,10.05,10.90,5200,10.90
2014-10-21,10.20,10.50,10.00,10.00,19500,10.00
2014-10-20,10.05,10.05,10.05,10.05,200,10.05
2014-10-17,10.90,10.90,9.80,10.05,11800,10.05
2014-10-16,11.75,11.78,10.00,10.14,9000,10.14
2014-10-15,10.71,10.71,10.71,10.71,000,10.71
2014-10-14,10.60,10.71,10.20,10.71,15800,10.71
2014-10-13,9.30,10.50,9.30,9.74,12900,9.74
2014-10-10,10.90,10.90,9.77,9.78,12200,9.78
2014-10-09,11.70,11.70,10.85,10.85,3000,10.85
2014-10-08,11.00,11.45,10.50,11.00,3500,11.00
2014-10-07,12.20,12.20,11.25,11.25,9400,11.25
2014-10-06,11.85,11.85,11.85,11.85,000,11.85
2014-10-03,11.85,11.85,11.85,11.85,000,11.85
2014-10-02,11.85,11.85,11.85,11.85,000,11.85
2014-10-01,11.92,11.92,11.10,11.85,8900,11.85
2014-09-30,10.80,11.37,10.60,11.36,13200,11.36
2014-09-29,10.35,10.83,10.35,10.83,12700,10.83
2014-09-26,10.90,10.90,9.95,10.32,16900,10.32
2014-09-25,10.30,10.65,10.30,10.40,14500,10.40
