Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,57.50,57.50,50.00,51.00,1800,51.00
2014-12-22,51.15,58.85,51.05,56.00,1400,56.00
2014-12-19,55.30,58.65,55.30,58.00,400,58.00
2014-12-18,55.05,55.05,55.05,55.05,000,55.05
2014-12-17,53.40,58.50,53.40,55.05,1000,55.05
2014-12-16,55.50,58.40,55.50,55.55,200,55.55
2014-12-15,61.00,61.00,58.00,58.15,700,58.15
2014-12-12,61.80,61.90,59.00,61.85,300,61.85
2014-12-11,62.00,62.00,59.25,60.00,1300,60.00
2014-12-10,64.00,64.75,62.00,62.20,2700,62.20
2014-12-09,62.45,65.00,62.00,63.90,3600,63.90
2014-12-08,63.00,65.00,58.40,65.00,900,65.00
2014-12-05,65.00,67.00,64.50,64.75,4700,64.75
2014-12-04,63.00,66.70,62.05,65.85,3400,65.85
2014-12-03,61.05,67.00,60.25,65.10,9600,65.10
2014-12-02,64.45,64.45,58.60,60.90,2900,60.90
2014-12-01,74.80,74.80,58.15,60.30,7900,60.30
2014-11-28,61.70,69.30,61.70,64.20,14300,64.20
2014-11-27,64.00,66.70,58.00,59.35,25200,59.35
2014-11-26,53.75,62.70,53.75,62.70,40900,62.70
2014-11-25,52.95,52.95,50.00,52.25,3200,52.25
2014-11-24,50.00,50.00,50.00,50.00,000,50.00
2014-11-21,50.00,50.00,50.00,50.00,2000,50.00
2014-11-20,48.80,53.00,47.35,51.70,2000,51.70
2014-11-19,47.25,50.00,47.00,49.90,4100,49.90
2014-11-18,47.00,52.00,47.00,50.00,800,50.00
2014-11-17,49.05,49.05,49.05,49.05,000,49.05
2014-11-14,50.00,50.10,49.00,49.05,600,49.05
2014-11-13,50.00,50.00,49.50,49.85,2200,49.85
2014-11-12,51.00,52.50,50.00,51.95,1200,51.95
2014-11-11,52.00,52.00,50.50,51.60,1300,51.60
2014-11-10,49.00,51.70,49.00,51.70,3500,51.70
2014-11-07,49.50,49.50,49.50,49.50,000,49.50
