Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,16.00,16.00,16.00,16.00,000,16.00
2014-12-22,15.20,15.20,15.20,16.00,000,16.00
2014-12-19,16.00,16.00,16.00,16.00,000,16.00
2014-12-18,16.00,16.00,16.00,16.00,000,16.00
2014-12-17,16.00,16.00,16.00,16.00,000,16.00
2014-12-16,16.00,16.00,16.00,16.00,000,16.00
2014-12-15,16.00,16.00,16.00,16.00,000,16.00
2014-12-12,15.15,15.15,15.15,15.90,000,15.90
2014-12-11,15.90,15.90,15.90,15.90,000,15.90
2014-12-10,15.90,15.90,15.90,15.90,000,15.90
2014-12-09,16.30,16.30,16.30,16.30,3200,16.30
2014-12-08,17.15,17.15,17.15,17.15,6600,17.15
2014-12-05,18.05,18.05,18.05,18.05,9000,18.05
2014-12-04,19.00,19.00,19.00,19.00,6500,19.00
2014-12-03,19.95,19.95,19.95,19.95,000,19.95
2014-12-02,21.00,21.00,21.00,21.00,000,21.00
2014-12-01,20.20,20.20,20.20,20.20,000,20.20
2014-11-28,19.25,19.25,19.25,19.25,000,19.25
2014-11-27,17.60,17.60,17.60,17.60,000,17.60
2014-11-26,16.00,16.00,16.00,16.00,000,16.00
2014-11-25,14.55,14.55,14.55,14.55,000,14.55
2014-11-24,14.55,14.55,13.10,14.55,1600,14.55
2014-11-21,16.50,16.50,14.55,14.55,1000,14.55
2014-11-20,17.65,17.65,15.90,15.90,1600,15.90
2014-11-19,17.65,17.65,17.65,17.65,1000,17.65
2014-11-18,16.90,16.90,16.90,16.90,000,16.90
2014-11-17,14.45,16.90,14.45,16.90,100,16.90
2014-11-14,15.95,15.95,15.95,15.95,000,15.95
2014-11-13,15.95,15.95,15.95,15.95,300,15.95
2014-11-12,15.05,16.25,15.05,15.60,600,15.60
2014-11-11,18.55,18.55,16.70,16.70,3000,16.70
2014-11-10,18.55,18.55,18.55,18.55,000,18.55
2014-11-07,19.50,19.50,19.50,19.50,000,19.50
2014-11-06,19.50,19.50,19.50,19.50,000,19.50
2014-11-05,19.50,19.50,19.50,19.50,000,19.50
