Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,40.95,40.95,35.15,36.05,000,36.05
2014-12-22,35.00,41.30,32.60,41.30,000,41.30
2014-12-19,35.00,39.00,31.00,35.25,300,35.25
2014-12-18,34.05,34.05,34.00,34.00,200,34.00
2014-12-17,34.00,34.00,34.00,34.00,100,34.00
2014-12-16,33.05,33.05,33.05,33.05,000,33.05
2014-12-15,34.15,34.15,34.15,34.15,000,34.15
2014-12-12,34.15,34.15,34.15,34.15,000,34.15
2014-12-11,35.35,39.50,35.30,37.40,2900,37.40
2014-12-10,36.00,41.00,35.15,39.95,25200,39.95
2014-12-09,32.10,42.35,32.10,35.55,000,35.55
2014-12-08,33.55,39.70,33.55,39.70,000,39.70
2014-12-05,30.60,40.40,30.60,40.40,100,40.40
2014-12-04,34.05,34.30,34.05,34.30,000,34.30
2014-12-03,34.30,34.30,34.25,34.25,000,34.25
2014-12-02,33.85,37.95,33.85,37.95,000,37.95
2014-12-01,34.80,34.80,34.80,34.80,000,34.80
2014-11-28,34.70,34.80,34.70,34.80,100,34.80
2014-11-27,37.20,37.20,37.20,37.20,000,37.20
2014-11-26,35.95,37.20,35.15,37.20,18200,37.20
2014-11-25,33.10,33.90,33.10,33.85,100,33.85
2014-11-24,32.25,35.00,32.25,32.75,000,32.75
2014-11-21,33.15,35.25,33.15,35.25,500,35.25
2014-11-20,33.15,33.50,33.15,33.15,000,33.15
2014-11-19,32.70,37.00,32.70,34.00,000,34.00
2014-11-18,33.65,37.45,33.65,34.05,1000,34.05
2014-11-17,33.05,38.00,33.05,36.00,400,36.00
2014-11-14,34.65,34.65,34.65,34.65,000,34.65
2014-11-13,35.05,35.05,34.25,34.65,000,34.65
2014-11-12,36.00,36.00,35.90,35.95,000,35.95
2014-11-11,34.50,34.50,32.75,32.75,100,32.75
2014-11-10,30.55,31.40,30.55,31.40,000,31.40
2014-11-07,32.00,32.10,32.00,32.10,000,32.10
2014-11-06,32.65,32.65,32.65,32.65,000,32.65
2014-11-05,30.25,32.65,30.25,32.65,000,32.65
2014-11-04,31.10,31.10,31.10,31.10,000,31.10
2014-11-03,31.00,32.55,31.00,31.10,100,31.10
2014-10-31,29.60,31.00,29.60,31.00,000,31.00
2014-10-30,28.30,31.10,28.30,31.10,100,31.10
2014-10-29,29.65,29.65,29.65,29.65,000,29.65
2014-10-28,29.25,32.20,29.25,30.20,800,30.20
2014-10-27,30.70,30.70,30.70,30.70,600,30.70
2014-10-24,29.25,29.25,29.25,29.25,000,29.25
2014-10-23,29.25,29.25,29.25,29.25,000,29.25
2014-10-22,28.20,29.25,28.20,29.25,1000,29.25
