Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,15.50,16.35,15.25,15.25,3900,15.25
2014-12-22,19.10,19.10,16.10,16.45,14900,16.45
2014-12-19,17.35,17.45,15.20,17.45,763400,17.45
2014-12-18,15.25,16.50,14.30,15.90,4200,15.90
2014-12-17,13.75,15.65,13.75,15.25,10100,15.25
2014-12-16,15.20,15.20,15.20,15.20,1700,15.20
2014-12-15,14.00,15.90,13.60,14.70,2700,14.70
2014-12-12,15.85,15.85,14.30,14.55,3600,14.55
2014-12-11,14.50,14.50,14.50,14.50,1000,14.50
2014-12-10,14.95,14.95,13.75,14.95,1000,14.95
2014-12-09,15.50,15.50,14.20,14.90,100,14.90
2014-12-08,14.30,14.80,14.20,14.20,1400,14.20
2014-12-05,16.70,16.70,14.00,15.90,100,15.90
2014-12-04,14.90,15.30,14.90,15.30,800,15.30
2014-12-03,15.05,15.05,14.25,15.00,400,15.00
2014-12-02,15.50,15.50,14.35,14.35,1000,14.35
2014-12-01,15.75,15.75,14.60,15.00,1100,15.00
2014-11-28,15.00,15.00,15.00,15.00,8000,15.00
2014-11-27,15.50,15.50,15.50,15.50,000,15.50
2014-11-26,15.10,16.00,15.10,15.45,3900,15.45
2014-11-25,16.20,16.20,14.70,15.60,8100,15.60
2014-11-24,15.00,15.45,15.00,15.45,2300,15.45
2014-11-21,14.80,14.90,14.00,14.75,4300,14.75
2014-11-20,14.95,15.20,13.90,14.20,5500,14.20
2014-11-19,14.00,15.25,13.90,14.50,4600,14.50
2014-11-18,15.50,15.50,14.50,14.55,3500,14.55
2014-11-17,15.20,15.50,15.20,15.20,5900,15.20
2014-11-14,16.00,16.80,15.75,16.00,2000,16.00
2014-11-13,17.00,17.00,16.55,16.55,200,16.55
2014-11-12,16.30,17.00,16.30,17.00,1200,17.00
2014-11-11,16.35,17.00,16.35,16.65,5100,16.65
2014-11-10,16.95,16.95,16.85,16.90,500,16.90
2014-11-07,16.95,16.95,16.50,16.90,3400,16.90
2014-11-06,17.00,17.00,17.00,17.00,000,17.00
2014-11-05,16.15,17.00,16.15,17.00,4900,17.00
2014-11-04,16.25,16.25,16.25,16.25,000,16.25
2014-11-03,15.80,16.25,15.20,16.25,9700,16.25
2014-10-31,15.70,16.95,15.68,15.77,17500,15.77
2014-10-30,17.25,17.25,16.43,16.50,7700,16.50
2014-10-29,17.29,17.30,17.29,17.29,4600,17.29
2014-10-28,18.30,19.60,18.20,18.20,3800,18.20
2014-10-27,19.10,20.85,19.00,19.15,2600,19.15
2014-10-24,19.20,19.20,19.20,19.20,000,19.20
2014-10-23,19.20,19.20,19.20,19.20,000,19.20
2014-10-22,20.20,20.20,18.52,19.20,4200,19.20
2014-10-21,18.85,19.53,18.85,19.25,4300,19.25
2014-10-20,18.35,18.60,18.32,18.60,3000,18.60
2014-10-17,19.95,20.30,19.18,19.28,14200,19.28
2014-10-16,20.27,21.00,20.18,20.18,8400,20.18
2014-10-15,21.24,21.24,21.24,21.24,000,21.24
2014-10-14,23.06,23.06,20.88,21.24,97700,21.24
2014-10-13,21.97,21.97,21.97,21.97,11700,21.97
2014-10-10,20.93,20.93,19.65,20.93,62400,20.93
2014-10-09,17.20,19.03,17.20,19.03,26000,19.03
2014-10-08,17.30,17.30,16.25,17.30,12900,17.30
2014-10-07,15.73,15.73,15.73,15.73,6200,15.73
2014-10-06,14.99,14.99,14.99,14.99,000,14.99
2014-10-03,14.99,14.99,14.99,14.99,000,14.99
2014-10-02,14.99,14.99,14.99,14.99,000,14.99
2014-10-01,14.99,14.99,14.00,14.99,13300,14.99
2014-09-30,14.28,14.28,14.28,14.28,3200,14.28
2014-09-29,13.00,13.60,13.00,13.60,2300,13.60
2014-09-26,13.00,13.04,12.97,13.04,12500,13.04
2014-09-25,14.50,14.50,13.65,13.65,5000,13.65
2014-09-24,15.80,15.80,14.34,14.36,5000,14.36
