Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,225.00,230.00,201.25,227.25,900,227.25
2014-12-22,195.00,216.00,193.50,212.00,100,212.00
2014-12-19,183.00,205.00,183.00,203.05,100,203.05
2014-12-18,193.10,204.00,193.10,199.25,200,199.25
2014-12-17,186.00,212.00,185.05,205.00,000,205.00
2014-12-16,187.15,215.00,187.15,193.45,400,193.45
2014-12-15,201.00,218.00,194.00,206.90,400,206.90
2014-12-12,213.00,213.00,210.00,210.00,100,210.00
2014-12-11,200.00,225.00,195.05,203.20,400,203.20
2014-12-10,216.25,216.25,216.25,216.25,000,216.25
2014-12-09,216.25,216.25,216.25,216.25,000,216.25
2014-12-08,212.00,216.80,196.00,216.25,000,216.25
2014-12-05,210.15,228.00,210.15,212.00,200,212.00
2014-12-04,218.00,220.50,210.05,220.50,400,220.50
2014-12-03,198.00,210.00,198.00,210.00,000,210.00
2014-12-02,205.10,208.00,205.10,206.55,300,206.55
2014-12-01,205.00,215.00,205.00,215.00,100,215.00
2014-11-28,205.00,214.70,205.00,205.00,000,205.00
2014-11-27,214.00,214.00,212.00,213.50,100,213.50
2014-11-26,226.00,227.80,214.00,223.00,000,223.00
2014-11-25,210.00,219.85,210.00,219.80,000,219.80
2014-11-24,213.10,233.90,213.10,220.80,100,220.80
2014-11-21,232.50,232.50,214.00,224.00,200,224.00
2014-11-20,201.00,221.85,201.00,221.45,900,221.45
2014-11-19,189.85,203.50,189.85,201.70,800,201.70
2014-11-18,193.00,193.00,185.00,185.00,100,185.00
2014-11-17,183.00,188.00,183.00,184.95,100,184.95
2014-11-14,182.80,182.80,182.80,182.80,000,182.80
2014-11-13,191.95,191.95,170.50,170.95,500,170.95
2014-11-12,199.80,199.80,177.45,180.00,300,180.00
2014-11-11,182.10,203.00,182.10,189.25,300,189.25
2014-11-10,200.00,214.80,199.90,200.50,500,200.50
2014-11-07,208.10,214.85,207.60,210.00,600,210.00
2014-11-06,218.50,218.50,218.50,218.50,000,218.50
2014-11-05,225.20,225.20,204.20,218.50,300,218.50
2014-11-04,214.90,214.90,214.90,214.90,000,214.90
2014-11-03,219.00,219.95,202.00,214.90,300,214.90
2014-10-31,220.00,220.00,205.00,209.50,700,209.50
2014-10-30,215.25,215.25,215.00,215.25,200,215.25
2014-10-29,200.00,210.05,200.00,205.00,800,205.00
2014-10-28,200.00,200.05,200.00,200.05,1100,200.05
2014-10-27,181.50,181.50,181.50,181.50,000,181.50
2014-10-24,181.50,181.50,181.50,181.50,000,181.50
2014-10-23,181.50,181.50,181.50,181.50,000,181.50
2014-10-22,181.50,181.50,181.50,181.50,000,181.50
2014-10-21,181.50,181.50,181.50,181.50,000,181.50
2014-10-20,181.50,181.50,181.50,181.50,000,181.50
2014-10-17,173.00,173.00,173.00,173.00,000,173.00
2014-10-16,181.00,181.00,181.00,181.00,100,181.00
2014-10-15,190.00,190.00,190.00,190.00,000,190.00
2014-10-14,190.00,190.00,190.00,190.00,100,190.00
2014-10-13,195.00,195.00,185.00,193.95,100,193.95
2014-10-10,180.00,187.30,180.00,187.30,200,187.30
2014-10-09,167.05,182.70,167.00,178.40,300,178.40
2014-10-08,179.00,179.50,171.00,174.00,800,174.00
2014-10-07,188.90,188.90,170.00,179.10,300,179.10
2014-10-06,172.50,172.50,172.50,172.50,000,172.50
2014-10-03,172.50,172.50,172.50,172.50,000,172.50
2014-10-02,172.50,172.50,172.50,172.50,000,172.50
2014-10-01,175.00,175.00,169.95,172.50,700,172.50
2014-09-30,159.00,160.80,159.00,160.80,300,160.80
2014-09-29,161.00,163.25,145.05,146.20,400,146.20
2014-09-26,145.00,149.00,140.00,148.45,100,148.45
2014-09-25,138.00,144.95,134.10,135.65,2200,135.65
2014-09-24,127.30,149.95,127.30,149.00,100,149.00
2014-09-23,151.00,151.00,136.05,138.10,000,138.10
2014-09-22,150.00,150.00,150.00,150.00,000,150.00
2014-09-19,142.15,167.90,142.15,145.90,600,145.90
2014-09-18,154.00,154.00,154.00,154.00,000,154.00
2014-09-17,154.00,158.00,141.00,152.00,300,152.00
2014-09-16,130.05,153.95,130.05,153.00,200,153.00
2014-09-15,140.00,140.10,140.00,140.10,000,140.10
2014-09-12,140.00,140.00,140.00,140.00,000,140.00
2014-09-11,140.00,140.00,140.00,140.00,000,140.00
2014-09-10,136.10,136.10,136.10,136.10,000,136.10
2014-09-09,136.10,136.10,136.10,136.10,000,136.10
2014-09-08,133.30,143.00,133.30,136.10,000,136.10
2014-09-05,144.30,144.30,143.00,143.00,000,143.00
2014-09-04,148.00,153.80,143.00,143.15,400,143.15
2014-09-03,150.00,153.20,148.55,148.65,300,148.65
2014-09-02,162.10,162.10,154.10,155.10,200,155.10
2014-09-01,161.55,166.00,160.85,162.10,300,162.10
2014-08-29,169.30,169.30,169.30,169.30,000,169.30
2014-08-28,167.00,173.00,167.00,169.30,000,169.30
2014-08-27,188.00,188.00,175.10,175.10,100,175.10
2014-08-26,185.00,185.00,183.00,183.00,300,183.00
2014-08-25,178.50,178.50,178.00,178.00,300,178.00
2014-08-22,170.00,170.00,170.00,170.00,000,170.00
2014-08-21,163.00,163.90,163.00,163.90,400,163.90
2014-08-20,155.10,167.00,155.00,155.10,800,155.10
2014-08-19,152.00,163.70,152.00,163.00,200,163.00
2014-08-18,151.80,151.80,151.80,151.80,000,151.80
