Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,95.05,109.90,95.05,106.25,100,106.25
2014-12-22,105.50,105.50,105.50,105.50,000,105.50
2014-12-19,108.20,108.20,105.50,105.50,100,105.50
2014-12-18,106.00,114.20,105.00,111.70,200,111.70
2014-12-17,101.30,107.90,101.30,103.85,000,103.85
2014-12-16,108.00,109.00,106.00,109.00,300,109.00
2014-12-15,118.85,123.70,108.00,111.10,300,111.10
2014-12-12,119.50,119.50,119.50,119.50,000,119.50
2014-12-11,109.65,109.65,109.65,109.65,000,109.65
2014-12-10,107.75,110.00,107.75,109.65,100,109.65
2014-12-09,107.10,110.00,107.10,110.00,200,110.00
2014-12-08,110.00,110.00,110.00,110.00,000,110.00
2014-12-05,107.00,110.00,107.00,110.00,100,110.00
2014-12-04,115.75,115.75,115.75,115.75,000,115.75
2014-12-03,115.90,117.00,115.90,116.45,000,116.45
2014-12-02,125.00,125.00,105.50,109.65,300,109.65
2014-12-01,114.90,114.90,114.90,114.90,000,114.90
2014-11-28,105.50,105.50,105.25,105.25,100,105.25
2014-11-27,122.00,122.00,105.05,109.10,400,109.10
2014-11-26,113.50,113.50,106.00,113.30,100,113.30
2014-11-25,111.00,111.00,111.00,111.00,000,111.00
2014-11-24,110.00,122.85,103.10,111.00,200,111.00
2014-11-21,114.00,118.90,111.10,114.00,800,114.00
2014-11-20,124.80,124.80,110.00,120.50,1000,120.50
2014-11-19,125.40,125.40,114.00,116.70,1700,116.70
2014-11-18,117.60,117.60,100.60,114.00,000,114.00
2014-11-17,117.30,117.30,107.00,107.25,100,107.25
2014-11-14,105.00,109.00,104.45,106.75,000,106.75
2014-11-13,109.50,109.50,100.00,104.50,100,104.50
2014-11-12,102.30,102.30,102.30,102.30,400,102.30
2014-11-11,93.00,93.00,93.00,93.00,000,93.00
2014-11-10,93.00,93.00,93.00,93.00,000,93.00
2014-11-07,90.95,93.00,90.95,93.00,200,93.00
2014-11-06,84.55,84.55,84.55,84.55,000,84.55
2014-11-05,85.00,89.85,82.80,84.55,700,84.55
2014-11-04,92.00,92.00,92.00,92.00,000,92.00
2014-11-03,92.00,92.00,92.00,92.00,000,92.00
2014-10-31,87.00,92.00,87.00,92.00,100,92.00
2014-10-30,87.00,87.00,87.00,87.00,200,87.00
2014-10-29,91.00,91.00,91.00,91.00,000,91.00
2014-10-28,91.00,91.00,91.00,91.00,000,91.00
2014-10-27,91.00,91.00,91.00,91.00,000,91.00
2014-10-24,81.15,81.15,81.15,81.15,000,81.15
2014-10-23,81.15,81.15,81.15,81.15,000,81.15
2014-10-22,81.15,81.15,81.15,81.15,000,81.15
2014-10-21,80.25,90.95,80.25,90.00,100,90.00
2014-10-20,91.95,91.95,88.10,88.10,200,88.10
2014-10-17,89.35,89.35,89.35,89.35,000,89.35
2014-10-16,88.25,99.45,88.25,89.35,100,89.35
2014-10-15,95.00,95.00,95.00,95.00,000,95.00
2014-10-14,99.00,99.00,95.00,95.00,100,95.00
2014-10-13,90.00,97.85,90.00,97.85,100,97.85
2014-10-10,100.00,100.00,100.00,100.00,000,100.00
2014-10-09,100.00,100.00,100.00,100.00,000,100.00
2014-10-08,100.90,100.90,100.00,100.00,000,100.00
2014-10-07,105.85,105.85,92.60,92.95,100,92.95
2014-10-06,96.60,96.60,96.60,96.60,000,96.60
2014-10-03,96.60,96.60,96.60,96.60,000,96.60
2014-10-02,96.60,96.60,96.60,96.60,000,96.60
2014-10-01,88.00,107.25,88.00,96.60,600,96.60
2014-09-30,97.55,97.55,97.55,97.55,000,97.55
2014-09-29,100.90,100.90,95.60,97.55,000,97.55
2014-09-26,108.90,108.90,100.90,100.90,100,100.90
2014-09-25,103.00,110.00,99.00,99.10,500,99.10
2014-09-24,110.00,110.00,110.00,110.00,000,110.00
2014-09-23,114.00,114.00,105.95,105.95,000,105.95
2014-09-22,114.90,114.90,109.00,109.00,1000,109.00
2014-09-19,114.90,114.90,105.55,105.70,100,105.70
2014-09-18,100.15,114.75,100.15,114.45,000,114.45
2014-09-17,124.95,124.95,106.00,106.10,000,106.10
2014-09-16,115.85,115.85,115.85,115.85,000,115.85
2014-09-15,116.90,116.90,103.75,115.85,100,115.85
2014-09-12,120.00,120.00,113.80,114.65,100,114.65
2014-09-11,104.30,114.85,104.30,114.85,000,114.85
2014-09-10,129.80,129.80,111.00,114.95,400,114.95
2014-09-09,118.00,118.00,118.00,118.00,000,118.00
2014-09-08,108.55,108.55,107.90,107.90,000,107.90
2014-09-05,99.95,99.95,99.95,99.95,000,99.95
2014-09-04,98.95,99.00,92.40,96.85,1300,96.85
2014-09-03,95.40,98.95,94.35,94.35,700,94.35
2014-09-02,95.65,99.10,95.65,99.10,600,99.10
2014-09-01,103.00,103.00,99.10,99.10,100,99.10
2014-08-29,104.00,104.00,104.00,104.00,000,104.00
2014-08-28,105.00,105.00,104.00,104.00,000,104.00
2014-08-27,100.00,100.00,100.00,100.00,000,100.00
2014-08-26,100.00,100.00,100.00,100.00,000,100.00
2014-08-25,95.95,95.95,95.95,95.95,000,95.95
2014-08-22,90.10,96.00,90.10,95.95,200,95.95
2014-08-21,95.00,95.00,92.00,92.40,300,92.40
2014-08-20,94.30,100.00,94.30,95.55,600,95.55
2014-08-19,99.00,99.00,99.00,99.00,000,99.00
2014-08-18,93.10,100.00,93.10,96.85,300,96.85
2014-08-15,98.00,98.00,98.00,98.00,000,98.00
2014-08-14,96.60,101.00,96.60,98.00,600,98.00
2014-08-13,101.65,101.65,101.65,101.65,200,101.65
2014-08-12,106.30,117.00,106.30,106.40,000,106.40
2014-08-11,111.85,111.85,111.80,111.85,300,111.85
2014-08-08,109.05,109.05,104.10,106.55,100,106.55
2014-08-07,108.00,117.50,108.00,109.55,000,109.55
2014-08-06,112.00,112.00,112.00,112.00,000,112.00
2014-08-05,116.00,117.95,111.15,112.00,200,112.00
2014-08-04,117.00,117.00,117.00,117.00,000,117.00
2014-08-01,122.60,122.60,122.60,122.60,000,120.80
2014-07-31,122.60,122.60,122.60,122.60,000,120.80
2014-07-30,130.15,130.15,123.65,129.00,200,127.11
2014-07-29,130.15,130.15,130.15,130.15,000,128.24
2014-07-28,143.00,143.00,130.15,130.15,100,128.24
2014-07-25,140.00,140.00,135.00,136.95,000,134.94
2014-07-24,134.40,134.40,122.05,133.55,100,131.59
2014-07-23,129.15,141.00,128.05,128.05,600,126.17
2014-07-22,134.75,134.75,134.75,134.75,000,132.77
2014-07-21,145.00,145.00,138.75,139.15,000,137.11
2014-07-18,142.15,142.15,142.15,142.15,000,140.06
2014-07-17,144.20,155.00,144.20,144.35,200,142.23
2014-07-16,150.00,153.95,145.00,145.00,200,142.87
2014-07-15,140.05,150.00,140.05,150.00,100,147.80
2014-07-14,143.05,150.00,143.05,145.20,200,143.07
2014-07-11,152.00,152.35,138.75,150.00,300,147.80
2014-07-10,144.40,150.00,144.40,145.10,500,142.97
2014-07-09,152.05,156.00,152.00,152.00,300,149.77
2014-07-08,162.60,162.60,148.30,159.95,400,157.60
2014-07-07,155.85,156.00,145.00,155.00,800,152.72
2014-07-04,149.00,156.00,143.55,149.15,500,146.96
2014-07-03,146.00,150.10,146.00,150.10,100,147.90
2014-07-02,160.00,160.35,150.10,150.10,500,147.90
2014-07-01,153.25,153.35,145.00,153.20,3400,150.95
2014-06-30,137.60,149.25,135.05,146.05,3200,143.91
2014-06-27,139.95,142.25,138.80,142.15,3100,140.06
2014-06-26,135.50,135.50,135.50,135.50,000,133.51
2014-06-25,126.75,135.55,126.75,135.55,2200,133.56
2014-06-24,133.35,133.35,125.00,130.00,1000,128.09
2014-06-23,127.00,127.10,125.00,127.00,200,125.14
2014-06-20,131.55,131.55,121.05,121.05,1000,119.27
2014-06-19,125.20,125.30,116.85,125.30,2300,123.46
2014-06-18,119.35,119.35,108.15,119.35,1600,117.60
2014-06-17,103.05,113.70,103.05,113.70,1100,112.03
2014-06-16,107.95,109.20,103.05,108.30,800,106.71
2014-06-13,103.00,108.85,103.00,104.00,1600,102.47
2014-06-12,103.75,103.75,99.10,103.70,1500,102.18
2014-06-11,94.00,98.85,94.00,98.85,100,97.40
2014-06-10,87.00,94.15,86.80,94.15,200,92.77
2014-06-09,91.00,91.35,91.00,91.35,700,90.01
2014-06-06,91.00,91.00,85.15,87.00,4100,85.72
2014-06-05,87.00,90.70,87.00,87.00,700,85.72
2014-06-04,87.10,91.00,86.50,86.95,1300,85.67
2014-06-03,90.00,90.00,90.00,90.00,000,88.68
2014-06-02,90.15,90.35,90.00,90.20,000,88.88
