Date,Open,High,Low,Close,Volume,Adj Close
2014-12-23,42.50,43.80,42.10,42.60,357700,42.60
2014-12-22,42.00,42.80,41.50,42.15,714200,42.15
2014-12-19,46.00,46.00,41.60,42.50,464300,42.50
2014-12-18,43.00,45.20,43.00,44.60,482900,44.60
2014-12-17,44.25,44.25,40.10,42.00,591000,42.00
2014-12-16,46.70,46.95,41.00,44.35,1027800,44.35
2014-12-15,48.00,48.60,46.40,46.75,616500,46.75
2014-12-12,48.50,49.50,47.95,48.45,567500,48.45
2014-12-11,49.75,50.00,48.50,48.90,462600,48.90
2014-12-10,50.40,51.85,49.50,49.85,507800,49.85
2014-12-09,53.00,53.90,50.15,50.35,433400,50.35
2014-12-08,53.50,54.75,51.80,53.10,533600,53.10
2014-12-05,56.40,56.90,52.65,53.30,548300,53.30
2014-12-04,55.15,57.90,53.50,54.10,608200,54.10
2014-12-03,49.00,56.40,47.85,54.65,2059700,54.65
2014-12-02,50.70,51.45,48.10,48.50,629000,48.50
2014-12-01,53.00,54.80,51.00,51.20,264900,51.20
2014-11-28,52.00,53.90,51.20,53.40,357000,53.40
2014-11-27,51.10,52.00,51.10,51.70,368200,51.70
2014-11-26,52.50,52.75,51.00,51.25,783800,51.25
2014-11-25,53.00,55.70,51.00,52.05,903800,52.05
2014-11-24,54.80,55.00,53.10,53.30,514800,53.30
2014-11-21,54.75,56.00,53.60,53.85,587800,53.85
2014-11-20,58.20,58.90,54.10,54.65,1146000,54.65
2014-11-19,53.00,58.90,52.90,57.25,2219200,57.25
2014-11-18,54.05,54.50,53.20,53.40,1076200,53.40
2014-11-17,54.50,55.10,53.70,53.95,1230400,53.95
2014-11-14,56.00,56.70,54.55,54.65,586800,54.65
2014-11-13,55.35,56.90,54.30,55.65,926400,55.65
2014-11-12,57.60,57.95,54.90,55.35,1548000,55.35
2014-11-11,57.40,57.85,56.55,56.90,539200,56.90
2014-11-10,58.00,58.35,56.20,56.95,385000,56.95
2014-11-07,57.50,58.75,56.50,57.30,814000,57.30
2014-11-06,57.30,57.30,57.30,57.30,000,57.30
2014-11-05,59.85,59.90,56.80,57.30,1261500,57.30
2014-11-04,59.40,59.40,59.40,59.40,000,59.40
2014-11-03,60.90,60.90,57.50,59.40,784700,59.40
2014-10-31,60.80,61.45,58.80,59.20,791400,59.20
2014-10-30,61.00,62.25,58.00,60.25,1352900,60.25
2014-10-29,65.70,65.80,61.10,61.85,3215600,61.85
2014-10-28,56.90,60.10,56.90,59.85,2168200,59.85
2014-10-27,50.15,55.00,49.75,55.00,1999500,55.00
2014-10-24,49.95,49.95,49.95,49.95,000,49.95
2014-10-23,49.95,49.95,49.95,49.95,000,49.95
2014-10-22,50.50,52.00,49.50,49.95,601100,49.95
2014-10-21,49.15,50.95,49.15,49.95,327500,49.95
2014-10-20,50.75,52.00,48.75,49.10,455800,49.10
2014-10-17,49.95,50.75,47.00,49.05,1063500,49.05
2014-10-16,53.50,55.00,49.10,50.95,534100,50.95
2014-10-15,54.50,54.50,54.50,54.50,000,54.50
2014-10-14,53.50,55.20,52.00,54.50,501900,54.50
2014-10-13,54.90,55.10,51.80,53.50,1009900,53.50
2014-10-10,58.00,58.00,54.00,55.20,664900,55.20
2014-10-09,56.50,59.30,56.50,57.65,734400,57.65
2014-10-08,59.50,60.00,54.35,56.50,973000,56.50
2014-10-07,62.90,64.10,59.50,59.75,645500,59.75
2014-10-06,62.10,62.10,62.10,62.10,000,62.10
2014-10-03,62.10,62.10,62.10,62.10,000,62.10
2014-10-02,62.10,62.10,62.10,62.10,000,62.10
2014-10-01,65.45,66.20,61.80,62.10,909300,62.10
2014-09-30,65.50,66.80,63.55,64.90,1146800,64.90
2014-09-29,63.65,65.45,62.75,64.75,1474500,64.75
2014-09-26,59.80,62.75,56.85,62.35,1609300,62.35
2014-09-25,62.50,65.00,59.80,59.80,1265900,59.80
2014-09-24,65.00,68.90,62.70,62.90,3946900,62.90
2014-09-23,64.90,66.25,63.00,66.00,3358900,66.00
2014-09-22,61.95,63.30,60.55,63.10,3224800,63.10
2014-09-19,58.60,60.50,56.70,60.30,3462700,60.30
2014-09-18,55.10,57.65,55.00,57.65,2560100,57.65
2014-09-17,56.50,57.80,54.10,54.95,727400,54.95
2014-09-16,58.40,58.95,54.40,55.30,3014900,55.30
2014-09-15,55.00,56.15,55.00,56.15,2281500,56.15
2014-09-12,53.90,54.90,51.20,53.50,1463400,53.50
2014-09-11,53.30,57.00,53.30,53.35,2692000,53.35
2014-09-10,60.75,61.50,56.10,56.10,2946600,56.10
2014-09-09,58.90,59.05,57.75,59.05,2121200,59.05
2014-09-08,55.70,56.25,55.25,56.25,1885600,56.25
2014-09-05,52.40,53.60,51.25,53.60,3078200,53.60
2014-09-04,50.65,51.05,49.00,51.05,2264300,51.05
2014-09-03,48.65,48.65,46.65,48.65,2463000,48.65
2014-09-02,46.40,46.40,43.30,46.35,6863200,46.35
2014-09-01,43.75,44.20,42.40,44.20,1843300,44.20
2014-08-29,42.10,42.10,42.10,42.10,000,42.10
2014-08-28,40.70,42.10,38.55,42.10,1607600,42.10
2014-08-27,38.00,40.70,37.60,40.10,1495500,40.10
