sector,cname,bse_code
Plantation -  Tea and Coffee,,508136
Packaging -  Packaging,B and A Multiwall Packaging Limited,523186
Packaging -  Packaging,B and A Multiwall Packaging Limited,506971
Engineering -  Electronics,B C C Fuba India Limited,517246
Financial Services -  NBFC  -  Small / Medium,B C L Financial Services Limited,11624
Steel -  Steel  -  Others,B C L Forgings Limited,506093
Food Products -  Solvent Extraction,B C L Industries and Infrastructures Limited,524332
Pharmaceuticals -  Bulk Drugs and Formulations,B D H Industries Limited,524828
Power -  Power  -  Others,B F Utilities Limited,532430
Food Products -  Aquaculture,B F Utilities Limited,519500
Financial Services -  Financial Services  -  Others,B L B Limited,532290
Const/Bldg Material -  Construction  -  Housing/Industrial,B L B Limited,532719
Financial Services -  Investment,B N K Capital Markets Limited,500069
Financial Services -  NBFC  -  Small / Medium,B N K Capital Markets Limited,530809
Financial Services -  NBFC  -  Small / Medium,B N K Capital Markets Limited,523019
Real Estate -  Real Estate,B Nanji Enterprises Limited,526594
Chemicals -  Industrial Gases,B Nanji Enterprises Limited,523457
Others,B P Ergo Limited,NA
Others,B P Ergo Limited,73
Consumer Durables -  TV/Audio/VCR,B P L Limited,500074
Consumer Durables -  TV/Audio/VCR,B P L Limited,23429
Consumer Durables -  TV/Audio/VCR,B P L Limited,532123
Others -  Trading,B S I Limited,7070
Textile -  Textiles  -  Others,B S L Limited,514045
Consumer Durables -  White Goods,B S Refrigerators Limited,17222
Consumer Durables -  TV/Audio/VCR,B S T Limited,17248
Mining -  Minerals,B T W Industries Limited,23682
Steel -  Steel  -  Others,B T W Industries Limited,504643
Financial Services -  NBFC  -  Small / Medium,B T W Industries Limited,531268
Media and Entertainment -  Television Software,Baba Arts Limited,532380
Engineering -  Engineering  -  Others,Baffin Engineering Projects Limited,532161
Pharmaceuticals -  Bulk Drugs and Formulations,Bafna Pharmaceuticals Limited,532989
Textile -  Spinning  -  Others,Bafna Spinning Mills & Exports Limited,531733
Dye Stuff -  Dye Stuff,Bafna Spinning Mills & Exports Limited,530197
Cement -  Cement,Bagalkot Udyog Limited,2125
Financial Services -  NBFC  -  Small / Medium,Baid Leasing & Finance Company Limited,511724
Automobiles -  2/3 Wheelers,Baid Leasing & Finance Company Limited,532977
Consumer Durables -  Home Appliances,Bajaj Electricals Limited,500031
Financial Services -  Financial Services  -  Others,Bajaj Finserv Limited,532978
Sugar -  Sugar,Bajaj Hindusthan Limited,500032
Sugar -  Sugar,Bajaj Hindusthan Limited,507500
Others -  Miscella  -  Others,Bakelite Hylam Limited,9423
Others -  Miscella  -  Others,Bakelite Hylam Limited,511395
Textile -  Textiles  -  Others,Bala Techno Industries Limited,514199
Financial Services -  NBFC  -  Small / Medium,Bala Techno Industries Limited,5543
Breweries and Distilleries -  Breweries and Distilleries  -  Others,Balaji Distilleries Limited,500035
Food Products -  Processed Foods,Balaji Foods & Feeds Limited,19291
Steel -  Steel  -  Others,Balaji Galvanising Industries Limited,30205
Tourism / Hotels -  Hotels,Balaji Hotels & Enterprises Limited,30471
Tourism / Hotels -  Hotels,Balaji Hotels & Enterprises Limited,36
Steel -  Steel  -  Others,Balasore Alloys Limited,513142
Steel -  Steel  -  Others,Balasore Alloys Limited-PPS,390123
Packaging -  Packaging,Balasore Alloys Limited-PPS,37
Sugar -  Sugar,Balrampur Chini Mills Limited,500038
Courier and Logistic Services -  Courier and Logistic Services,Balurghat Technologies Limited,520127
Food Products -  Processed Foods,Bambino Agro Industries Limited,519295
Others -  Miscella  -  Others,Banaras Beads Limited,26849
Auto Ancillaries -  Auto Ancillaries  -  Others,Banco Products (India) Limited,500039
Textile -  Composite  -  Readymade Garments,Bang Overseas Limited,532946
Banks -  NationalisedBSE,Bank Of Baroda,590106
Banks -  PrivateBSE,Bank Of Baroda,590106
Banks -  NationalisedBSE,Bank Of Maharashtra,590106
Banks -  NationalisedBSE,Bank Of Maharashtra,590106
Banks -  PrivateBSE,Bank Of Maharashtra,590106
Const/Bldg Material -  Construction  -  Infrastructure,Banka (India) Limited,22157
Textile -  Textiles  -  Others,Banka (India) Limited,532674
Sugar -  Sugar,Banka (India) Limited,500041
Plantation -  Tea and Coffee,Banka (India) Limited,19353
Plantation -  Tea and Coffee,Banka (India) Limited,503722
Cement -  Cement,Banka (India) Limited,532916
Others,Barium Chemicals Limited,6275
Engineering -  Electrical Equipment,Baroda Electric Meters Limited,3956
Engineering -  Electrical Equipment,Baroda Electric Meters Limited,13502
Financial Services -  MFs (Asset Management Companies),Baroda Electric Meters Limited,32232
Financial Services -  MFs (Asset Management Companies),Baroda Electric Meters Limited,32317
Textile -  Other Synthetic Fibres,Baroda Rayon Corporation Limited,270
Others -  Miscella  -  Others,Bartronics India Limited,532694
Agro Inputs -  Nitrogenous/Phosphatic Fertilisers,Basant Agro Tech (India) Limited,524687
sector,cname,bse_code
Const/Bldg Material -  Construction  -  Infrastructure,C & C Constructions Limited,532813
Const/Bldg Material -  Construction  -  Housing/Industrial,C C A P Limited,526839
Plantation -  Tea and Coffee,C C L Products (India) Limited,519600
Others -  Miscella  -  Others,C D R Health Care Limited,23353
Const/Bldg Material -  Building Material  -  Ceramics/Tiles and Sanitaryware,C E R A Sanitaryware Limited,532443
Power -  Generation and Supply,C E R A Sanitaryware Limited,500084
Financial Services -  NBFC  -  Large,C E R A Sanitaryware Limited,511272
"Gems, Jewellery and watches -  Gems, Jewellery and Watches",C G Impex Limited,531932
Tourism / Hotels -  Hotels,C G Impex Limited,532992
Chemicals -  Speciality Chemicals,C J Gelatine Products Limited,507515
