symbol,name
HPCBL.BO,HPC BIOSCIENCES LTD.
DECNGOLD.BO,DECCAN GOLD MINES LTD.
POTENTIAL.BO,POTENTIAL INVESTMENTS & FINANC
FAZE3Q.BO,FAZE THREE LTD.
ACFSL.BO,AMRAPALI CAPITAL AND FINANCE S
OPTOCIRCUI.BO,OPTO CIRCUITS (INDIA) LTD.
WELINV.BO,WELSPUN INVESTMENTS AND COMMER
ITL.BO,ITL INDUSTRIES LTD.
BESTEAST.BO,BEST EASTERN HOTELS LTD.
MOUNTSHIQ.BO,MOUNT SHIVALIK INDUSTRIES LTD.
HIGHGROUND.BO,HIGH GROUND ENTERPRISE LTD
KARMOB.BO,KAR MOBILES LTD.
BPL.BO,BPL LTD.
HIPOLIN.BO,HIPOLIN LTD.
MINDVISCAP.BO,MINDVISION CAPITAL LTD
MTNL.BO,MAHANAGAR TELEPHONE NIGAM LTD.
KCP.BO,K.C.P.LTD.
BHARTISHIP.BO,BHARATI SHIPYARD LTD.
SURANASOL.BO,SURANA SOLAR LTD.
HINDDORROL.BO,HINDUSTAN DORR-OLIVER LTD.
TIGLOB.BO,T & I GLOBAL LTD.
SABOOSOD.BO,SABOO SODIUM CHLORO LTD.
NAGAAGRI.BO,NAGARJUNA AGRICHEM LTD.
RDBRL.BO,RDB RASAYANS LTD.
CIMMCO.BO,CIMMCO LTD.
KUWERIN.BO,KUWER INDUSTRIES LTD.
BLUECHIPT.BO,BLUE CHIP TEX INDUSTRIES LTD.
NDL.BO,NANDAN DENIM LIMITED
PRWOLEN.BO,PRAKASH WOOLLEN MILLS LTD.
GTNINDS.BO,GTN INDUSTRIES LTD.
ARCHIDPLY.BO,ARCHIDPLY INDUSTRIES LTD.
PARRYSUGAR.BO,PARRYS SUGAR INDUSTRIES LTD.
SHREEYASH.BO,SHREEYASH INDUSTRIES LIMITED
HDFCBANK6.BO,HDFC BANK LTD
JPASSOCIAT.BO,JAIPRAKASH ASSOCIATES LTD.
STANROS.BO,STANROSE MAFATLAL INVESTMENTS
AXTEL.BO,AXTEL INDUSTRIES LTD.
CSIL.BO,CIRCUIT SYSTEMS (INDIA) LTD.
SHIVAAGRO.BO,SHIVA GLOBAL AGRO INDUSTRIES L
KTIL.BO,KESAR TERMINALS & INFRASTRUCTU
BRAHMINFRA.BO,BRAHMAPUTRA INFRASTRUCTURE LTD
NETTLINX.BO,NETTLINX LTD.
SPMLINFRA.BO,SPML INFRA LIMITED
KHOOBSURAT.BO,KHOOBSURAT LTD
SKIPPER.BO,SKIPPER LTD
KWALITYCL.BO,KWALITY CREDIT & LEASING LTD.
BITL.BO,BRONZE INFRA-TECH LTD.
TARMAT.BO,TARMAT LTD.
MEGH.BO,MEGHMANI ORGANICS LTD.
WIMPLAST.BO,WIM PLAST LTD.
PRADPME.BO,PRADEEP METALS LTD.
SMIFS.BO,SMIFS CAPITAL MARKETS LTD.
GRASIM6.BO,GRASIM INDUSTRIES LTD
TATASPONGE.BO,TATA SPONGE IRON LTD.
TANTIACONS.BO,TANTIA CONSTRUCTIONS LTD.
INDUSINDBK6.BO,INDUSIND BANK LTD
MRO-TEK.BO,MRO-TEK LTD.
REXNORD.BO,REXNORD ELECTRONICS & CONTROLS
SAPPL.BO,Shree Ajit Pulp And Paper Ltd.
PASUPTAC.BO,PASUPATI ACRYLON LTD.
IPRINGLTD.BO,IP RINGS LTD.
TCIIND.BO,TCI INDUSTRIES LTD.
GKB.BO,GKB OPHTHALMICS LTD.
RISHILASE.BO,RISHI LASER LTD.
RIIL.BO,RELIANCE INDUSTRIAL INFRASTRUC
TAKE.BO,TAKE SOLUTIONS LTD.
NAGPI.BO,NAGPUR POWER & INDUSTRIES LTD.
AUTOAXLES.BO,AUTOMOTIVE AXLES LTD.
FLORENCE.BO,FLORENCE INVESTECH LIMITED
HFCL.BO,HIMACHAL FUTURISTIC COMMUNICAT
SHREYANIND.BO,SHREYANS INDUSTRIES LTD.
LUMAXTECH.BO,LUMAX AUTO TECHNOLOGIES LTD.
VALECHAENG.BO,VALECHA ENGINEERING LTD.
SAGCEM.BO,SAGAR CEMENTS LTD.
ADVANTA.BO,ADVANTA LIMITED
SHILCTECH.BO,SHILCHAR TECHNOLOGIES LTD.
ADFFOODS.BO,ADF FOODS LTD.
NAVNETEDUL.BO,NAVNEET EDUCATION LIMITED
PHOTOQUP.BO,PHOTOQUIP INDIA LTD.
FLFL.BO,FUTURE LIFESTYLE FASHIONS LTD
SWASTIKA.BO,SWASTIKA INVESTMART LTD.
HOCL.BO,HINDUSTAN ORGANIC CHEMICALS LT
CINELINE.BO,CINELINE INDIA LIMITED
PITTILAM.BO,PITTI LAMINATIONS LTD.
TRANSCHEM.BO,TRANSCHEM LTD.
STYLAMIND.BO,STYLAM INDUSTRIES LIMITED
AJMERA.BO,AJMERA REALTY & INFRA INDIA LT
SIMPLEX.BO,SIMPLEX PROJECTS LTD.
ELECON.BO,ELECON ENGINEERING CO.LTD.
KRBL.BO,KRBL LTD.
SPICEJET.BO,SPICEJET LTD.
RPGLIFE.BO,RPG LIFE SCIENCES LTD.
TATAYODOGA.BO,TAYO ROLLS LTD.
IPCALAB6.BO,IPCA LABORATORIES LTD
GOLDENTOBC.BO,GOLDEN TOBACCO LTD.
MODAIRY.BO,MODERN DAIRIES LTD.
VEDAVAAG.BO,VEDAVAAG SYSTEMS LTD.
KSBPUMPS.BO,KSB PUMPS LTD.
